% 1. Title: NILM Database
% 
% 2. Sources:
%      (a) Creator: Lucas Abdalla Menezes
%      (b) Donor: 
%      (c) Date: July, 2020
%
% 3. Classes - 0 - no activation / 1 - turning MWOven on / 2 - turning MWOven off
@RELATION NILMData
@ATTRIBUTE 1a_amostra  NUMERIC
@ATTRIBUTE 2a_amostra  NUMERIC
@ATTRIBUTE 3a_amostra  NUMERIC
@ATTRIBUTE 4a_amostra  NUMERIC
@ATTRIBUTE 5a_amostra  NUMERIC
@ATTRIBUTE class {0,1,2}
@DATA
0.746,0.740,0.735,0.805,1.346,1
0.740,0.735,0.805,1.346,1.339,1
0.735,0.805,1.346,1.339,1.330,1
0.805,1.346,1.339,1.330,1.361,1
1.346,1.339,1.330,1.361,1.733,1
1.339,1.330,1.361,1.733,2.877,1
1.330,1.361,1.733,2.877,2.879,1
1.361,1.733,2.877,2.879,2.879,1
1.733,2.877,2.879,2.879,2.877,1
0.746,0.744,0.748,0.736,1.332,1
0.744,0.748,0.736,1.332,1.317,1
0.748,0.736,1.332,1.317,1.315,1
0.736,1.332,1.317,1.315,1.381,1
1.332,1.317,1.315,1.381,1.929,1
1.317,1.315,1.381,1.929,2.872,1
1.315,1.381,1.929,2.872,2.877,1
1.381,1.929,2.872,2.877,2.892,1
1.929,2.872,2.877,2.892,2.876,1
0.750,0.748,0.761,0.724,1.668,1
0.748,0.761,0.724,1.668,1.618,1
0.761,0.724,1.668,1.618,1.658,1
0.724,1.668,1.618,1.658,2.067,1
1.668,1.618,1.658,2.067,2.845,1
1.618,1.658,2.067,2.845,2.837,1
1.658,2.067,2.845,2.837,2.844,1
2.067,2.845,2.837,2.844,2.820,1
2.874,2.863,2.873,2.867,0.742,2
2.863,2.873,2.867,0.742,0.736,2
2.873,2.867,0.742,0.736,0.738,2
2.867,0.742,0.736,0.738,0.740,2
2.867,2.864,2.868,2.862,0.740,2
2.864,2.868,2.862,0.740,0.743,2
2.868,2.862,0.740,0.743,0.742,2
2.862,0.740,0.743,0.742,0.743,2
0.446,0.445,0.450,0.446,0.444,0
0.445,0.450,0.446,0.444,0.445,0
0.450,0.446,0.444,0.445,0.431,0
0.446,0.444,0.445,0.431,0.445,0
0.444,0.445,0.431,0.445,0.444,0
0.445,0.431,0.445,0.444,0.443,0
0.431,0.445,0.444,0.443,0.442,0
0.445,0.444,0.443,0.442,0.443,0
0.444,0.443,0.442,0.443,0.440,0
0.443,0.442,0.443,0.440,0.446,0
0.442,0.443,0.440,0.446,0.441,0
0.443,0.440,0.446,0.441,0.453,0
0.440,0.446,0.441,0.453,0.443,0
0.446,0.441,0.453,0.443,0.441,0
0.441,0.453,0.443,0.441,0.445,0
0.453,0.443,0.441,0.445,0.441,0
0.443,0.441,0.445,0.441,0.441,0
0.441,0.445,0.441,0.441,0.446,0
0.445,0.441,0.441,0.446,0.419,0
0.441,0.441,0.446,0.419,0.418,0
0.441,0.446,0.419,0.418,0.430,0
0.446,0.419,0.418,0.430,0.428,0
0.419,0.418,0.430,0.428,0.433,0
0.418,0.430,0.428,0.433,0.428,0
0.430,0.428,0.433,0.428,0.431,0
0.428,0.433,0.428,0.431,0.428,0
0.433,0.428,0.431,0.428,0.441,0
0.428,0.431,0.428,0.441,0.433,0
0.431,0.428,0.441,0.433,0.437,0
0.428,0.441,0.433,0.437,0.431,0
0.441,0.433,0.437,0.431,0.434,0
0.433,0.437,0.431,0.434,0.434,0
0.437,0.431,0.434,0.434,0.426,0
0.431,0.434,0.434,0.426,0.431,0
0.434,0.434,0.426,0.431,0.430,0
0.434,0.426,0.431,0.430,0.434,0
0.426,0.431,0.430,0.434,0.425,0
0.431,0.430,0.434,0.425,0.430,0
0.430,0.434,0.425,0.430,0.438,0
0.434,0.425,0.430,0.438,0.432,0
0.425,0.430,0.438,0.432,0.431,0
0.430,0.438,0.432,0.431,0.437,0
0.438,0.432,0.431,0.437,0.438,0
0.432,0.431,0.437,0.438,0.439,0
0.431,0.437,0.438,0.439,0.433,0
0.437,0.438,0.439,0.433,0.434,0
0.438,0.439,0.433,0.434,0.436,0
0.439,0.433,0.434,0.436,0.441,0
0.433,0.434,0.436,0.441,0.436,0
0.434,0.436,0.441,0.436,0.434,0
0.436,0.441,0.436,0.434,0.434,0
0.441,0.436,0.434,0.434,0.439,0
0.436,0.434,0.434,0.439,0.440,0
0.434,0.434,0.439,0.440,0.428,0
0.434,0.439,0.440,0.428,0.439,0
0.439,0.440,0.428,0.439,0.435,0
0.440,0.428,0.439,0.435,0.433,0
0.428,0.439,0.435,0.433,0.435,0
0.439,0.435,0.433,0.435,0.439,0
0.435,0.433,0.435,0.439,0.441,0
0.433,0.435,0.439,0.441,0.440,0
0.435,0.439,0.441,0.440,0.448,0
0.439,0.441,0.440,0.448,0.434,0
0.441,0.440,0.448,0.434,0.435,0
0.440,0.448,0.434,0.435,0.436,0
0.448,0.434,0.435,0.436,0.440,0
0.434,0.435,0.436,0.440,0.437,0
0.435,0.436,0.440,0.437,0.438,0
0.436,0.440,0.437,0.438,0.437,0
0.440,0.437,0.438,0.437,0.435,0
0.437,0.438,0.437,0.435,0.441,0
0.438,0.437,0.435,0.441,0.436,0
0.437,0.435,0.441,0.436,0.439,0
0.435,0.441,0.436,0.439,0.433,0
0.441,0.436,0.439,0.433,0.438,0
0.436,0.439,0.433,0.438,0.436,0
0.439,0.433,0.438,0.436,0.431,0
0.433,0.438,0.436,0.431,0.436,0
0.438,0.436,0.431,0.436,0.432,0
0.436,0.431,0.436,0.432,0.422,0
0.431,0.436,0.432,0.422,0.438,0
0.436,0.432,0.422,0.438,0.437,0
0.432,0.422,0.438,0.437,0.433,0
0.422,0.438,0.437,0.433,0.443,0
0.438,0.437,0.433,0.443,0.436,0
0.437,0.433,0.443,0.436,0.433,0
0.433,0.443,0.436,0.433,0.432,0
0.443,0.436,0.433,0.432,0.437,0
0.436,0.433,0.432,0.437,0.430,0
0.433,0.432,0.437,0.430,0.434,0
0.432,0.437,0.430,0.434,0.430,0
0.437,0.430,0.434,0.430,0.435,0
0.430,0.434,0.430,0.435,0.435,0
0.434,0.430,0.435,0.435,0.431,0
0.430,0.435,0.435,0.431,0.433,0
0.435,0.435,0.431,0.433,0.428,0
0.435,0.431,0.433,0.428,0.436,0
0.431,0.433,0.428,0.436,0.443,0
0.433,0.428,0.436,0.443,0.435,0
0.428,0.436,0.443,0.435,0.436,0
0.436,0.443,0.435,0.436,0.434,0
0.443,0.435,0.436,0.434,0.433,0
0.435,0.436,0.434,0.433,0.443,0
0.436,0.434,0.433,0.443,0.446,0
0.434,0.433,0.443,0.446,0.453,0
0.433,0.443,0.446,0.453,0.443,0
0.443,0.446,0.453,0.443,0.440,0
0.446,0.453,0.443,0.440,0.443,0
0.453,0.443,0.440,0.443,0.443,0
0.443,0.440,0.443,0.443,0.445,0
0.440,0.443,0.443,0.445,0.441,0
0.443,0.443,0.445,0.441,0.442,0
0.443,0.445,0.441,0.442,0.427,0
0.445,0.441,0.442,0.427,0.435,0
0.441,0.442,0.427,0.435,0.434,0
0.442,0.427,0.435,0.434,0.433,0
0.427,0.435,0.434,0.433,0.435,0
0.435,0.434,0.433,0.435,0.446,0
0.434,0.433,0.435,0.446,0.441,0
0.433,0.435,0.446,0.441,0.448,0
0.435,0.446,0.441,0.448,0.443,0
0.446,0.441,0.448,0.443,0.450,0
0.441,0.448,0.443,0.450,0.440,0
0.448,0.443,0.450,0.440,0.445,0
0.443,0.450,0.440,0.445,0.447,0
0.450,0.440,0.445,0.447,0.448,0
0.440,0.445,0.447,0.448,0.441,0
0.445,0.447,0.448,0.441,0.438,0
0.447,0.448,0.441,0.438,0.434,0
0.448,0.441,0.438,0.434,0.433,0
0.441,0.438,0.434,0.433,0.447,0
0.438,0.434,0.433,0.447,0.433,0
0.434,0.433,0.447,0.433,0.441,0
0.433,0.447,0.433,0.441,0.436,0
0.447,0.433,0.441,0.436,0.437,0
0.433,0.441,0.436,0.437,0.440,0
0.441,0.436,0.437,0.440,0.440,0
0.436,0.437,0.440,0.440,0.443,0
0.437,0.440,0.440,0.443,0.444,0
0.440,0.440,0.443,0.444,0.435,0
0.440,0.443,0.444,0.435,0.448,0
0.443,0.444,0.435,0.448,0.449,0
0.444,0.435,0.448,0.449,0.447,0
0.435,0.448,0.449,0.447,0.449,0
0.448,0.449,0.447,0.449,0.447,0
0.449,0.447,0.449,0.447,0.451,0
0.447,0.449,0.447,0.451,0.445,0
0.449,0.447,0.451,0.445,0.451,0
0.447,0.451,0.445,0.451,0.448,0
0.451,0.445,0.451,0.448,0.447,0
0.445,0.451,0.448,0.447,0.448,0
0.451,0.448,0.447,0.448,0.449,0
0.448,0.447,0.448,0.449,0.450,0
0.447,0.448,0.449,0.450,0.444,0
0.448,0.449,0.450,0.444,0.448,0
0.449,0.450,0.444,0.448,0.428,0
0.450,0.444,0.448,0.428,0.445,0
0.444,0.448,0.428,0.445,0.444,0
0.448,0.428,0.445,0.444,0.444,0
0.428,0.445,0.444,0.444,0.449,0
0.445,0.444,0.444,0.449,0.438,0
0.444,0.444,0.449,0.438,0.444,0
0.444,0.449,0.438,0.444,0.439,0
0.449,0.438,0.444,0.439,0.444,0
0.438,0.444,0.439,0.444,0.437,0
0.444,0.439,0.444,0.437,0.442,0
0.439,0.444,0.437,0.442,0.445,0
0.444,0.437,0.442,0.445,0.439,0
0.437,0.442,0.445,0.439,0.444,0
0.442,0.445,0.439,0.444,0.448,0
0.445,0.439,0.444,0.448,0.439,0
0.439,0.444,0.448,0.439,0.449,0
0.444,0.448,0.439,0.449,0.452,0
0.448,0.439,0.449,0.452,0.457,0
0.439,0.449,0.452,0.457,0.450,0
0.449,0.452,0.457,0.450,0.450,0
0.452,0.457,0.450,0.450,0.446,0
0.457,0.450,0.450,0.446,0.439,0
0.450,0.450,0.446,0.439,0.447,0
0.450,0.446,0.439,0.447,0.447,0
0.446,0.439,0.447,0.447,0.449,0
0.439,0.447,0.447,0.449,0.440,0
0.447,0.447,0.449,0.440,0.446,0
0.447,0.449,0.440,0.446,0.445,0
0.449,0.440,0.446,0.445,0.450,0
0.440,0.446,0.445,0.450,0.446,0
0.446,0.445,0.450,0.446,0.446,0
0.445,0.450,0.446,0.446,0.447,0
0.450,0.446,0.446,0.447,0.445,0
0.446,0.446,0.447,0.445,0.449,0
0.446,0.447,0.445,0.449,0.437,0
0.447,0.445,0.449,0.437,0.442,0
0.445,0.449,0.437,0.442,0.444,0
0.449,0.437,0.442,0.444,0.444,0
0.437,0.442,0.444,0.444,0.442,0
0.442,0.444,0.444,0.442,0.448,0
0.444,0.444,0.442,0.448,0.443,0
0.444,0.442,0.448,0.443,0.444,0
0.442,0.448,0.443,0.444,0.456,0
0.448,0.443,0.444,0.456,0.444,0
0.443,0.444,0.456,0.444,0.442,0
0.444,0.456,0.444,0.442,0.438,0
0.456,0.444,0.442,0.438,0.438,0
0.444,0.442,0.438,0.438,0.440,0
0.442,0.438,0.438,0.440,0.447,0
0.438,0.438,0.440,0.447,0.439,0
0.438,0.440,0.447,0.439,0.430,0
0.440,0.447,0.439,0.430,0.449,0
0.447,0.439,0.430,0.449,0.448,0
0.439,0.430,0.449,0.448,0.442,0
0.430,0.449,0.448,0.442,0.447,0
0.449,0.448,0.442,0.447,0.447,0
0.448,0.442,0.447,0.447,0.446,0
0.442,0.447,0.447,0.446,0.441,0
0.447,0.447,0.446,0.441,0.439,0
0.447,0.446,0.441,0.439,0.434,0
0.446,0.441,0.439,0.434,0.444,0
0.441,0.439,0.434,0.444,0.440,0
0.439,0.434,0.444,0.440,0.430,0
0.434,0.444,0.440,0.430,0.434,0
0.444,0.440,0.430,0.434,0.443,0
0.440,0.430,0.434,0.443,0.439,0
0.430,0.434,0.443,0.439,0.442,0
0.434,0.443,0.439,0.442,0.442,0
0.443,0.439,0.442,0.442,0.456,0
0.439,0.442,0.442,0.456,0.445,0
0.442,0.442,0.456,0.445,0.434,0
0.442,0.456,0.445,0.434,0.436,0
0.456,0.445,0.434,0.436,0.438,0
0.445,0.434,0.436,0.438,0.446,0
0.434,0.436,0.438,0.446,0.442,0
0.436,0.438,0.446,0.442,0.446,0
0.438,0.446,0.442,0.446,0.431,0
0.446,0.442,0.446,0.431,0.441,0
0.442,0.446,0.431,0.441,0.443,0
0.446,0.431,0.441,0.443,0.447,0
0.431,0.441,0.443,0.447,0.442,0
0.441,0.443,0.447,0.442,0.446,0
0.443,0.447,0.442,0.446,0.440,0
0.447,0.442,0.446,0.440,0.437,0
0.442,0.446,0.440,0.437,0.451,0
0.446,0.440,0.437,0.451,0.441,0
0.440,0.437,0.451,0.441,0.446,0
0.437,0.451,0.441,0.446,0.447,0
0.451,0.441,0.446,0.447,0.441,0
0.441,0.446,0.447,0.441,0.442,0
0.446,0.447,0.441,0.442,0.439,0
0.447,0.441,0.442,0.439,0.443,0
0.441,0.442,0.439,0.443,0.440,0
0.442,0.439,0.443,0.440,0.438,0
0.439,0.443,0.440,0.438,0.439,0
0.443,0.440,0.438,0.439,0.439,0
0.440,0.438,0.439,0.439,0.446,0
0.438,0.439,0.439,0.446,0.441,0
0.439,0.439,0.446,0.441,0.439,0
0.439,0.446,0.441,0.439,0.451,0
0.446,0.441,0.439,0.451,0.445,0
0.441,0.439,0.451,0.445,0.450,0
0.439,0.451,0.445,0.450,0.428,0
0.451,0.445,0.450,0.428,0.441,0
0.445,0.450,0.428,0.441,0.451,0
0.450,0.428,0.441,0.451,0.452,0
0.428,0.441,0.451,0.452,0.445,0
0.441,0.451,0.452,0.445,0.444,0
0.451,0.452,0.445,0.444,0.443,0
0.452,0.445,0.444,0.443,0.439,0
0.445,0.444,0.443,0.439,0.452,0
0.444,0.443,0.439,0.452,0.437,0
0.443,0.439,0.452,0.437,0.446,0
0.439,0.452,0.437,0.446,0.441,0
0.452,0.437,0.446,0.441,0.447,0
0.437,0.446,0.441,0.447,0.440,0
0.446,0.441,0.447,0.440,0.439,0
0.441,0.447,0.440,0.439,0.443,0
0.447,0.440,0.439,0.443,0.437,0
0.440,0.439,0.443,0.437,0.442,0
0.439,0.443,0.437,0.442,0.441,0
0.443,0.437,0.442,0.441,0.440,0
0.437,0.442,0.441,0.440,0.441,0
0.442,0.441,0.440,0.441,0.442,0
0.441,0.440,0.441,0.442,0.442,0
0.440,0.441,0.442,0.442,0.439,0
0.441,0.442,0.442,0.439,0.441,0
0.442,0.442,0.439,0.441,0.442,0
0.442,0.439,0.441,0.442,0.436,0
0.439,0.441,0.442,0.436,0.432,0
0.441,0.442,0.436,0.432,0.432,0
0.442,0.436,0.432,0.432,0.448,0
0.436,0.432,0.432,0.448,0.431,0
0.432,0.432,0.448,0.431,0.433,0
0.432,0.448,0.431,0.433,0.429,0
0.448,0.431,0.433,0.429,0.434,0
0.431,0.433,0.429,0.434,0.440,0
0.433,0.429,0.434,0.440,0.428,0
0.429,0.434,0.440,0.428,0.428,0
0.434,0.440,0.428,0.428,0.432,0
0.440,0.428,0.428,0.432,0.429,0
0.428,0.428,0.432,0.429,0.429,0
0.428,0.432,0.429,0.429,0.432,0
0.432,0.429,0.429,0.432,0.433,0
0.429,0.429,0.432,0.433,0.429,0
0.429,0.432,0.433,0.429,0.426,0
0.432,0.433,0.429,0.426,0.444,0
0.433,0.429,0.426,0.444,0.434,0
0.429,0.426,0.444,0.434,0.435,0
0.426,0.444,0.434,0.435,0.434,0
0.444,0.434,0.435,0.434,0.435,0
0.434,0.435,0.434,0.435,0.436,0
0.435,0.434,0.435,0.436,0.439,0
0.434,0.435,0.436,0.439,0.440,0
0.435,0.436,0.439,0.440,0.438,0
0.436,0.439,0.440,0.438,0.437,0
0.439,0.440,0.438,0.437,0.434,0
0.440,0.438,0.437,0.434,0.429,0
0.438,0.437,0.434,0.429,0.427,0
0.437,0.434,0.429,0.427,0.431,0
0.434,0.429,0.427,0.431,0.436,0
0.429,0.427,0.431,0.436,0.423,0
0.427,0.431,0.436,0.423,0.431,0
0.431,0.436,0.423,0.431,0.433,0
0.436,0.423,0.431,0.433,0.440,0
0.423,0.431,0.433,0.440,0.433,0
0.431,0.433,0.440,0.433,0.430,0
0.433,0.440,0.433,0.430,0.431,0
0.440,0.433,0.430,0.431,0.429,0
0.433,0.430,0.431,0.429,0.430,0
0.430,0.431,0.429,0.430,0.436,0
0.431,0.429,0.430,0.436,0.428,0
0.429,0.430,0.436,0.428,0.432,0
0.430,0.436,0.428,0.432,0.427,0
0.436,0.428,0.432,0.427,0.429,0
0.428,0.432,0.427,0.429,0.426,0
0.432,0.427,0.429,0.426,0.423,0
0.427,0.429,0.426,0.423,0.418,0
0.429,0.426,0.423,0.418,0.402,0
0.426,0.423,0.418,0.402,0.426,0
0.423,0.418,0.402,0.426,0.423,0
0.418,0.402,0.426,0.423,0.427,0
0.402,0.426,0.423,0.427,0.435,0
0.426,0.423,0.427,0.435,0.430,0
0.423,0.427,0.435,0.430,0.434,0
0.427,0.435,0.430,0.434,0.429,0
0.435,0.430,0.434,0.429,0.427,0
0.430,0.434,0.429,0.427,0.424,0
0.434,0.429,0.427,0.424,0.426,0
0.429,0.427,0.424,0.426,0.418,0
0.427,0.424,0.426,0.418,0.422,0
0.424,0.426,0.418,0.422,0.419,0
0.426,0.418,0.422,0.419,0.418,0
0.418,0.422,0.419,0.418,0.420,0
0.422,0.419,0.418,0.420,0.420,0
0.419,0.418,0.420,0.420,0.410,0
0.418,0.420,0.420,0.410,0.427,0
0.420,0.420,0.410,0.427,0.416,0
0.420,0.410,0.427,0.416,0.417,0
0.410,0.427,0.416,0.417,0.423,0
0.427,0.416,0.417,0.423,0.421,0
0.416,0.417,0.423,0.421,0.425,0
0.417,0.423,0.421,0.425,0.421,0
0.423,0.421,0.425,0.421,0.422,0
0.421,0.425,0.421,0.422,0.407,0
0.425,0.421,0.422,0.407,0.418,0
0.421,0.422,0.407,0.418,0.411,0
0.422,0.407,0.418,0.411,0.439,0
0.407,0.418,0.411,0.439,0.422,0
0.418,0.411,0.439,0.422,0.423,0
0.411,0.439,0.422,0.423,0.421,0
0.439,0.422,0.423,0.421,0.429,0
0.422,0.423,0.421,0.429,0.415,0
0.423,0.421,0.429,0.415,0.432,0
0.421,0.429,0.415,0.432,0.432,0
0.429,0.415,0.432,0.432,0.436,0
0.415,0.432,0.432,0.436,0.441,0
0.432,0.432,0.436,0.441,0.438,0
0.432,0.436,0.441,0.438,0.440,0
0.436,0.441,0.438,0.440,0.437,0
0.441,0.438,0.440,0.437,0.438,0
0.438,0.440,0.437,0.438,0.424,0
0.440,0.437,0.438,0.424,0.437,0
0.437,0.438,0.424,0.437,0.440,0
0.438,0.424,0.437,0.440,0.439,0
0.424,0.437,0.440,0.439,0.438,0
0.437,0.440,0.439,0.438,0.436,0
0.440,0.439,0.438,0.436,0.439,0
0.439,0.438,0.436,0.439,0.434,0
0.438,0.436,0.439,0.434,0.453,0
0.436,0.439,0.434,0.453,0.433,0
0.439,0.434,0.453,0.433,0.434,0
0.434,0.453,0.433,0.434,0.434,0
0.453,0.433,0.434,0.434,0.432,0
0.433,0.434,0.434,0.432,0.436,0
0.434,0.434,0.432,0.436,0.432,0
0.434,0.432,0.436,0.432,0.433,0
0.432,0.436,0.432,0.433,0.435,0
0.436,0.432,0.433,0.435,0.434,0
0.432,0.433,0.435,0.434,0.440,0
0.433,0.435,0.434,0.440,0.439,0
0.435,0.434,0.440,0.439,0.435,0
0.434,0.440,0.439,0.435,0.437,0
0.440,0.439,0.435,0.437,0.442,0
0.439,0.435,0.437,0.442,0.442,0
0.435,0.437,0.442,0.442,0.433,0
0.437,0.442,0.442,0.433,0.432,0
0.442,0.442,0.433,0.432,0.431,0
0.442,0.433,0.432,0.431,0.442,0
0.433,0.432,0.431,0.442,0.434,0
0.432,0.431,0.442,0.434,0.436,0
0.431,0.442,0.434,0.436,0.436,0
0.442,0.434,0.436,0.436,0.431,0
0.434,0.436,0.436,0.431,0.431,0
0.436,0.436,0.431,0.431,0.438,0
0.436,0.431,0.431,0.438,0.432,0
0.431,0.431,0.438,0.432,0.439,0
0.431,0.438,0.432,0.439,0.442,0
0.438,0.432,0.439,0.442,0.444,0
0.432,0.439,0.442,0.444,0.440,0
0.439,0.442,0.444,0.440,0.443,0
0.442,0.444,0.440,0.443,0.438,0
0.444,0.440,0.443,0.438,0.438,0
0.440,0.443,0.438,0.438,0.446,0
0.443,0.438,0.438,0.446,0.434,0
0.438,0.438,0.446,0.434,0.440,0
0.438,0.446,0.434,0.440,0.442,0
0.446,0.434,0.440,0.442,0.437,0
0.434,0.440,0.442,0.437,0.442,0
0.440,0.442,0.437,0.442,0.442,0
0.442,0.437,0.442,0.442,0.441,0
0.437,0.442,0.442,0.441,0.438,0
0.442,0.442,0.441,0.438,0.445,0
0.442,0.441,0.438,0.445,0.440,0
0.441,0.438,0.445,0.440,0.445,0
0.438,0.445,0.440,0.445,0.445,0
0.445,0.440,0.445,0.445,0.444,0
0.440,0.445,0.445,0.444,0.444,0
0.445,0.445,0.444,0.444,0.446,0
0.445,0.444,0.444,0.446,0.444,0
0.444,0.444,0.446,0.444,0.449,0
0.444,0.446,0.444,0.449,0.434,0
0.446,0.444,0.449,0.434,0.441,0
0.444,0.449,0.434,0.441,0.443,0
0.449,0.434,0.441,0.443,0.444,0
0.434,0.441,0.443,0.444,0.444,0
0.441,0.443,0.444,0.444,0.448,0
0.443,0.444,0.444,0.448,0.447,0
0.444,0.444,0.448,0.447,0.447,0
0.444,0.448,0.447,0.447,0.420,0
0.448,0.447,0.447,0.420,0.381,0
0.447,0.447,0.420,0.381,0.387,0
0.447,0.420,0.381,0.387,0.391,0
0.420,0.381,0.387,0.391,0.394,0
0.381,0.387,0.391,0.394,0.412,0
0.387,0.391,0.394,0.412,0.408,0
0.391,0.394,0.412,0.408,0.405,0
0.394,0.412,0.408,0.405,0.413,0
0.412,0.408,0.405,0.413,0.419,0
0.408,0.405,0.413,0.419,0.408,0
0.405,0.413,0.419,0.408,0.415,0
0.413,0.419,0.408,0.415,0.414,0
0.419,0.408,0.415,0.414,0.408,0
0.408,0.415,0.414,0.408,0.407,0
0.415,0.414,0.408,0.407,0.405,0
0.414,0.408,0.407,0.405,0.414,0
0.408,0.407,0.405,0.414,0.404,0
0.407,0.405,0.414,0.404,0.406,0
0.405,0.414,0.404,0.406,0.413,0
0.414,0.404,0.406,0.413,0.410,0
0.404,0.406,0.413,0.410,0.411,0
0.406,0.413,0.410,0.411,0.408,0
0.413,0.410,0.411,0.408,0.407,0
0.410,0.411,0.408,0.407,0.406,0
0.411,0.408,0.407,0.406,0.411,0
0.408,0.407,0.406,0.411,0.418,0
0.407,0.406,0.411,0.418,0.403,0
0.406,0.411,0.418,0.403,0.404,0
0.411,0.418,0.403,0.404,0.402,0
0.418,0.403,0.404,0.402,0.405,0
0.403,0.404,0.402,0.405,0.405,0
0.404,0.402,0.405,0.405,0.404,0
0.402,0.405,0.405,0.404,0.399,0
0.405,0.405,0.404,0.399,0.390,0
0.405,0.404,0.399,0.390,0.406,0
0.404,0.399,0.390,0.406,0.402,0
0.399,0.390,0.406,0.402,0.400,0
0.390,0.406,0.402,0.400,0.403,0
0.406,0.402,0.400,0.403,0.403,0
0.402,0.400,0.403,0.403,0.401,0
0.400,0.403,0.403,0.401,0.400,0
0.403,0.403,0.401,0.400,0.405,0
0.403,0.401,0.400,0.405,0.414,0
0.401,0.400,0.405,0.414,0.408,0
0.400,0.405,0.414,0.408,0.404,0
0.405,0.414,0.408,0.404,0.397,0
0.414,0.408,0.404,0.397,0.399,0
0.408,0.404,0.397,0.399,0.398,0
0.404,0.397,0.399,0.398,0.396,0
0.397,0.399,0.398,0.396,0.400,0
0.799,1.541,1.522,1.522,1.555,1
1.541,1.522,1.522,1.555,1.761,1
1.522,1.522,1.555,1.761,2.800,1
1.522,1.555,1.761,2.800,2.808,1
1.555,1.761,2.800,2.808,2.813,1
1.761,2.800,2.808,2.813,2.821,1
2.911,2.921,2.929,2.818,0.704,2
2.921,2.929,2.818,0.704,0.707,2
2.929,2.818,0.704,0.707,0.719,2
2.818,0.704,0.707,0.719,0.700,2
