ValoresRsm,TimeStamp,EPOCH
0.708,02/07/2020 14:14:48.822,1593710088822
0.690,02/07/2020 14:14:49.322,1593710089322
0.673,02/07/2020 14:14:49.822,1593710089822
0.685,02/07/2020 14:14:50.322,1593710090322
0.690,02/07/2020 14:14:50.822,1593710090822
0.685,02/07/2020 14:14:51.322,1593710091322
0.685,02/07/2020 14:14:51.822,1593710091822
0.687,02/07/2020 14:14:52.322,1593710092322
0.697,02/07/2020 14:14:52.822,1593710092822
0.677,02/07/2020 14:14:53.322,1593710093322
0.685,02/07/2020 14:14:53.822,1593710093822
0.678,02/07/2020 14:14:54.322,1593710094322
0.691,02/07/2020 14:14:54.822,1593710094822
0.665,02/07/2020 14:14:55.322,1593710095322
0.676,02/07/2020 14:14:55.822,1593710095822
0.685,02/07/2020 14:14:56.322,1593710096322
0.675,02/07/2020 14:14:56.822,1593710096822
0.677,02/07/2020 14:14:57.322,1593710097322
0.668,02/07/2020 14:14:57.822,1593710097822
0.672,02/07/2020 14:14:58.322,1593710098322
0.681,02/07/2020 14:14:58.822,1593710098822
0.689,02/07/2020 14:14:59.322,1593710099322
0.674,02/07/2020 14:14:59.822,1593710099822
0.689,02/07/2020 14:15:00.322,1593710100322
0.676,02/07/2020 14:15:00.822,1593710100822
0.674,02/07/2020 14:15:01.322,1593710101322
0.673,02/07/2020 14:15:01.822,1593710101822
0.702,02/07/2020 14:15:02.322,1593710102322
0.671,02/07/2020 14:15:02.822,1593710102822
0.665,02/07/2020 14:15:03.322,1593710103322
0.665,02/07/2020 14:15:03.822,1593710103822
0.671,02/07/2020 14:15:04.322,1593710104322
0.671,02/07/2020 14:15:04.822,1593710104822
0.673,02/07/2020 14:15:05.322,1593710105322
0.673,02/07/2020 14:15:05.822,1593710105822
0.673,02/07/2020 14:15:06.322,1593710106322
0.672,02/07/2020 14:15:06.822,1593710106822
0.683,02/07/2020 14:15:07.322,1593710107322
0.690,02/07/2020 14:15:07.822,1593710107822
0.682,02/07/2020 14:15:08.322,1593710108322
0.679,02/07/2020 14:15:08.822,1593710108822
0.682,02/07/2020 14:15:09.322,1593710109322
0.674,02/07/2020 14:15:09.822,1593710109822
0.675,02/07/2020 14:15:10.322,1593710110322
0.681,02/07/2020 14:15:10.822,1593710110822
0.699,02/07/2020 14:15:11.322,1593710111322
0.669,02/07/2020 14:15:11.822,1593710111822
0.683,02/07/2020 14:15:12.322,1593710112322
0.681,02/07/2020 14:15:12.822,1593710112822
0.679,02/07/2020 14:15:13.322,1593710113322
0.680,02/07/2020 14:15:13.822,1593710113822
