1a amostra,2a amostra,3a amostra,4a amostra,5a amostra,ligando_1,desligando_1
0.718,0.724,0.710,0.711,0.718,0,0
0.690,0.719,0.718,0.724,0.710,0,0
0.703,0.690,0.719,0.718,0.724,0,0
0.706,0.703,0.690,0.719,0.718,0,0
0.703,0.706,0.703,0.690,0.719,0,0
0.700,0.703,0.706,0.703,0.690,0,0
0.705,0.700,0.703,0.706,0.703,0,0
0.840,0.840,0.843,0.839,0.836,0,0
0.839,0.840,0.840,0.843,0.839,0,1
2.570,0.839,0.840,0.840,0.843,0,1
2.588,2.570,0.839,0.840,0.840,0,1
2.589,2.588,2.570,0.839,0.840,0,1
2.591,2.589,2.588,2.570,0.839,0,1
2.575,2.572,2.572,2.571,2.580,1,0
0.829,2.575,2.572,2.572,2.571,1,0
0.817,0.829,2.575,2.572,2.572,1,0
0.839,0.817,0.829,2.575,2.572,1,0
0.831,0.839,0.817,0.829,2.575,1,0
