ValoresRms,TimeStamp,EPOCH,ClasseAparelho
0.752,15/07/2020 13:06:27.522,1594829187522,0
0.751,15/07/2020 13:06:28.022,1594829188022,0
0.752,15/07/2020 13:06:28.522,1594829188522,0
0.761,15/07/2020 13:06:29.022,1594829189022,0
1.410,15/07/2020 13:06:29.522,1594829189522,1
1.403,15/07/2020 13:06:31.522,1594829191522,1
1.971,15/07/2020 13:06:32.022,1594829192022,1
2.857,15/07/2020 13:06:32.522,1594829192522,0
2.845,15/07/2020 13:06:33.022,1594829193022,0
2.867,15/07/2020 13:06:33.523,1594829193523,0
2.854,15/07/2020 13:06:34.023,1594829194023,0

2.860,15/07/2020 13:07:07.026,1594829227026,0
2.850,15/07/2020 13:07:07.526,1594829227526,0
2.847,15/07/2020 13:07:08.026,1594829228026,0
2.851,15/07/2020 13:07:08.526,1594829228526,0
2.857,15/07/2020 13:07:09.026,1594829229026,2
0.743,15/07/2020 13:07:09.526,1594829229526,0
0.744,15/07/2020 13:07:10.026,1594829230026,0
0.740,15/07/2020 13:07:10.526,1594829230526,0
0.742,15/07/2020 13:07:11.026,1594829231026,0

0.776,15/07/2020 14:15:19.933,1594833319933,0
0.789,15/07/2020 14:15:20.433,1594833320433,0
0.775,15/07/2020 14:15:20.933,1594833320933,0
0.888,15/07/2020 14:15:21.433,1594833321433,0
1.607,15/07/2020 14:15:22.933,1594833322933,1
1.638,15/07/2020 14:15:23.433,1594833323433,1
1.897,15/07/2020 14:15:23.933,1594833323933,1
2.918,15/07/2020 14:15:24.433,1594833324433,1
2.931,15/07/2020 14:15:24.933,1594833324933,0
2.911,15/07/2020 14:15:25.433,1594833325433,0
2.941,15/07/2020 14:15:25.933,1594833325933,0
2.930,15/07/2020 14:15:26.433,1594833326433,0

2.900,15/07/2020 14:17:19.445,1594833439445,0
2.884,15/07/2020 14:17:19.945,1594833439945,0
2.894,15/07/2020 14:17:20.445,1594833440445,0
2.874,15/07/2020 14:17:20.945,1594833440945,0
0.786,15/07/2020 14:17:21.445,1594833441445,2
0.789,15/07/2020 14:17:21.945,1594833441945,0
0.789,15/07/2020 14:17:22.445,1594833442445,0
0.782,15/07/2020 14:17:22.945,1594833442945,0
0.803,15/07/2020 14:17:23.445,1594833443445,0

0.737,15/07/2020 19:41:15.876,1594852875876,0
0.721,15/07/2020 19:41:16.376,1594852876376,0
0.777,15/07/2020 19:41:16.876,1594852876876,0
0.784,15/07/2020 19:41:17.377,1594852877377,0
1.333,15/07/2020 19:41:18.877,1594852878877,1
1.409,15/07/2020 19:41:19.377,1594852879377,1
1.699,15/07/2020 19:41:19.877,1594852879877,1
2.808,15/07/2020 19:41:20.377,1594852880377,1
2.835,15/07/2020 19:41:20.877,1594852880877,0
2.845,15/07/2020 19:41:21.377,1594852881377,0
2.806,15/07/2020 19:41:21.877,1594852881877,0
2.838,15/07/2020 19:41:22.377,1594852882377,0

2.857,15/07/2020 19:42:14.882,1594852934882,0
2.864,15/07/2020 19:42:15.382,1594852935382,0
2.871,15/07/2020 19:42:15.882,1594852935882,0
2.865,15/07/2020 19:42:16.382,1594852936382,0
2.843,15/07/2020 19:42:16.882,1594852936882,2
0.716,15/07/2020 19:42:17.383,1594852937383,0
0.704,15/07/2020 19:42:17.883,1594852937883,0
0.722,15/07/2020 19:42:18.383,1594852938383,0
0.713,15/07/2020 19:42:18.883,1594852938883,0

2.848,15/07/2020 19:52:24.910,1594853544910,0
2.866,15/07/2020 19:52:25.409,1594853545409,0
2.851,15/07/2020 19:52:25.909,1594853545909,0
2.875,15/07/2020 19:52:26.408,1594853546408,0
0.725,15/07/2020 19:52:26.908,1594853546908,2
0.731,15/07/2020 19:52:27.407,1594853547407,0
0.722,15/07/2020 19:52:27.907,1594853547907,0
0.727,15/07/2020 19:52:28.406,1594853548406,0
0.783,15/07/2020 19:52:28.906,1594853548906,0


2.814,16/07/2020 14:11:49.916,1594919509916,0
2.815,16/07/2020 14:11:50.416,1594919510416,0
2.822,16/07/2020 14:11:50.916,1594919510916,0
2.819,16/07/2020 14:11:51.416,1594919511416,0
2.814,16/07/2020 14:11:51.916,1594919511916,2
0.703,16/07/2020 14:11:52.417,1594919512417,0
0.694,16/07/2020 14:11:52.917,1594919512917,0
0.708,16/07/2020 14:11:53.417,1594919513417,0
0.698,16/07/2020 14:11:53.917,1594919513917,0

2.847,28/07/2020 02:31:05.034,1595914265034,0
2.839,28/07/2020 02:31:05.534,1595914265534,0
2.853,28/07/2020 02:31:06.035,1595914266035,0
2.851,28/07/2020 02:31:06.535,1595914266535,0
0.727,28/07/2020 02:31:07.035,1595914267035,2
0.728,28/07/2020 02:31:07.535,1595914267535,0
0.750,28/07/2020 02:31:08.035,1595914268035,0
0.748,28/07/2020 02:31:08.536,1595914268536,0
0.761,28/07/2020 02:31:09.036,1595914269036,0

0.724,28/07/2020 02:31:10.536,1595914270536,0
1.668,28/07/2020 02:31:11.037,1595914271037,1
1.618,28/07/2020 02:31:11.537,1595914271537,1
1.658,28/07/2020 02:31:12.037,1595914272037,1
2.067,28/07/2020 02:31:12.537,1595914272537,1
2.845,28/07/2020 02:31:13.037,1595914273037,1
2.837,28/07/2020 02:31:13.538,1595914273538,0
2.844,28/07/2020 02:31:14.038,1595914274038,0

2.820,28/07/2020 02:32:17.563,1595914337563,0
2.837,28/07/2020 02:32:18.063,1595914338063,0
2.814,28/07/2020 02:32:18.563,1595914338563,0
2.824,28/07/2020 02:32:19.063,1595914339063,0
0.715,28/07/2020 02:32:19.563,1595914339563,2
0.764,28/07/2020 02:32:20.064,1595914340064,0
0.725,28/07/2020 02:32:20.564,1595914340564,0
0.725,28/07/2020 02:32:21.064,1595914341064,0
0.720,28/07/2020 02:32:21.564,1595914341564,0

0.351,28/07/2020 08:24:21.828,1595935461828,0
0.346,28/07/2020 08:24:22.328,1595935462328,0
0.345,28/07/2020 08:24:22.828,1595935462828,0
0.341,28/07/2020 08:24:23.328,1595935463328,0
4.885,28/07/2020 08:24:23.829,1595935463829,1
1.174,28/07/2020 08:24:24.329,1595935464329,1
1.186,28/07/2020 08:24:25.829,1595935465829,1
2.486,28/07/2020 08:24:26.830,1595935466830,1
2.500,28/07/2020 08:24:27.330,1595935467330,0
2.515,28/07/2020 08:24:27.830,1595935467830,0
2.533,28/07/2020 08:24:28.330,1595935468330,0
2.537,28/07/2020 08:24:28.830,1595935468830,0

2.503,28/07/2020 08:25:01.843,1595935501843,0
2.501,28/07/2020 08:25:02.344,1595935502344,0
2.496,28/07/2020 08:25:02.844,1595935502844,0
2.499,28/07/2020 08:25:03.344,1595935503344,0
0.348,28/07/2020 08:25:03.844,1595935503844,2
0.345,28/07/2020 08:25:04.344,1595935504344,0
0.349,28/07/2020 08:25:04.845,1595935504845,0
0.344,28/07/2020 08:25:05.345,1595935505345,0
