ValoresRms,TimeStamp,EPOCH,ClasseAparelho
1.335,06/07/2020 01:26:50.356,1594009610356,0
1.325,06/07/2020 01:26:50.856,1594009610856,0
1.358,06/07/2020 01:26:51.356,1594009611356,0
1.593,06/07/2020 01:26:51.856,1594009611856,0
2.887,06/07/2020 01:26:52.356,1594009612356,1
2.911,06/07/2020 01:26:52.857,1594009612857,0
2.916,06/07/2020 01:26:53.357,1594009613357,0
2.935,06/07/2020 01:26:53.857,1594009613857,0
2.933,06/07/2020 01:26:54.357,1594009614357,0

2.792,06/07/2020 01:27:47.866,1594009667866,0
2.787,06/07/2020 01:27:48.366,1594009668366,0
2.786,06/07/2020 01:27:48.866,1594009668866,0
2.791,06/07/2020 01:27:49.366,1594009669366,0
0.552,06/07/2020 01:27:49.867,1594009669867,2
0.553,06/07/2020 01:27:50.367,1594009670367,0
0.559,06/07/2020 01:27:50.867,1594009670867,0
0.554,06/07/2020 01:27:51.367,1594009671367,0
0.553,06/07/2020 01:27:51.867,1594009671867,0

1.571,06/07/2020 12:13:15.151,1594048395151,0
1.567,06/07/2020 12:13:15.651,1594048395651,0
1.571,06/07/2020 12:13:16.151,1594048396151,0
1.623,06/07/2020 12:13:16.652,1594048396652,0
2.854,06/07/2020 12:13:17.152,1594048397152,1
2.848,06/07/2020 12:13:17.652,1594048397652,0
2.863,06/07/2020 12:13:18.152,1594048398152,0
2.865,06/07/2020 12:13:18.652,1594048398652,0
2.873,06/07/2020 12:13:19.152,1594048399152,0

2.842,06/07/2020 12:14:12.661,1594048452661,0
2.843,06/07/2020 12:14:13.161,1594048453161,0
2.852,06/07/2020 12:14:13.662,1594048453662,0
2.877,06/07/2020 12:14:14.162,1594048454162,0
0.691,06/07/2020 12:14:14.662,1594048454662,2
0.702,06/07/2020 12:14:15.162,1594048455162,0
0.700,06/07/2020 12:14:15.662,1594048455662,0
0.708,06/07/2020 12:14:16.162,1594048456162,0
0.700,06/07/2020 12:14:16.662,1594048456662,0

1.571,06/07/2020 13:44:14.608,1594053854608,0
1.558,06/07/2020 13:44:15.108,1594053855108,0
1.537,06/07/2020 13:44:15.608,1594053855608,0
1.555,06/07/2020 13:44:16.108,1594053856108,0
2.194,06/07/2020 13:44:16.608,1594053856608,1
2.890,06/07/2020 13:44:17.108,1594053857108,0
2.887,06/07/2020 13:44:17.608,1594053857608,0
2.883,06/07/2020 13:44:18.108,1594053858108,0
2.885,06/07/2020 13:44:18.609,1594053858609,0

2.796,06/07/2020 13:46:12.128,1594053972128,0
2.806,06/07/2020 13:46:12.628,1594053972628,0
2.791,06/07/2020 13:46:13.129,1594053973129,0
2.778,06/07/2020 13:46:13.629,1594053973629,0
0.691,06/07/2020 13:46:14.129,1594053974129,2
0.715,06/07/2020 13:46:14.629,1594053974629,0
0.717,06/07/2020 13:46:15.129,1594053975129,0
0.707,06/07/2020 13:46:15.629,1594053975629,0
0.703,06/07/2020 13:46:16.129,1594053976129,0
