1a amostra,2a amostra,3a amostra,4a amostra,5a amostra,ClasseAparelho
2.955,2.930,2.942,2.918,0.742,2
2.930,2.942,2.918,0.742,0.735,2
2.942,2.918,0.742,0.735,0.744,2
2.918,0.742,0.735,0.744,0.740,2
0.742,0.735,0.744,0.740,0.743,2
3.010,3.009,3.007,3.006,0.956,2
3.009,3.007,3.006,0.956,0.970,2
3.007,3.006,0.956,0.970,0.966,2
3.006,0.956,0.970,0.966,0.991,2
0.956,0.970,0.966,0.991,0.969,2
3.017,3.027,3.008,3.016,0.959,2
3.027,3.008,3.016,0.959,0.971,2
3.008,3.016,0.959,0.971,0.960,2
3.016,0.959,0.971,0.960,0.962,2
0.959,0.971,0.960,0.962,0.962,2
3.166,3.036,2.673,2.616,0.497,2
3.036,2.673,2.616,0.497,0.494,2
