ValoresRms,TimeStamp,EPOCH,ligando_1,desligando_1
0.477,05/07/2020 17:22:39.050,1593980559050,0,0
0.673,05/07/2020 17:22:39.547,1593980559547,0,0
0.670,05/07/2020 17:22:40.044,1593980560044,0,0
0.683,05/07/2020 17:22:40.541,1593980560541,0,0
0.699,05/07/2020 17:22:41.038,1593980561038,0,0
0.711,05/07/2020 17:22:41.535,1593980561535,0,0
0.730,05/07/2020 17:22:42.031,1593980562031,0,0
0.738,05/07/2020 17:22:42.528,1593980562528,0,0
0.735,05/07/2020 17:22:43.025,1593980563025,0,0
0.748,05/07/2020 17:22:43.522,1593980563522,0,0
0.726,05/07/2020 17:22:44.019,1593980564019,0,0
0.732,05/07/2020 17:22:44.516,1593980564516,0,0
0.730,05/07/2020 17:22:45.013,1593980565013,0,0
0.735,05/07/2020 17:22:45.510,1593980565510,0,0
0.732,05/07/2020 17:22:46.007,1593980566007,0,0
0.740,05/07/2020 17:22:46.503,1593980566503,0,0
0.734,05/07/2020 17:22:47.000,1593980567000,0,0
0.730,05/07/2020 17:22:47.497,1593980567497,0,0
0.720,05/07/2020 17:22:47.994,1593980567994,0,0
0.698,05/07/2020 17:22:48.491,1593980568491,0,0
0.709,05/07/2020 17:22:48.988,1593980568988,0,0
0.705,05/07/2020 17:22:49.485,1593980569485,0,0
0.710,05/07/2020 17:22:49.982,1593980569982,0,0
0.710,05/07/2020 17:22:50.479,1593980570479,0,0
0.704,05/07/2020 17:22:50.976,1593980570976,0,0
0.705,05/07/2020 17:22:51.472,1593980571472,0,0
0.698,05/07/2020 17:22:51.969,1593980571969,0,0
0.703,05/07/2020 17:22:52.466,1593980572466,0,0
0.696,05/07/2020 17:22:52.963,1593980572963,0,0
0.702,05/07/2020 17:22:53.460,1593980573460,0,0
0.702,05/07/2020 17:22:53.957,1593980573957,0,0
0.705,05/07/2020 17:22:54.454,1593980574454,0,0
0.707,05/07/2020 17:22:54.951,1593980574951,0,0
0.701,05/07/2020 17:22:55.448,1593980575448,0,0
0.704,05/07/2020 17:22:55.944,1593980575944,0,0
0.694,05/07/2020 17:22:56.441,1593980576441,0,0
0.708,05/07/2020 17:22:56.938,1593980576938,0,0
0.693,05/07/2020 17:22:57.435,1593980577435,0,0
0.690,05/07/2020 17:22:57.932,1593980577932,0,0
0.694,05/07/2020 17:22:58.429,1593980578429,0,0
0.694,05/07/2020 17:22:58.926,1593980578926,0,0
0.681,05/07/2020 17:22:59.423,1593980579423,0,0
0.684,05/07/2020 17:22:59.920,1593980579920,0,0
0.685,05/07/2020 17:23:00.417,1593980580417,0,0
