ValoresRms,TimeStamp,EPOCH,ClasseAparelho
0.746,15/07/2020 13:05:02.013,1594829102013,0
0.744,15/07/2020 13:05:02.513,1594829102513,0
0.748,15/07/2020 13:05:03.014,1594829103014,0
0.736,15/07/2020 13:05:03.514,1594829103514,0
1.332,15/07/2020 13:05:04.014,1594829104014,1
1.317,15/07/2020 13:05:04.514,1594829104514,1
1.315,15/07/2020 13:05:05.014,1594829105014,1
1.381,15/07/2020 13:05:05.514,1594829105514,1
1.929,15/07/2020 13:05:06.014,1594829106014,1
2.872,15/07/2020 13:05:06.514,1594829106514,1
2.877,15/07/2020 13:05:07.014,1594829107014,0
2.892,15/07/2020 13:05:07.514,1594829107514,0
2.876,15/07/2020 13:05:08.014,1594829108014,0
2.881,15/07/2020 13:05:08.514,1594829108514,0
