ValoresRms,TimeStamp,EPOCH,ClasseAparelho
0.759,08/07/2020 12:34:01.350,1594222441350,0
0.761,08/07/2020 12:34:01.848,1594222441848,0
0.763,08/07/2020 12:34:02.346,1594222442346,0
0.764,08/07/2020 12:34:02.844,1594222442844,0
0.766,08/07/2020 12:34:03.342,1594222443342,0
0.764,08/07/2020 12:34:03.840,1594222443840,0
0.768,08/07/2020 12:34:04.338,1594222444338,0
0.755,08/07/2020 12:34:04.835,1594222444835,0
0.750,08/07/2020 12:34:05.333,1594222445333,0
0.767,08/07/2020 12:34:05.831,1594222445831,0
0.754,08/07/2020 12:34:06.329,1594222446329,0
0.764,08/07/2020 12:34:06.827,1594222446827,0
0.760,08/07/2020 12:34:07.325,1594222447325,0
0.764,08/07/2020 12:34:07.823,1594222447823,0
0.764,08/07/2020 12:34:08.321,1594222448321,0
0.775,08/07/2020 12:34:08.819,1594222448819,0
0.764,08/07/2020 12:34:09.317,1594222449317,0
0.759,08/07/2020 12:34:09.815,1594222449815,0
0.767,08/07/2020 12:34:10.313,1594222450313,0
0.761,08/07/2020 12:34:10.811,1594222450811,0
0.758,08/07/2020 12:34:11.309,1594222451309,0
0.763,08/07/2020 12:34:11.807,1594222451807,0
0.768,08/07/2020 12:34:12.305,1594222452305,0
0.761,08/07/2020 12:34:12.803,1594222452803,0
0.753,08/07/2020 12:34:13.300,1594222453300,0
0.553,08/07/2020 12:34:13.798,1594222453798,0
0.554,08/07/2020 12:34:14.296,1594222454296,0
0.553,08/07/2020 12:34:14.794,1594222454794,0
0.560,08/07/2020 12:34:15.292,1594222455292,0
0.548,08/07/2020 12:34:15.790,1594222455790,0
0.551,08/07/2020 12:34:16.288,1594222456288,0
0.545,08/07/2020 12:34:16.786,1594222456786,0
0.555,08/07/2020 12:34:17.284,1594222457284,0
0.555,08/07/2020 12:34:17.782,1594222457782,0
0.549,08/07/2020 12:34:18.280,1594222458280,0
0.544,08/07/2020 12:34:18.778,1594222458778,0
0.543,08/07/2020 12:34:19.276,1594222459276,0
0.542,08/07/2020 12:34:19.774,1594222459774,0
0.545,08/07/2020 12:34:20.272,1594222460272,0
0.548,08/07/2020 12:34:20.770,1594222460770,0
0.548,08/07/2020 12:34:21.267,1594222461267,0
0.527,08/07/2020 12:34:21.765,1594222461765,0
0.544,08/07/2020 12:34:22.263,1594222462263,0
0.546,08/07/2020 12:34:22.761,1594222462761,0
0.541,08/07/2020 12:34:23.259,1594222463259,0
0.547,08/07/2020 12:34:23.757,1594222463757,0
0.547,08/07/2020 12:34:24.255,1594222464255,0
0.542,08/07/2020 12:34:24.753,1594222464753,0
0.546,08/07/2020 12:34:25.251,1594222465251,0
0.557,08/07/2020 12:34:25.749,1594222465749,0
0.556,08/07/2020 12:34:26.247,1594222466247,0
0.552,08/07/2020 12:34:26.745,1594222466745,0
0.548,08/07/2020 12:34:27.243,1594222467243,0
0.546,08/07/2020 12:34:27.741,1594222467741,0
0.552,08/07/2020 12:34:28.239,1594222468239,0
0.554,08/07/2020 12:34:28.737,1594222468737,0
0.556,08/07/2020 12:34:29.235,1594222469235,0
0.549,08/07/2020 12:34:29.732,1594222469732,0
0.541,08/07/2020 12:34:30.230,1594222470230,0
