ValoresRms,Tempo,TimeStamp
0.568,02/07/2020 15:06:14.832,1593713174832
0.587,02/07/2020 15:06:15.332,1593713175332
0.575,02/07/2020 15:06:15.832,1593713175832
0.577,02/07/2020 15:06:16.332,1593713176332
0.589,02/07/2020 15:06:16.832,1593713176832
0.585,02/07/2020 15:06:17.332,1593713177332
0.591,02/07/2020 15:06:17.832,1593713177832
0.598,02/07/2020 15:06:18.332,1593713178332
0.558,02/07/2020 15:06:18.832,1593713178832
0.584,02/07/2020 15:06:19.332,1593713179332
0.596,02/07/2020 15:06:19.832,1593713179832
0.579,02/07/2020 15:06:20.332,1593713180332
0.579,02/07/2020 15:06:20.832,1593713180832
0.583,02/07/2020 15:06:21.332,1593713181332
0.582,02/07/2020 15:06:21.832,1593713181832
0.586,02/07/2020 15:06:22.332,1593713182332
0.591,02/07/2020 15:06:22.832,1593713182832
0.592,02/07/2020 15:06:23.332,1593713183332
0.577,02/07/2020 15:06:23.832,1593713183832
0.567,02/07/2020 15:06:24.332,1593713184332
0.567,02/07/2020 15:06:24.832,1593713184832
0.562,02/07/2020 15:06:25.332,1593713185332
0.576,02/07/2020 15:06:25.832,1593713185832
0.572,02/07/2020 15:06:26.332,1593713186332
0.577,02/07/2020 15:06:26.832,1593713186832
0.553,02/07/2020 15:06:27.332,1593713187332
0.576,02/07/2020 15:06:27.832,1593713187832
0.563,02/07/2020 15:06:28.332,1593713188332
0.573,02/07/2020 15:06:28.832,1593713188832
0.567,02/07/2020 15:06:29.332,1593713189332
0.566,02/07/2020 15:06:29.832,1593713189832
0.566,02/07/2020 15:06:30.332,1593713190332
0.568,02/07/2020 15:06:30.832,1593713190832
0.568,02/07/2020 15:06:31.332,1593713191332
0.578,02/07/2020 15:06:31.832,1593713191832
0.565,02/07/2020 15:06:32.332,1593713192332
0.591,02/07/2020 15:06:32.832,1593713192832
0.587,02/07/2020 15:06:33.332,1593713193332
0.600,02/07/2020 15:06:33.832,1593713193832
0.583,02/07/2020 15:06:34.332,1593713194332
0.582,02/07/2020 15:06:34.832,1593713194832
0.582,02/07/2020 15:06:35.332,1593713195332
0.567,02/07/2020 15:06:35.832,1593713195832
0.598,02/07/2020 15:06:36.332,1593713196332
0.574,02/07/2020 15:06:36.832,1593713196832
0.562,02/07/2020 15:06:37.332,1593713197332
0.559,02/07/2020 15:06:37.832,1593713197832
0.580,02/07/2020 15:06:38.332,1593713198332
0.571,02/07/2020 15:06:38.832,1593713198832
0.567,02/07/2020 15:06:39.332,1593713199332
0.574,02/07/2020 15:06:39.832,1593713199832
0.564,02/07/2020 15:06:40.332,1593713200332
0.601,02/07/2020 15:06:40.832,1593713200832
0.573,02/07/2020 15:06:41.332,1593713201332
0.558,02/07/2020 15:06:41.832,1593713201832
0.566,02/07/2020 15:06:42.332,1593713202332
0.565,02/07/2020 15:06:42.832,1593713202832
0.563,02/07/2020 15:06:43.332,1593713203332
0.564,02/07/2020 15:06:43.832,1593713203832
0.549,02/07/2020 15:06:44.332,1593713204332
0.564,02/07/2020 15:06:44.832,1593713204832
0.589,02/07/2020 15:06:45.332,1593713205332
0.596,02/07/2020 15:06:45.832,1593713205832
0.575,02/07/2020 15:06:46.332,1593713206332
0.582,02/07/2020 15:06:46.832,1593713206832
0.577,02/07/2020 15:06:47.332,1593713207332
0.568,02/07/2020 15:06:47.832,1593713207832
0.596,02/07/2020 15:06:48.332,1593713208332
0.587,02/07/2020 15:06:48.832,1593713208832
0.575,02/07/2020 15:06:49.332,1593713209332
0.581,02/07/2020 15:06:49.832,1593713209832
