ValoresRms,TimeStamp,EPOCH
0.568,06/07/2020 01:26:27.852,1594009587852
0.567,06/07/2020 01:26:28.352,1594009588352
0.562,06/07/2020 01:26:28.852,1594009588852
0.578,06/07/2020 01:26:29.352,1594009589352
0.577,06/07/2020 01:26:29.853,1594009589853
0.581,06/07/2020 01:26:30.353,1594009590353
0.578,06/07/2020 01:26:30.853,1594009590853
0.577,06/07/2020 01:26:31.353,1594009591353
0.593,06/07/2020 01:26:31.853,1594009591853
0.574,06/07/2020 01:26:32.353,1594009592353
0.567,06/07/2020 01:26:32.853,1594009592853
0.548,06/07/2020 01:26:33.353,1594009593353
0.560,06/07/2020 01:26:33.853,1594009593853
0.560,06/07/2020 01:26:34.353,1594009594353
0.558,06/07/2020 01:26:34.853,1594009594853
0.552,06/07/2020 01:26:35.354,1594009595354
0.544,06/07/2020 01:26:35.854,1594009595854
0.530,06/07/2020 01:26:36.354,1594009596354
0.587,06/07/2020 01:26:36.854,1594009596854
0.584,06/07/2020 01:26:37.354,1594009597354
0.588,06/07/2020 01:26:37.854,1594009597854
0.591,06/07/2020 01:26:38.354,1594009598354
0.592,06/07/2020 01:26:38.854,1594009598854
0.648,06/07/2020 01:26:39.354,1594009599354
0.638,06/07/2020 01:26:39.854,1594009599854
0.656,06/07/2020 01:26:40.354,1594009600354
0.648,06/07/2020 01:26:40.854,1594009600854
0.654,06/07/2020 01:26:41.355,1594009601355
0.654,06/07/2020 01:26:41.855,1594009601855
0.659,06/07/2020 01:26:42.355,1594009602355
0.652,06/07/2020 01:26:42.855,1594009602855
0.657,06/07/2020 01:26:43.355,1594009603355
0.654,06/07/2020 01:26:43.855,1594009603855
0.667,06/07/2020 01:26:44.355,1594009604355
0.648,06/07/2020 01:26:44.855,1594009604855
0.655,06/07/2020 01:26:45.355,1594009605355
0.654,06/07/2020 01:26:45.855,1594009605855
0.678,06/07/2020 01:26:46.355,1594009606355
0.617,06/07/2020 01:26:46.856,1594009606856
0.623,06/07/2020 01:26:47.356,1594009607356
0.657,06/07/2020 01:26:47.856,1594009607856
0.663,06/07/2020 01:26:48.356,1594009608356
0.659,06/07/2020 01:26:48.856,1594009608856
0.657,06/07/2020 01:26:49.356,1594009609356
1.361,06/07/2020 01:26:49.856,1594009609856
1.335,06/07/2020 01:26:50.356,1594009610356
1.325,06/07/2020 01:26:50.856,1594009610856
1.358,06/07/2020 01:26:51.356,1594009611356
1.593,06/07/2020 01:26:51.856,1594009611856
2.887,06/07/2020 01:26:52.356,1594009612356
2.911,06/07/2020 01:26:52.857,1594009612857
2.916,06/07/2020 01:26:53.357,1594009613357
2.935,06/07/2020 01:26:53.857,1594009613857
2.933,06/07/2020 01:26:54.357,1594009614357
