EPOCH,TimeStamp,ClasseAparelho
1597077538,10/08/2020 13:38:58,1
1597077540,10/08/2020 13:39:00,1
1597077541,10/08/2020 13:39:01,1
1597077543,10/08/2020 13:39:03,1
1597077544,10/08/2020 13:39:04,1
1597077546,10/08/2020 13:39:06,1
1597077546,10/08/2020 13:39:06,1
1597077548,10/08/2020 13:39:08,1
1597077549,10/08/2020 13:39:09,1
1597077551,10/08/2020 13:39:11,1
1597077551,10/08/2020 13:39:11,1
1597077552,10/08/2020 13:39:12,1
1597077554,10/08/2020 13:39:14,1
1597077554,10/08/2020 13:39:14,1
1597077556,10/08/2020 13:39:16,1
1597077557,10/08/2020 13:39:17,1
1597077559,10/08/2020 13:39:19,1
1597077559,10/08/2020 13:39:19,1
1597077561,10/08/2020 13:39:21,1
1597077562,10/08/2020 13:39:22,1
1597077564,10/08/2020 13:39:24,1
1597077565,10/08/2020 13:39:25,1
1597077567,10/08/2020 13:39:27,1
1597077567,10/08/2020 13:39:27,1
1597077569,10/08/2020 13:39:29,1
1597077570,10/08/2020 13:39:30,1
1597077570,10/08/2020 13:39:30,1
1597077572,10/08/2020 13:39:32,1
1597077573,10/08/2020 13:39:33,1
1597077575,10/08/2020 13:39:35,1
1597077575,10/08/2020 13:39:35,1
1597077576,10/08/2020 13:39:36,2
1597077577,10/08/2020 13:39:37,1
1597077577,10/08/2020 13:39:37,1
1597077578,10/08/2020 13:39:38,1
1597077578,10/08/2020 13:39:38,1
1597077580,10/08/2020 13:39:40,1
1597077581,10/08/2020 13:39:41,1
1597077583,10/08/2020 13:39:43,1
1597077586,10/08/2020 13:39:46,1
1597077588,10/08/2020 13:39:48,1
1597077590,10/08/2020 13:39:50,1
1597077591,10/08/2020 13:39:51,1
1597077591,10/08/2020 13:39:51,1
1597077594,10/08/2020 13:39:54,1
1597077599,10/08/2020 13:39:59,1
1597077600,10/08/2020 13:40:00,1
1597077600,10/08/2020 13:40:00,1
1597077624,10/08/2020 13:40:24,2
1597077625,10/08/2020 13:40:25,2
1597077625,10/08/2020 13:40:25,2
1597077626,10/08/2020 13:40:26,2
1597077668,10/08/2020 13:41:08,1
1597077668,10/08/2020 13:41:08,1
1597077669,10/08/2020 13:41:09,1
1597077669,10/08/2020 13:41:09,1
1597077670,10/08/2020 13:41:10,1
1597077671,10/08/2020 13:41:11,1
1597077671,10/08/2020 13:41:11,1
1597077672,10/08/2020 13:41:12,1
1597077708,10/08/2020 13:41:48,2
1597077708,10/08/2020 13:41:48,2
1597077709,10/08/2020 13:41:49,2
1597077709,10/08/2020 13:41:49,2
1597077730,10/08/2020 13:42:10,1
1597077731,10/08/2020 13:42:11,1
1597077731,10/08/2020 13:42:11,1
1597077732,10/08/2020 13:42:12,1
1597077754,10/08/2020 13:42:34,1
1597077755,10/08/2020 13:42:35,1
1597077755,10/08/2020 13:42:35,1
1597077756,10/08/2020 13:42:36,1
1597077779,10/08/2020 13:42:59,1
1597077779,10/08/2020 13:42:59,1
1597077780,10/08/2020 13:43:00,1
1597077780,10/08/2020 13:43:00,1
1597077803,10/08/2020 13:43:23,1
1597077803,10/08/2020 13:43:23,1
1597077804,10/08/2020 13:43:24,1
1597077804,10/08/2020 13:43:24,1
1597077951,10/08/2020 13:45:51,1
1597077952,10/08/2020 13:45:52,1
1597077952,10/08/2020 13:45:52,1
1597077973,10/08/2020 13:46:13,2
1597077974,10/08/2020 13:46:14,2
1597077974,10/08/2020 13:46:14,2
1597077975,10/08/2020 13:46:15,2
1597077980,10/08/2020 13:46:20,1
1597077982,10/08/2020 13:46:22,2
1597078014,10/08/2020 13:46:54,1
1597078015,10/08/2020 13:46:55,1
1597078015,10/08/2020 13:46:55,1
1597078016,10/08/2020 13:46:56,1
1597078028,10/08/2020 13:47:08,2
1597078030,10/08/2020 13:47:10,2
1597078035,10/08/2020 13:47:15,1
1597078036,10/08/2020 13:47:16,1
1597078037,10/08/2020 13:47:17,2
1597078037,10/08/2020 13:47:17,2
1597078038,10/08/2020 13:47:18,2
1597078059,10/08/2020 13:47:39,1
1597078060,10/08/2020 13:47:40,2
1597078061,10/08/2020 13:47:41,2
1597078061,10/08/2020 13:47:41,2
1597078062,10/08/2020 13:47:42,2
1597078168,10/08/2020 13:49:28,1
1597078169,10/08/2020 13:49:29,2
1597078170,10/08/2020 13:49:30,2
1597078170,10/08/2020 13:49:30,2
1597078171,10/08/2020 13:49:31,2
1597078497,10/08/2020 13:54:57,1
1597078497,10/08/2020 13:54:57,2
1597078498,10/08/2020 13:54:58,2
1597078498,10/08/2020 13:54:58,2
1597078499,10/08/2020 13:54:59,2
1597078504,10/08/2020 13:55:04,2
1597078504,10/08/2020 13:55:04,2
1597078505,10/08/2020 13:55:05,2
1597078515,10/08/2020 13:55:15,1
1597078531,10/08/2020 13:55:31,2
1597078532,10/08/2020 13:55:32,2
1597078532,10/08/2020 13:55:32,2
1597078533,10/08/2020 13:55:33,2
1597078552,10/08/2020 13:55:52,2
1597089255,10/08/2020 16:54:15,2
1597100010,10/08/2020 19:53:30,1
1597100043,10/08/2020 19:54:03,1
1597100044,10/08/2020 19:54:04,1
1597100046,10/08/2020 19:54:06,1
1597100047,10/08/2020 19:54:07,1
1597100049,10/08/2020 19:54:09,1
1597100051,10/08/2020 19:54:11,1
1597100064,10/08/2020 19:54:24,1
1597100066,10/08/2020 19:54:26,1
1597100067,10/08/2020 19:54:27,1
1597100070,10/08/2020 19:54:30,1
1597100077,10/08/2020 19:54:37,1
1597100085,10/08/2020 19:54:45,1
1597100090,10/08/2020 19:54:50,1
1597100092,10/08/2020 19:54:52,1
1597100118,10/08/2020 19:55:18,1
1597100118,10/08/2020 19:55:18,1
1597100119,10/08/2020 19:55:19,1
1597100119,10/08/2020 19:55:19,1
1597100120,10/08/2020 19:55:20,1
1597100120,10/08/2020 19:55:20,1
1597100121,10/08/2020 19:55:21,1
1597100121,10/08/2020 19:55:21,1
1597100122,10/08/2020 19:55:22,1
1597100122,10/08/2020 19:55:22,1
1597100123,10/08/2020 19:55:23,1
1597100123,10/08/2020 19:55:23,1
1597100124,10/08/2020 19:55:24,1
1597100124,10/08/2020 19:55:24,1
1597100125,10/08/2020 19:55:25,1
1597100125,10/08/2020 19:55:25,1
1597100126,10/08/2020 19:55:26,1
1597100126,10/08/2020 19:55:26,1
1597100127,10/08/2020 19:55:27,1
1597100127,10/08/2020 19:55:27,1
1597100128,10/08/2020 19:55:28,1
1597100128,10/08/2020 19:55:28,1
1597100129,10/08/2020 19:55:29,1
1597100129,10/08/2020 19:55:29,1
1597100130,10/08/2020 19:55:30,1
1597100130,10/08/2020 19:55:30,1
1597100131,10/08/2020 19:55:31,1
1597100132,10/08/2020 19:55:32,1
1597100132,10/08/2020 19:55:32,1
1597100133,10/08/2020 19:55:33,1
1597100133,10/08/2020 19:55:33,1
1597100134,10/08/2020 19:55:34,1
1597100134,10/08/2020 19:55:34,1
1597100135,10/08/2020 19:55:35,1
1597100135,10/08/2020 19:55:35,1
1597100136,10/08/2020 19:55:36,1
1597100136,10/08/2020 19:55:36,1
1597100137,10/08/2020 19:55:37,1
1597100137,10/08/2020 19:55:37,1
1597100142,10/08/2020 19:55:42,1
1597100142,10/08/2020 19:55:42,1
1597100144,10/08/2020 19:55:44,1
1597100164,10/08/2020 19:56:04,1
1597100166,10/08/2020 19:56:06,1
1597100167,10/08/2020 19:56:07,1
1597100167,10/08/2020 19:56:07,1
1597100168,10/08/2020 19:56:08,1
1597100168,10/08/2020 19:56:08,1
1597100169,10/08/2020 19:56:09,1
1597100169,10/08/2020 19:56:09,1
1597100170,10/08/2020 19:56:10,1
1597100170,10/08/2020 19:56:10,1
1597100171,10/08/2020 19:56:11,1
1597100171,10/08/2020 19:56:11,1
1597100172,10/08/2020 19:56:12,1
1597100172,10/08/2020 19:56:12,1
1597100173,10/08/2020 19:56:13,1
1597100173,10/08/2020 19:56:13,1
1597100174,10/08/2020 19:56:14,1
1597100174,10/08/2020 19:56:14,1
1597100175,10/08/2020 19:56:15,1
1597100175,10/08/2020 19:56:15,1
1597100176,10/08/2020 19:56:16,1
1597100176,10/08/2020 19:56:16,1
1597100197,10/08/2020 19:56:37,1
1597100201,10/08/2020 19:56:41,1
1597100209,10/08/2020 19:56:49,1
1597100211,10/08/2020 19:56:51,1
1597100233,10/08/2020 19:57:13,1
1597100236,10/08/2020 19:57:16,1
1597100236,10/08/2020 19:57:16,1
1597100238,10/08/2020 19:57:18,1
1597100241,10/08/2020 19:57:21,1
1597100241,10/08/2020 19:57:21,1
1597100243,10/08/2020 19:57:23,1
1597100243,10/08/2020 19:57:23,1
1597100245,10/08/2020 19:57:25,1
1597100249,10/08/2020 19:57:29,1
1597100249,10/08/2020 19:57:29,1
1597100251,10/08/2020 19:57:31,1
1597100260,10/08/2020 19:57:40,1
1597100263,10/08/2020 19:57:43,1
1597100265,10/08/2020 19:57:45,1
1597100266,10/08/2020 19:57:46,1
1597100269,10/08/2020 19:57:49,1
1597100274,10/08/2020 19:57:54,1
1597100277,10/08/2020 19:57:57,1
1597100283,10/08/2020 19:58:03,1
1597100284,10/08/2020 19:58:04,1
1597100287,10/08/2020 19:58:07,1
1597100295,10/08/2020 19:58:15,1
1597100297,10/08/2020 19:58:17,1
1597100298,10/08/2020 19:58:18,1
1597100309,10/08/2020 19:58:29,1
1597100320,10/08/2020 19:58:40,1
1597100322,10/08/2020 19:58:42,1
1597100326,10/08/2020 19:58:46,1
1597100326,10/08/2020 19:58:46,1
1597100332,10/08/2020 19:58:52,1
1597100356,10/08/2020 19:59:16,1
1597100359,10/08/2020 19:59:19,1
1597100359,10/08/2020 19:59:19,1
1597100360,10/08/2020 19:59:20,1
1597100360,10/08/2020 19:59:20,1
1597100361,10/08/2020 19:59:21,1
1597100361,10/08/2020 19:59:21,1
1597102638,10/08/2020 20:37:18,1
1597102649,10/08/2020 20:37:29,1
1597106938,10/08/2020 21:48:58,1
1597106940,10/08/2020 21:49:00,1
1597106947,10/08/2020 21:49:07,1
1597106951,10/08/2020 21:49:11,1
1597106953,10/08/2020 21:49:13,1
1597106955,10/08/2020 21:49:15,1
1597107497,10/08/2020 21:58:17,1
1597107500,10/08/2020 21:58:20,1
