RMS,TimeStamp,EPOCH
0.858,10/08/2020 20:35:19.150,1597102519150
0.855,10/08/2020 20:35:19.651,1597102519651
0.865,10/08/2020 20:35:20.151,1597102520151
0.857,10/08/2020 20:35:20.652,1597102520652
0.852,10/08/2020 20:35:21.152,1597102521152
0.868,10/08/2020 20:35:21.653,1597102521653
0.854,10/08/2020 20:35:22.153,1597102522153
0.851,10/08/2020 20:35:22.654,1597102522654
0.851,10/08/2020 20:35:23.154,1597102523154
0.858,10/08/2020 20:35:23.655,1597102523655
0.855,10/08/2020 20:35:24.156,1597102524156
0.851,10/08/2020 20:35:24.656,1597102524656
0.857,10/08/2020 20:35:25.157,1597102525157
0.850,10/08/2020 20:35:25.657,1597102525657
0.853,10/08/2020 20:35:26.158,1597102526158
0.855,10/08/2020 20:35:26.658,1597102526658
0.854,10/08/2020 20:35:27.159,1597102527159
0.849,10/08/2020 20:35:27.660,1597102527660
0.854,10/08/2020 20:35:28.160,1597102528160
0.852,10/08/2020 20:35:28.661,1597102528661
0.856,10/08/2020 20:35:29.161,1597102529161
0.855,10/08/2020 20:35:29.662,1597102529662
0.870,10/08/2020 20:35:30.162,1597102530162
0.858,10/08/2020 20:35:30.663,1597102530663
0.864,10/08/2020 20:35:31.164,1597102531164
0.857,10/08/2020 20:35:31.664,1597102531664
0.859,10/08/2020 20:35:32.165,1597102532165
0.859,10/08/2020 20:35:32.665,1597102532665
0.853,10/08/2020 20:35:33.166,1597102533166
0.851,10/08/2020 20:35:33.666,1597102533666
0.846,10/08/2020 20:35:34.167,1597102534167
0.867,10/08/2020 20:35:34.668,1597102534668
0.855,10/08/2020 20:35:35.168,1597102535168
0.851,10/08/2020 20:35:35.669,1597102535669
0.847,10/08/2020 20:35:36.169,1597102536169
0.850,10/08/2020 20:35:36.670,1597102536670
0.852,10/08/2020 20:35:37.170,1597102537170
0.851,10/08/2020 20:35:37.671,1597102537671
0.856,10/08/2020 20:35:38.171,1597102538171
0.836,10/08/2020 20:35:38.672,1597102538672
0.851,10/08/2020 20:35:39.173,1597102539173
0.847,10/08/2020 20:35:39.673,1597102539673
0.847,10/08/2020 20:35:40.174,1597102540174
0.845,10/08/2020 20:35:40.674,1597102540674
0.842,10/08/2020 20:35:41.175,1597102541175
0.840,10/08/2020 20:35:41.675,1597102541675
0.841,10/08/2020 20:35:42.176,1597102542176
0.862,10/08/2020 20:35:42.677,1597102542677
0.851,10/08/2020 20:35:43.177,1597102543177
0.851,10/08/2020 20:35:43.678,1597102543678
0.845,10/08/2020 20:35:44.178,1597102544178
0.839,10/08/2020 20:35:44.679,1597102544679
0.845,10/08/2020 20:35:45.179,1597102545179
0.854,10/08/2020 20:35:45.680,1597102545680
0.859,10/08/2020 20:35:46.181,1597102546181
0.858,10/08/2020 20:35:46.681,1597102546681
0.867,10/08/2020 20:35:47.182,1597102547182
0.860,10/08/2020 20:35:47.682,1597102547682
0.862,10/08/2020 20:35:48.183,1597102548183
0.846,10/08/2020 20:35:48.683,1597102548683
0.860,10/08/2020 20:35:49.184,1597102549184
0.846,10/08/2020 20:35:49.684,1597102549684
0.856,10/08/2020 20:35:50.185,1597102550185
0.845,10/08/2020 20:35:50.686,1597102550686
0.851,10/08/2020 20:35:51.186,1597102551186
0.841,10/08/2020 20:35:51.687,1597102551687
0.849,10/08/2020 20:35:52.187,1597102552187
0.845,10/08/2020 20:35:52.688,1597102552688
