RMS,TimeStamp,EPOCH
0.932,10/08/2020 21:41:08.112,1597106468112
0.915,10/08/2020 21:41:08.613,1597106468613
0.909,10/08/2020 21:41:09.114,1597106469114
0.916,10/08/2020 21:41:09.614,1597106469614
0.886,10/08/2020 21:41:10.115,1597106470115
0.925,10/08/2020 21:41:10.615,1597106470615
0.923,10/08/2020 21:41:11.116,1597106471116
0.914,10/08/2020 21:41:11.616,1597106471616
0.930,10/08/2020 21:41:12.117,1597106472117
0.923,10/08/2020 21:41:12.618,1597106472618
0.950,10/08/2020 21:41:13.118,1597106473118
0.922,10/08/2020 21:41:13.619,1597106473619
0.944,10/08/2020 21:41:14.119,1597106474119
0.932,10/08/2020 21:41:14.620,1597106474620
0.937,10/08/2020 21:41:15.120,1597106475120
0.929,10/08/2020 21:41:15.621,1597106475621
0.914,10/08/2020 21:41:16.121,1597106476121
0.922,10/08/2020 21:41:16.622,1597106476622
0.935,10/08/2020 21:41:17.123,1597106477123
0.923,10/08/2020 21:41:17.623,1597106477623
0.961,10/08/2020 21:41:18.124,1597106478124
0.927,10/08/2020 21:41:18.624,1597106478624
0.925,10/08/2020 21:41:19.125,1597106479125
0.938,10/08/2020 21:41:19.625,1597106479625
0.939,10/08/2020 21:41:20.126,1597106480126
0.935,10/08/2020 21:41:20.627,1597106480627
0.962,10/08/2020 21:41:21.127,1597106481127
0.942,10/08/2020 21:41:21.628,1597106481628
0.939,10/08/2020 21:41:22.128,1597106482128
0.928,10/08/2020 21:41:22.629,1597106482629
0.938,10/08/2020 21:41:23.129,1597106483129
0.946,10/08/2020 21:41:23.630,1597106483630
0.925,10/08/2020 21:41:24.131,1597106484131
0.919,10/08/2020 21:41:24.631,1597106484631
0.929,10/08/2020 21:41:25.132,1597106485132
0.957,10/08/2020 21:41:25.632,1597106485632
0.946,10/08/2020 21:41:26.133,1597106486133
0.956,10/08/2020 21:41:26.633,1597106486633
0.943,10/08/2020 21:41:27.134,1597106487134
0.940,10/08/2020 21:41:27.634,1597106487634
0.938,10/08/2020 21:41:28.135,1597106488135
0.919,10/08/2020 21:41:28.636,1597106488636
0.922,10/08/2020 21:41:29.136,1597106489136
0.929,10/08/2020 21:41:29.637,1597106489637
0.941,10/08/2020 21:41:30.137,1597106490137
0.911,10/08/2020 21:41:30.638,1597106490638
0.943,10/08/2020 21:41:31.138,1597106491138
0.948,10/08/2020 21:41:31.639,1597106491639
0.941,10/08/2020 21:41:32.140,1597106492140
0.929,10/08/2020 21:41:32.640,1597106492640
0.952,10/08/2020 21:41:33.141,1597106493141
0.961,10/08/2020 21:41:33.641,1597106493641
0.961,10/08/2020 21:41:34.142,1597106494142
0.976,10/08/2020 21:41:34.642,1597106494642
0.954,10/08/2020 21:41:35.143,1597106495143
0.959,10/08/2020 21:41:35.644,1597106495644
0.950,10/08/2020 21:41:36.144,1597106496144
0.964,10/08/2020 21:41:36.645,1597106496645
0.976,10/08/2020 21:41:37.145,1597106497145
0.941,10/08/2020 21:41:37.646,1597106497646
0.936,10/08/2020 21:41:38.146,1597106498146
0.950,10/08/2020 21:41:38.647,1597106498647
0.927,10/08/2020 21:41:39.147,1597106499147
0.933,10/08/2020 21:41:39.648,1597106499648
0.966,10/08/2020 21:41:40.149,1597106500149
0.887,10/08/2020 21:41:40.649,1597106500649
0.969,10/08/2020 21:41:41.150,1597106501150
0.961,10/08/2020 21:41:41.650,1597106501650
0.963,10/08/2020 21:41:42.151,1597106502151
0.948,10/08/2020 21:41:42.651,1597106502651
0.950,10/08/2020 21:41:43.152,1597106503152
0.947,10/08/2020 21:41:43.653,1597106503653
0.951,10/08/2020 21:41:44.153,1597106504153
0.956,10/08/2020 21:41:44.654,1597106504654
0.961,10/08/2020 21:41:45.154,1597106505154
0.955,10/08/2020 21:41:45.655,1597106505655
0.966,10/08/2020 21:41:46.155,1597106506155
0.965,10/08/2020 21:41:46.656,1597106506656
0.955,10/08/2020 21:41:47.157,1597106507157
0.942,10/08/2020 21:41:47.657,1597106507657
0.892,10/08/2020 21:41:48.158,1597106508158
0.952,10/08/2020 21:41:48.658,1597106508658
0.961,10/08/2020 21:41:49.159,1597106509159
0.951,10/08/2020 21:41:49.659,1597106509659
0.952,10/08/2020 21:41:50.160,1597106510160
0.955,10/08/2020 21:41:50.661,1597106510661
0.950,10/08/2020 21:41:51.161,1597106511161
0.964,10/08/2020 21:41:51.662,1597106511662
0.942,10/08/2020 21:41:52.162,1597106512162
0.953,10/08/2020 21:41:52.663,1597106512663
0.949,10/08/2020 21:41:53.163,1597106513163
0.959,10/08/2020 21:41:53.664,1597106513664
0.954,10/08/2020 21:41:54.164,1597106514164
0.952,10/08/2020 21:41:54.665,1597106514665
0.951,10/08/2020 21:41:55.166,1597106515166
0.955,10/08/2020 21:41:55.666,1597106515666
0.960,10/08/2020 21:41:56.167,1597106516167
0.954,10/08/2020 21:41:56.667,1597106516667
0.933,10/08/2020 21:41:57.168,1597106517168
0.949,10/08/2020 21:41:57.668,1597106517668
0.938,10/08/2020 21:41:58.169,1597106518169
0.932,10/08/2020 21:41:58.670,1597106518670
0.924,10/08/2020 21:41:59.170,1597106519170
0.887,10/08/2020 21:41:59.671,1597106519671
0.963,10/08/2020 21:42:00.171,1597106520171
0.939,10/08/2020 21:42:00.672,1597106520672
0.934,10/08/2020 21:42:01.172,1597106521172
0.945,10/08/2020 21:42:01.673,1597106521673
0.931,10/08/2020 21:42:02.174,1597106522174
0.930,10/08/2020 21:42:02.674,1597106522674
0.935,10/08/2020 21:42:03.175,1597106523175
0.932,10/08/2020 21:42:03.675,1597106523675
0.936,10/08/2020 21:42:04.176,1597106524176
0.927,10/08/2020 21:42:04.676,1597106524676
0.929,10/08/2020 21:42:05.177,1597106525177
0.941,10/08/2020 21:42:05.677,1597106525677
0.937,10/08/2020 21:42:06.178,1597106526178
0.933,10/08/2020 21:42:06.679,1597106526679
0.940,10/08/2020 21:42:07.179,1597106527179
0.953,10/08/2020 21:42:07.680,1597106527680
0.936,10/08/2020 21:42:08.180,1597106528180
0.943,10/08/2020 21:42:08.681,1597106528681
0.932,10/08/2020 21:42:09.181,1597106529181
0.949,10/08/2020 21:42:09.682,1597106529682
0.960,10/08/2020 21:42:10.183,1597106530183
0.932,10/08/2020 21:42:10.683,1597106530683
0.953,10/08/2020 21:42:11.184,1597106531184
