RMS,TimeStamp,EPOCH
0.414,10/08/2020 16:52:29.041,1597089149041
0.403,10/08/2020 16:52:29.542,1597089149542
0.422,10/08/2020 16:52:30.042,1597089150042
0.395,10/08/2020 16:52:30.543,1597089150543
0.418,10/08/2020 16:52:31.044,1597089151044
0.401,10/08/2020 16:52:31.544,1597089151544
0.425,10/08/2020 16:52:32.045,1597089152045
0.402,10/08/2020 16:52:32.545,1597089152545
0.419,10/08/2020 16:52:33.046,1597089153046
0.414,10/08/2020 16:52:33.546,1597089153546
0.410,10/08/2020 16:52:34.047,1597089154047
0.432,10/08/2020 16:52:34.548,1597089154548
0.423,10/08/2020 16:52:35.048,1597089155048
0.408,10/08/2020 16:52:35.549,1597089155549
0.402,10/08/2020 16:52:36.049,1597089156049
0.406,10/08/2020 16:52:36.550,1597089156550
0.435,10/08/2020 16:52:37.050,1597089157050
0.453,10/08/2020 16:52:37.551,1597089157551
0.409,10/08/2020 16:52:38.051,1597089158051
0.404,10/08/2020 16:52:38.552,1597089158552
0.391,10/08/2020 16:52:39.053,1597089159053
0.393,10/08/2020 16:52:39.553,1597089159553
0.413,10/08/2020 16:52:40.054,1597089160054
0.407,10/08/2020 16:52:40.554,1597089160554
0.405,10/08/2020 16:52:41.055,1597089161055
0.403,10/08/2020 16:52:41.555,1597089161555
0.408,10/08/2020 16:52:42.056,1597089162056
0.398,10/08/2020 16:52:42.557,1597089162557
0.388,10/08/2020 16:52:43.057,1597089163057
0.393,10/08/2020 16:52:43.558,1597089163558
0.408,10/08/2020 16:52:44.058,1597089164058
0.393,10/08/2020 16:52:44.559,1597089164559
0.403,10/08/2020 16:52:45.059,1597089165059
0.394,10/08/2020 16:52:45.560,1597089165560
0.390,10/08/2020 16:52:46.061,1597089166061
0.400,10/08/2020 16:52:46.561,1597089166561
0.400,10/08/2020 16:52:47.062,1597089167062
0.411,10/08/2020 16:52:47.562,1597089167562
0.409,10/08/2020 16:52:48.063,1597089168063
0.426,10/08/2020 16:52:48.563,1597089168563
0.422,10/08/2020 16:52:49.064,1597089169064
0.421,10/08/2020 16:52:49.564,1597089169564
0.421,10/08/2020 16:52:50.065,1597089170065
0.428,10/08/2020 16:52:50.566,1597089170566
0.430,10/08/2020 16:52:51.066,1597089171066
0.427,10/08/2020 16:52:51.567,1597089171567
0.430,10/08/2020 16:52:52.067,1597089172067
0.420,10/08/2020 16:52:52.568,1597089172568
0.423,10/08/2020 16:52:53.068,1597089173068
0.431,10/08/2020 16:52:53.569,1597089173569
0.425,10/08/2020 16:52:54.070,1597089174070
0.425,10/08/2020 16:52:54.570,1597089174570
0.432,10/08/2020 16:52:55.071,1597089175071
0.402,10/08/2020 16:52:55.571,1597089175571
0.403,10/08/2020 16:52:56.072,1597089176072
0.420,10/08/2020 16:52:56.572,1597089176572
0.406,10/08/2020 16:52:57.073,1597089177073
0.418,10/08/2020 16:52:57.574,1597089177574
0.422,10/08/2020 16:52:58.074,1597089178074
0.396,10/08/2020 16:52:58.575,1597089178575
0.400,10/08/2020 16:52:59.075,1597089179075
0.418,10/08/2020 16:52:59.576,1597089179576
0.410,10/08/2020 16:53:00.076,1597089180076
0.403,10/08/2020 16:53:00.577,1597089180577
0.398,10/08/2020 16:53:01.078,1597089181078
0.405,10/08/2020 16:53:01.578,1597089181578
0.398,10/08/2020 16:53:02.079,1597089182079
0.406,10/08/2020 16:53:02.579,1597089182579
0.410,10/08/2020 16:53:03.080,1597089183080
0.408,10/08/2020 16:53:03.580,1597089183580
0.396,10/08/2020 16:53:04.081,1597089184081
0.395,10/08/2020 16:53:04.581,1597089184581
0.427,10/08/2020 16:53:05.082,1597089185082
0.399,10/08/2020 16:53:05.583,1597089185583
0.388,10/08/2020 16:53:06.083,1597089186083
0.395,10/08/2020 16:53:06.584,1597089186584
0.404,10/08/2020 16:53:07.084,1597089187084
0.402,10/08/2020 16:53:07.585,1597089187585
0.391,10/08/2020 16:53:08.085,1597089188085
0.393,10/08/2020 16:53:08.586,1597089188586
0.401,10/08/2020 16:53:09.087,1597089189087
0.390,10/08/2020 16:53:09.587,1597089189587
0.416,10/08/2020 16:53:10.088,1597089190088
0.394,10/08/2020 16:53:10.588,1597089190588
0.402,10/08/2020 16:53:11.089,1597089191089
0.420,10/08/2020 16:53:11.589,1597089191589
0.407,10/08/2020 16:53:12.090,1597089192090
0.398,10/08/2020 16:53:12.591,1597089192591
0.392,10/08/2020 16:53:13.091,1597089193091
0.399,10/08/2020 16:53:13.592,1597089193592
0.412,10/08/2020 16:53:14.092,1597089194092
0.395,10/08/2020 16:53:14.593,1597089194593
0.437,10/08/2020 16:53:15.093,1597089195093
0.414,10/08/2020 16:53:15.594,1597089195594
0.416,10/08/2020 16:53:16.094,1597089196094
0.413,10/08/2020 16:53:16.595,1597089196595
0.387,10/08/2020 16:53:17.096,1597089197096
0.404,10/08/2020 16:53:17.596,1597089197596
0.423,10/08/2020 16:53:18.097,1597089198097
0.433,10/08/2020 16:53:18.597,1597089198597
0.426,10/08/2020 16:53:19.098,1597089199098
0.429,10/08/2020 16:53:19.598,1597089199598
0.398,10/08/2020 16:53:20.099,1597089200099
0.414,10/08/2020 16:53:20.600,1597089200600
0.423,10/08/2020 16:53:21.100,1597089201100
0.432,10/08/2020 16:53:21.601,1597089201601
0.427,10/08/2020 16:53:22.101,1597089202101
0.430,10/08/2020 16:53:22.602,1597089202602
0.412,10/08/2020 16:53:23.102,1597089203102
0.410,10/08/2020 16:53:23.603,1597089203603
0.406,10/08/2020 16:53:24.104,1597089204104
0.406,10/08/2020 16:53:24.604,1597089204604
0.413,10/08/2020 16:53:25.105,1597089205105
0.396,10/08/2020 16:53:25.605,1597089205605
0.413,10/08/2020 16:53:26.106,1597089206106
0.415,10/08/2020 16:53:26.606,1597089206606
0.427,10/08/2020 16:53:27.107,1597089207107
0.425,10/08/2020 16:53:27.607,1597089207607
0.423,10/08/2020 16:53:28.108,1597089208108
0.424,10/08/2020 16:53:28.609,1597089208609
0.435,10/08/2020 16:53:29.109,1597089209109
0.425,10/08/2020 16:53:29.610,1597089209610
0.429,10/08/2020 16:53:30.110,1597089210110
0.427,10/08/2020 16:53:30.611,1597089210611
0.433,10/08/2020 16:53:31.111,1597089211111
0.421,10/08/2020 16:53:31.612,1597089211612
0.422,10/08/2020 16:53:32.113,1597089212113
0.427,10/08/2020 16:53:32.613,1597089212613
0.418,10/08/2020 16:53:33.114,1597089213114
0.432,10/08/2020 16:53:33.614,1597089213614
0.407,10/08/2020 16:53:34.115,1597089214115
0.400,10/08/2020 16:53:34.615,1597089214615
0.407,10/08/2020 16:53:35.116,1597089215116
0.385,10/08/2020 16:53:35.617,1597089215617
0.377,10/08/2020 16:53:36.117,1597089216117
0.371,10/08/2020 16:53:36.618,1597089216618
0.390,10/08/2020 16:53:37.118,1597089217118
0.403,10/08/2020 16:53:37.619,1597089217619
0.376,10/08/2020 16:53:38.119,1597089218119
0.374,10/08/2020 16:53:38.620,1597089218620
0.409,10/08/2020 16:53:39.120,1597089219120
0.377,10/08/2020 16:53:39.621,1597089219621
0.374,10/08/2020 16:53:40.122,1597089220122
0.468,10/08/2020 16:53:40.622,1597089220622
0.372,10/08/2020 16:53:41.123,1597089221123
0.376,10/08/2020 16:53:41.623,1597089221623
0.380,10/08/2020 16:53:42.124,1597089222124
0.374,10/08/2020 16:53:42.624,1597089222624
0.377,10/08/2020 16:53:43.125,1597089223125
0.386,10/08/2020 16:53:43.626,1597089223626
0.452,10/08/2020 16:53:44.126,1597089224126
0.455,10/08/2020 16:53:44.627,1597089224627
0.394,10/08/2020 16:53:45.127,1597089225127
0.392,10/08/2020 16:53:45.628,1597089225628
0.388,10/08/2020 16:53:46.128,1597089226128
0.368,10/08/2020 16:53:46.629,1597089226629
0.373,10/08/2020 16:53:47.130,1597089227130
0.372,10/08/2020 16:53:47.630,1597089227630
0.373,10/08/2020 16:53:48.131,1597089228131
0.368,10/08/2020 16:53:48.631,1597089228631
0.368,10/08/2020 16:53:49.132,1597089229132
0.373,10/08/2020 16:53:49.632,1597089229632
0.373,10/08/2020 16:53:50.133,1597089230133
0.373,10/08/2020 16:53:50.634,1597089230634
0.373,10/08/2020 16:53:51.134,1597089231134
0.378,10/08/2020 16:53:51.635,1597089231635
0.369,10/08/2020 16:53:52.135,1597089232135
0.370,10/08/2020 16:53:52.636,1597089232636
0.370,10/08/2020 16:53:53.136,1597089233136
0.371,10/08/2020 16:53:53.637,1597089233637
0.368,10/08/2020 16:53:54.137,1597089234137
0.397,10/08/2020 16:53:54.638,1597089234638
0.382,10/08/2020 16:53:55.139,1597089235139
0.369,10/08/2020 16:53:55.639,1597089235639
0.455,10/08/2020 16:53:56.140,1597089236140
0.381,10/08/2020 16:53:56.640,1597089236640
0.383,10/08/2020 16:53:57.141,1597089237141
0.383,10/08/2020 16:53:57.641,1597089237641
0.378,10/08/2020 16:53:58.142,1597089238142
0.380,10/08/2020 16:53:58.643,1597089238643
0.380,10/08/2020 16:53:59.143,1597089239143
