ValoresRms,Tempo
0.096,12/05/2020 19:07:47.167
0.104,12/05/2020 19:07:47.667
0.093,12/05/2020 19:07:48.167
0.102,12/05/2020 19:07:48.667
0.095,12/05/2020 19:07:49.167
0.098,12/05/2020 19:07:49.667
0.088,12/05/2020 19:07:50.167
0.093,12/05/2020 19:07:50.667
0.096,12/05/2020 19:07:51.167
0.092,12/05/2020 19:07:51.667
0.084,12/05/2020 19:07:52.167
0.094,12/05/2020 19:07:52.667
0.089,12/05/2020 19:07:53.167
0.093,12/05/2020 19:07:53.667
0.085,12/05/2020 19:07:54.167
0.093,12/05/2020 19:07:54.667
0.087,12/05/2020 19:07:55.167
0.094,12/05/2020 19:07:55.667
0.088,12/05/2020 19:07:56.167
0.087,12/05/2020 19:07:56.667
0.092,12/05/2020 19:07:57.167
0.073,12/05/2020 19:07:57.667
0.089,12/05/2020 19:07:58.167
0.085,12/05/2020 19:07:58.667
0.091,12/05/2020 19:07:59.167
0.085,12/05/2020 19:07:59.667
0.092,12/05/2020 19:08:00.167
0.088,12/05/2020 19:08:00.667
0.070,12/05/2020 19:08:01.167
0.091,12/05/2020 19:08:01.667
0.091,12/05/2020 19:08:02.167
0.084,12/05/2020 19:08:02.667
0.096,12/05/2020 19:08:03.167
0.087,12/05/2020 19:08:03.667
0.092,12/05/2020 19:08:04.167
0.089,12/05/2020 19:08:04.667
0.088,12/05/2020 19:08:05.167
0.085,12/05/2020 19:08:05.667
0.089,12/05/2020 19:08:06.167
0.089,12/05/2020 19:08:06.667
0.087,12/05/2020 19:08:07.167
0.096,12/05/2020 19:08:07.667
0.093,12/05/2020 19:08:08.167
0.091,12/05/2020 19:08:08.667
0.093,12/05/2020 19:08:09.167
0.093,12/05/2020 19:08:09.667
0.088,12/05/2020 19:08:10.167
0.090,12/05/2020 19:08:10.667
0.075,12/05/2020 19:08:11.167
0.093,12/05/2020 19:08:11.667
0.090,12/05/2020 19:08:12.167
0.094,12/05/2020 19:08:12.667
0.092,12/05/2020 19:08:13.167
0.091,12/05/2020 19:08:13.667
0.087,12/05/2020 19:08:14.167
0.091,12/05/2020 19:08:14.667
0.087,12/05/2020 19:08:15.167
0.093,12/05/2020 19:08:15.667
0.093,12/05/2020 19:08:16.167
0.094,12/05/2020 19:08:16.667
0.089,12/05/2020 19:08:17.167
0.092,12/05/2020 19:08:17.667
0.091,12/05/2020 19:08:18.167
0.092,12/05/2020 19:08:18.667
0.094,12/05/2020 19:08:19.167
0.095,12/05/2020 19:08:19.667
0.075,12/05/2020 19:08:20.167
0.095,12/05/2020 19:08:20.667
0.095,12/05/2020 19:08:21.167
0.085,12/05/2020 19:08:21.667
0.094,12/05/2020 19:08:22.167
0.090,12/05/2020 19:08:22.667
0.094,12/05/2020 19:08:23.167
0.092,12/05/2020 19:08:23.667
0.085,12/05/2020 19:08:24.167
0.087,12/05/2020 19:08:24.667
0.095,12/05/2020 19:08:25.167
0.097,12/05/2020 19:08:25.667
0.101,12/05/2020 19:08:26.167
0.095,12/05/2020 19:08:26.667
0.088,12/05/2020 19:08:27.167
0.089,12/05/2020 19:08:27.667
0.086,12/05/2020 19:08:28.167
0.091,12/05/2020 19:08:28.667
0.088,12/05/2020 19:08:29.167
0.087,12/05/2020 19:08:29.667
0.091,12/05/2020 19:08:30.167
0.088,12/05/2020 19:08:30.667
0.092,12/05/2020 19:08:31.167
0.092,12/05/2020 19:08:31.667
0.094,12/05/2020 19:08:32.167
0.086,12/05/2020 19:08:32.667
0.089,12/05/2020 19:08:33.167
0.095,12/05/2020 19:08:33.667
0.093,12/05/2020 19:08:34.167
0.091,12/05/2020 19:08:34.667
0.091,12/05/2020 19:08:35.167
0.098,12/05/2020 19:08:35.667
0.094,12/05/2020 19:08:36.167
0.082,12/05/2020 19:08:36.667
0.091,12/05/2020 19:08:37.167
0.085,12/05/2020 19:08:37.667
0.093,12/05/2020 19:08:38.167
0.090,12/05/2020 19:08:38.667
0.091,12/05/2020 19:08:39.167
0.092,12/05/2020 19:08:39.667
0.093,12/05/2020 19:08:40.167
0.069,12/05/2020 19:08:40.667
0.084,12/05/2020 19:08:41.167
0.089,12/05/2020 19:08:41.667
0.093,12/05/2020 19:08:42.167
0.093,12/05/2020 19:08:42.667
0.094,12/05/2020 19:08:43.167
0.097,12/05/2020 19:08:43.667
0.090,12/05/2020 19:08:44.167
0.092,12/05/2020 19:08:44.667
0.088,12/05/2020 19:08:45.167
0.091,12/05/2020 19:08:45.667
0.088,12/05/2020 19:08:46.167
0.093,12/05/2020 19:08:46.667
0.092,12/05/2020 19:08:47.167
0.085,12/05/2020 19:08:47.667
0.085,12/05/2020 19:08:48.167
0.083,12/05/2020 19:08:48.667
0.089,12/05/2020 19:08:49.167
0.083,12/05/2020 19:08:49.667
0.087,12/05/2020 19:08:50.167
0.083,12/05/2020 19:08:50.667
0.087,12/05/2020 19:08:51.167
0.091,12/05/2020 19:08:51.667
0.081,12/05/2020 19:08:52.167
0.075,12/05/2020 19:08:52.667
0.076,12/05/2020 19:08:53.167
0.076,12/05/2020 19:08:53.667
0.090,12/05/2020 19:08:54.167
0.099,12/05/2020 19:08:54.667
0.093,12/05/2020 19:08:55.167
0.100,12/05/2020 19:08:55.667
0.095,12/05/2020 19:08:56.167
0.098,12/05/2020 19:08:56.667
0.096,12/05/2020 19:08:57.167
0.092,12/05/2020 19:08:57.667
0.087,12/05/2020 19:08:58.167
0.091,12/05/2020 19:08:58.667
0.092,12/05/2020 19:08:59.167
0.096,12/05/2020 19:08:59.667
0.089,12/05/2020 19:09:00.167
0.098,12/05/2020 19:09:00.667
0.091,12/05/2020 19:09:01.167
0.090,12/05/2020 19:09:01.667
0.097,12/05/2020 19:09:02.167
0.092,12/05/2020 19:09:02.667
0.091,12/05/2020 19:09:03.167
0.089,12/05/2020 19:09:03.667
0.070,12/05/2020 19:09:04.167
0.104,12/05/2020 19:09:04.667
0.099,12/05/2020 19:09:05.167
0.096,12/05/2020 19:09:05.667
0.088,12/05/2020 19:09:06.167
0.087,12/05/2020 19:09:06.667
0.092,12/05/2020 19:09:07.167
0.092,12/05/2020 19:09:07.667
0.089,12/05/2020 19:09:08.167
0.083,12/05/2020 19:09:08.667
0.089,12/05/2020 19:09:09.167
0.091,12/05/2020 19:09:09.667
0.089,12/05/2020 19:09:10.167
0.082,12/05/2020 19:09:10.667
0.079,12/05/2020 19:09:11.167
0.090,12/05/2020 19:09:11.667
0.085,12/05/2020 19:09:12.167
0.089,12/05/2020 19:09:12.667
0.091,12/05/2020 19:09:13.167
0.084,12/05/2020 19:09:13.667
0.090,12/05/2020 19:09:14.167
0.091,12/05/2020 19:09:14.667
0.086,12/05/2020 19:09:15.167
0.096,12/05/2020 19:09:15.667
0.092,12/05/2020 19:09:16.167
0.093,12/05/2020 19:09:16.667
0.090,12/05/2020 19:09:17.167
0.097,12/05/2020 19:09:17.667
0.091,12/05/2020 19:09:18.167
0.094,12/05/2020 19:09:18.667
0.091,12/05/2020 19:09:19.167
0.089,12/05/2020 19:09:19.667
0.091,12/05/2020 19:09:20.167
0.091,12/05/2020 19:09:20.667
0.096,12/05/2020 19:09:21.167
0.084,12/05/2020 19:09:21.667
0.094,12/05/2020 19:09:22.167
0.092,12/05/2020 19:09:22.667
0.095,12/05/2020 19:09:23.167
0.086,12/05/2020 19:09:23.667
0.088,12/05/2020 19:09:24.167
0.096,12/05/2020 19:09:24.667
0.091,12/05/2020 19:09:25.167
0.089,12/05/2020 19:09:25.667
0.092,12/05/2020 19:09:26.167
0.095,12/05/2020 19:09:26.667
0.088,12/05/2020 19:09:27.167
0.086,12/05/2020 19:09:27.667
0.085,12/05/2020 19:09:28.167
0.106,12/05/2020 19:09:28.667
0.094,12/05/2020 19:09:29.167
0.086,12/05/2020 19:09:29.667
0.088,12/05/2020 19:09:30.167
0.095,12/05/2020 19:09:30.667
0.090,12/05/2020 19:09:31.167
0.092,12/05/2020 19:09:31.667
0.097,12/05/2020 19:09:32.167
0.100,12/05/2020 19:09:32.667
0.093,12/05/2020 19:09:33.167
0.091,12/05/2020 19:09:33.667
0.095,12/05/2020 19:09:34.167
0.091,12/05/2020 19:09:34.667
0.094,12/05/2020 19:09:35.167
0.096,12/05/2020 19:09:35.667
0.094,12/05/2020 19:09:36.167
0.086,12/05/2020 19:09:36.667
0.092,12/05/2020 19:09:37.167
0.103,12/05/2020 19:09:37.667
0.095,12/05/2020 19:09:38.167
0.093,12/05/2020 19:09:38.667
0.090,12/05/2020 19:09:39.167
0.083,12/05/2020 19:09:39.667
0.092,12/05/2020 19:09:40.167
0.078,12/05/2020 19:09:40.667
0.095,12/05/2020 19:09:41.167
0.093,12/05/2020 19:09:41.667
0.088,12/05/2020 19:09:42.167
0.092,12/05/2020 19:09:42.667
0.092,12/05/2020 19:09:43.167
0.073,12/05/2020 19:09:43.667
0.085,12/05/2020 19:09:44.167
0.088,12/05/2020 19:09:44.667
0.089,12/05/2020 19:09:45.167
0.090,12/05/2020 19:09:45.667
0.088,12/05/2020 19:09:46.167
0.090,12/05/2020 19:09:46.667
0.087,12/05/2020 19:09:47.167
0.087,12/05/2020 19:09:47.667
0.093,12/05/2020 19:09:48.167
0.092,12/05/2020 19:09:48.667
0.090,12/05/2020 19:09:49.167
0.094,12/05/2020 19:09:49.667
0.074,12/05/2020 19:09:50.167
0.091,12/05/2020 19:09:50.667
0.092,12/05/2020 19:09:51.167
0.098,12/05/2020 19:09:51.667
0.099,12/05/2020 19:09:52.167
0.095,12/05/2020 19:09:52.667
0.094,12/05/2020 19:09:53.167
0.088,12/05/2020 19:09:53.667
0.098,12/05/2020 19:09:54.167
0.093,12/05/2020 19:09:54.667
0.099,12/05/2020 19:09:55.167
0.096,12/05/2020 19:09:55.667
0.092,12/05/2020 19:09:56.167
0.094,12/05/2020 19:09:56.667
0.093,12/05/2020 19:09:57.167
0.100,12/05/2020 19:09:57.667
0.087,12/05/2020 19:09:58.167
0.095,12/05/2020 19:09:58.667
0.092,12/05/2020 19:09:59.167
0.086,12/05/2020 19:09:59.667
0.088,12/05/2020 19:10:00.167
0.087,12/05/2020 19:10:00.667
0.088,12/05/2020 19:10:01.167
0.088,12/05/2020 19:10:01.667
0.089,12/05/2020 19:10:02.167
0.089,12/05/2020 19:10:02.667
0.084,12/05/2020 19:10:03.167
0.088,12/05/2020 19:10:03.667
0.086,12/05/2020 19:10:04.167
0.089,12/05/2020 19:10:04.667
0.087,12/05/2020 19:10:05.167
0.093,12/05/2020 19:10:05.667
0.079,12/05/2020 19:10:06.167
0.085,12/05/2020 19:10:06.667
0.094,12/05/2020 19:10:07.167
0.093,12/05/2020 19:10:07.667
0.091,12/05/2020 19:10:08.167
0.089,12/05/2020 19:10:08.667
0.092,12/05/2020 19:10:09.167
0.086,12/05/2020 19:10:09.667
0.086,12/05/2020 19:10:10.167
0.076,12/05/2020 19:10:10.667
0.077,12/05/2020 19:10:11.167
0.084,12/05/2020 19:10:11.667
0.088,12/05/2020 19:10:12.167
0.084,12/05/2020 19:10:12.667
0.085,12/05/2020 19:10:13.167
0.087,12/05/2020 19:10:13.667
0.089,12/05/2020 19:10:14.167
0.087,12/05/2020 19:10:14.667
0.083,12/05/2020 19:10:15.167
0.094,12/05/2020 19:10:15.667
0.089,12/05/2020 19:10:16.167
0.093,12/05/2020 19:10:16.667
0.089,12/05/2020 19:10:17.167
0.095,12/05/2020 19:10:17.667
0.095,12/05/2020 19:10:18.167
0.093,12/05/2020 19:10:18.667
0.091,12/05/2020 19:10:19.167
0.088,12/05/2020 19:10:19.667
0.088,12/05/2020 19:10:20.167
0.088,12/05/2020 19:10:20.667
0.088,12/05/2020 19:10:21.167
0.093,12/05/2020 19:10:21.667
0.088,12/05/2020 19:10:22.167
0.087,12/05/2020 19:10:22.667
0.080,12/05/2020 19:10:23.167
0.086,12/05/2020 19:10:23.667
0.093,12/05/2020 19:10:24.167
0.093,12/05/2020 19:10:24.667
0.085,12/05/2020 19:10:25.167
0.087,12/05/2020 19:10:25.667
0.087,12/05/2020 19:10:26.167
0.095,12/05/2020 19:10:26.667
0.091,12/05/2020 19:10:27.167
