ValoresRms,Tempo,TimeStamp
9.822,23/05/2020 15:22:52.851,1590258172851
9.822,23/05/2020 15:22:53.351,1590258173351
9.822,23/05/2020 15:22:53.851,1590258173851
9.822,23/05/2020 15:22:54.351,1590258174351
9.822,23/05/2020 15:22:54.851,1590258174851
9.822,23/05/2020 15:22:55.351,1590258175351
9.822,23/05/2020 15:22:55.851,1590258175851
9.822,23/05/2020 15:22:56.351,1590258176351
9.822,23/05/2020 15:22:56.851,1590258176851
9.822,23/05/2020 15:22:57.351,1590258177351
9.822,23/05/2020 15:22:57.851,1590258177851
9.822,23/05/2020 15:22:58.351,1590258178351
9.822,23/05/2020 15:22:58.851,1590258178851
9.822,23/05/2020 15:22:59.351,1590258179351
9.822,23/05/2020 15:22:59.851,1590258179851
9.822,23/05/2020 15:23:00.351,1590258180351
9.822,23/05/2020 15:23:00.851,1590258180851
9.822,23/05/2020 15:23:01.351,1590258181351
9.822,23/05/2020 15:23:01.851,1590258181851
9.822,23/05/2020 15:23:02.351,1590258182351
9.822,23/05/2020 15:23:02.851,1590258182851
9.822,23/05/2020 15:23:03.351,1590258183351
9.822,23/05/2020 15:23:03.851,1590258183851
9.822,23/05/2020 15:23:04.351,1590258184351
9.822,23/05/2020 15:23:04.851,1590258184851
9.822,23/05/2020 15:23:05.351,1590258185351
9.822,23/05/2020 15:23:05.851,1590258185851
9.822,23/05/2020 15:23:06.351,1590258186351
9.822,23/05/2020 15:23:06.851,1590258186851
9.822,23/05/2020 15:23:07.351,1590258187351
9.822,23/05/2020 15:23:07.851,1590258187851
9.822,23/05/2020 15:23:08.351,1590258188351
9.822,23/05/2020 15:23:08.851,1590258188851
9.822,23/05/2020 15:23:09.351,1590258189351
9.822,23/05/2020 15:23:09.851,1590258189851
9.822,23/05/2020 15:23:10.351,1590258190351
9.822,23/05/2020 15:23:10.851,1590258190851
9.822,23/05/2020 15:23:11.351,1590258191351
9.822,23/05/2020 15:23:11.851,1590258191851
9.822,23/05/2020 15:23:12.351,1590258192351
9.822,23/05/2020 15:23:12.851,1590258192851
9.822,23/05/2020 15:23:13.351,1590258193351
9.822,23/05/2020 15:23:13.851,1590258193851
9.822,23/05/2020 15:23:14.351,1590258194351
9.822,23/05/2020 15:23:14.851,1590258194851
9.822,23/05/2020 15:23:15.351,1590258195351
9.822,23/05/2020 15:23:15.851,1590258195851
9.822,23/05/2020 15:23:16.351,1590258196351
9.822,23/05/2020 15:23:16.851,1590258196851
9.822,23/05/2020 15:23:17.351,1590258197351
9.822,23/05/2020 15:23:17.851,1590258197851
9.822,23/05/2020 15:23:18.351,1590258198351
9.822,23/05/2020 15:23:18.851,1590258198851
9.822,23/05/2020 15:23:19.351,1590258199351
9.822,23/05/2020 15:23:19.851,1590258199851
9.822,23/05/2020 15:23:20.351,1590258200351
9.822,23/05/2020 15:23:20.851,1590258200851
9.822,23/05/2020 15:23:21.351,1590258201351
9.822,23/05/2020 15:23:21.851,1590258201851
9.822,23/05/2020 15:23:22.351,1590258202351
9.822,23/05/2020 15:23:22.851,1590258202851
9.822,23/05/2020 15:23:23.351,1590258203351
9.822,23/05/2020 15:23:23.851,1590258203851
9.822,23/05/2020 15:23:24.351,1590258204351
9.822,23/05/2020 15:23:24.851,1590258204851
9.822,23/05/2020 15:23:25.351,1590258205351
9.822,23/05/2020 15:23:25.851,1590258205851
9.822,23/05/2020 15:23:26.351,1590258206351
9.822,23/05/2020 15:23:26.851,1590258206851
9.822,23/05/2020 15:23:27.351,1590258207351
9.822,23/05/2020 15:23:27.851,1590258207851
9.822,23/05/2020 15:23:28.351,1590258208351
9.822,23/05/2020 15:23:28.851,1590258208851
9.822,23/05/2020 15:23:29.351,1590258209351
9.822,23/05/2020 15:23:29.851,1590258209851
9.822,23/05/2020 15:23:30.351,1590258210351
9.822,23/05/2020 15:23:30.851,1590258210851
9.822,23/05/2020 15:23:31.351,1590258211351
9.822,23/05/2020 15:23:31.851,1590258211851
9.822,23/05/2020 15:23:32.351,1590258212351
9.822,23/05/2020 15:23:32.851,1590258212851
9.822,23/05/2020 15:23:33.351,1590258213351
9.822,23/05/2020 15:23:33.851,1590258213851
9.822,23/05/2020 15:23:34.351,1590258214351
9.822,23/05/2020 15:23:34.851,1590258214851
9.822,23/05/2020 15:23:35.351,1590258215351
9.822,23/05/2020 15:23:35.851,1590258215851
9.822,23/05/2020 15:23:36.351,1590258216351
9.822,23/05/2020 15:23:36.851,1590258216851
9.822,23/05/2020 15:23:37.351,1590258217351
9.822,23/05/2020 15:23:37.851,1590258217851
9.822,23/05/2020 15:23:38.351,1590258218351
9.822,23/05/2020 15:23:38.851,1590258218851
9.822,23/05/2020 15:23:39.351,1590258219351
9.822,23/05/2020 15:23:39.851,1590258219851
9.822,23/05/2020 15:23:40.351,1590258220351
9.822,23/05/2020 15:23:40.851,1590258220851
9.822,23/05/2020 15:23:41.351,1590258221351
9.822,23/05/2020 15:23:41.851,1590258221851
9.822,23/05/2020 15:23:42.351,1590258222351
9.822,23/05/2020 15:23:42.851,1590258222851
9.822,23/05/2020 15:23:43.351,1590258223351
9.822,23/05/2020 15:23:43.851,1590258223851
9.822,23/05/2020 15:23:44.351,1590258224351
9.822,23/05/2020 15:23:44.851,1590258224851
9.822,23/05/2020 15:23:45.351,1590258225351
9.822,23/05/2020 15:23:45.851,1590258225851
9.822,23/05/2020 15:23:46.351,1590258226351
9.822,23/05/2020 15:23:46.851,1590258226851
9.822,23/05/2020 15:23:47.351,1590258227351
9.822,23/05/2020 15:23:47.851,1590258227851
9.822,23/05/2020 15:23:48.351,1590258228351
9.822,23/05/2020 15:23:48.851,1590258228851
9.822,23/05/2020 15:23:49.351,1590258229351
9.822,23/05/2020 15:23:49.851,1590258229851
9.822,23/05/2020 15:23:50.351,1590258230351
9.822,23/05/2020 15:23:50.851,1590258230851
9.822,23/05/2020 15:23:51.351,1590258231351
9.822,23/05/2020 15:23:51.851,1590258231851
9.822,23/05/2020 15:23:52.351,1590258232351
9.822,23/05/2020 15:23:52.851,1590258232851
9.822,23/05/2020 15:23:53.351,1590258233351
9.822,23/05/2020 15:23:53.851,1590258233851
9.822,23/05/2020 15:23:54.351,1590258234351
9.822,23/05/2020 15:23:54.851,1590258234851
9.822,23/05/2020 15:23:55.351,1590258235351
9.822,23/05/2020 15:23:55.851,1590258235851
9.812,23/05/2020 15:23:56.351,1590258236351
9.822,23/05/2020 15:23:56.851,1590258236851
9.822,23/05/2020 15:23:57.351,1590258237351
9.822,23/05/2020 15:23:57.851,1590258237851
9.822,23/05/2020 15:23:58.351,1590258238351
9.822,23/05/2020 15:23:58.851,1590258238851
9.822,23/05/2020 15:23:59.351,1590258239351
9.822,23/05/2020 15:23:59.851,1590258239851
9.822,23/05/2020 15:24:00.351,1590258240351
9.822,23/05/2020 15:24:00.851,1590258240851
9.822,23/05/2020 15:24:01.351,1590258241351
9.822,23/05/2020 15:24:01.851,1590258241851
9.822,23/05/2020 15:24:02.351,1590258242351
9.822,23/05/2020 15:24:02.851,1590258242851
9.822,23/05/2020 15:24:03.351,1590258243351
9.822,23/05/2020 15:24:03.851,1590258243851
9.822,23/05/2020 15:24:04.351,1590258244351
9.822,23/05/2020 15:24:04.851,1590258244851
9.822,23/05/2020 15:24:05.351,1590258245351
9.822,23/05/2020 15:24:05.851,1590258245851
9.822,23/05/2020 15:24:06.351,1590258246351
9.822,23/05/2020 15:24:06.851,1590258246851
9.822,23/05/2020 15:24:07.351,1590258247351
9.822,23/05/2020 15:24:07.851,1590258247851
9.822,23/05/2020 15:24:08.351,1590258248351
9.822,23/05/2020 15:24:08.851,1590258248851
9.822,23/05/2020 15:24:09.351,1590258249351
9.822,23/05/2020 15:24:09.851,1590258249851
