% 1. Title: NILM Database
% 
% 2. Sources:
%      (a) Creator: Lucas Abdalla Menezes
%      (b) Donor: 
%      (c) Date: July, 2020
%
% 3. Classes - 0 - no activation / 1 - turning MWOven on / 2 - turning MWOven off
@RELATION NILMData
@ATTRIBUTE 1a_amostra  NUMERIC
@ATTRIBUTE 2a_amostra  NUMERIC
@ATTRIBUTE 3a_amostra  NUMERIC
@ATTRIBUTE 4a_amostra  NUMERIC
@ATTRIBUTE 5a_amostra  NUMERIC
@ATTRIBUTE class {0,1,2}
@DATA
0.732,0.725,0.733,0.730,2.467,1
0.725,0.733,0.730,2.467,2.477,1
0.733,0.730,2.467,2.477,2.481,1
0.730,2.467,2.477,2.481,2.475,1
2.467,2.477,2.481,2.475,2.505,1
2.477,2.481,2.475,2.505,2.945,1
2.481,2.475,2.505,2.945,2.934,1
2.475,2.505,2.945,2.934,2.921,1
2.505,2.945,2.934,2.921,2.919,1
2.945,2.934,2.921,2.919,0.821,2
2.934,2.921,2.919,0.821,0.821,2
2.921,2.919,0.821,0.821,0.833,2
2.919,0.821,0.821,0.833,0.823,2
0.831,0.839,0.817,0.829,2.575,1
0.839,0.817,0.829,2.575,2.572,1
0.817,0.829,2.575,2.572,2.572,1
0.829,2.575,2.572,2.572,2.571,1
2.575,2.572,2.572,2.571,2.588,1
2.572,2.571,2.588,2.570,0.839,2
2.571,2.588,2.570,0.839,0.840,2
2.588,2.570,0.839,0.840,0.840,2
2.570,0.839,0.840,0.840,0.843,2
0.673,0.685,0.673,0.799,1.541,1
0.685,0.673,0.799,1.541,1.522,1
0.673,0.799,1.541,1.522,1.522,1
2.828,2.823,2.827,2.795,0.719,2
2.823,2.827,2.795,0.719,0.760,2
2.827,2.795,0.719,0.760,0.738,2
2.795,0.719,0.760,0.738,0.748,2
0.562,0.563,0.567,0.552,1.262,1
0.563,0.567,0.552,1.262,1.278,1
0.567,0.552,1.262,1.278,1.234,1
0.552,1.262,1.278,1.234,1.251,1
1.262,1.278,1.234,1.251,1.296,1
1.278,1.234,1.251,1.296,2.681,1
1.234,1.251,1.296,2.681,2.711,1
1.251,1.296,2.681,2.711,2.725,1
1.296,2.681,2.711,2.725,2.711,1
2.679,2.682,2.685,2.697,0.583,2
2.682,2.685,2.697,0.583,0.566,2
2.685,2.697,0.583,0.566,0.575,2
2.697,0.583,0.566,0.575,0.568,2
0.683,0.694,0.686,0.675,2.792,1
0.694,0.686,0.675,2.792,2.800,1
0.686,0.675,2.792,2.800,2.802,1
0.675,2.792,2.800,2.802,2.788,1
2.792,2.800,2.802,2.788,2.811,1
2.769,2.766,2.770,2.773,0.655,2
2.766,2.770,2.773,0.655,0.647,2
2.770,2.773,0.655,0.647,0.666,2
2.773,0.655,0.647,0.666,0.654,2
0.819,0.809,0.824,0.825,2.895,1
0.809,0.824,0.825,2.895,2.821,1
0.824,0.825,2.895,2.821,2.902,1
0.825,2.895,2.821,2.902,2.903,1
2.906,2.910,2.914,2.900,0.702,2
2.910,2.914,2.900,0.702,0.710,2
2.914,2.900,0.702,0.710,0.711,2
2.900,0.702,0.710,0.711,0.710,2
0.715,0.715,0.716,0.716,2.838,1
0.715,0.716,0.716,2.838,2.818,1
0.716,0.716,2.838,2.818,2.817,1
0.716,2.838,2.818,2.817,2.816,1
2.818,2.817,2.816,2.815,0.715,2
2.817,2.816,2.815,0.715,0.715,2
2.816,2.815,0.715,0.715,0.715,2
2.815,0.715,0.715,0.715,0.710,2
0.715,0.708,0.708,0.708,2.874,1
0.708,0.708,0.708,2.874,2.910,1
0.708,0.708,2.874,2.910,2.911,1
0.708,2.874,2.910,2.911,2.909,1
1.335,1.325,1.358,1.593,2.887,1
1.325,1.358,1.593,2.887,2.911,1
1.358,1.593,2.887,2.911,2.916,1
1.593,2.887,2.911,2.916,2.935,1
2.792,2.787,2.786,2.791,0.552,2
2.787,2.786,2.791,0.552,0.553,2
2.786,2.791,0.552,0.553,0.559,2
2.791,0.552,0.553,0.559,0.554,2
1.571,1.567,1.571,1.623,2.854,1
1.567,1.571,1.623,2.854,2.848,1
1.571,1.623,2.854,2.848,2.863,1
1.623,2.854,2.848,2.863,2.865,1
2.842,2.843,2.852,2.877,0.691,2
2.843,2.852,2.877,0.691,0.702,2
2.852,2.877,0.691,0.702,0.700,2
2.877,0.691,0.702,0.700,0.708,2
1.571,1.558,1.537,1.555,2.194,1
1.558,1.537,1.555,2.194,2.890,1
1.537,1.555,2.194,2.890,2.887,1
1.555,2.194,2.890,2.887,2.883,1
2.194,2.890,2.887,2.883,2.885,1
2.796,2.806,2.791,2.778,0.691,2
2.806,2.791,2.778,0.691,0.715,2
2.791,2.778,0.691,0.715,0.717,2
2.778,0.691,0.715,0.717,0.707,2
0.734,0.715,0.735,0.827,1.578,1
0.715,0.735,0.827,1.578,1.567,1
0.735,0.827,1.578,1.567,1.568,1
0.827,1.578,1.567,1.568,1.605,1
1.578,1.567,1.568,1.605,2.424,1
1.567,1.568,1.605,2.424,2.857,1
1.568,1.605,2.424,2.857,2.894,1
1.605,2.424,2.857,2.894,2.869,1
2.424,2.857,2.894,2.869,2.865,1
2.808,2.831,2.827,2.819,0.798,2
2.831,2.827,2.819,0.798,0.697,2
2.827,2.819,0.798,0.697,0.706,2
2.819,0.798,0.697,0.706,0.685,2
2.955,2.930,2.942,2.918,0.742,2
2.930,2.942,2.918,0.742,0.735,2
2.942,2.918,0.742,0.735,0.744,2
2.918,0.742,0.735,0.744,0.740,2
0.742,0.735,0.744,0.740,0.743,2
3.010,3.009,3.007,3.006,0.956,2
3.009,3.007,3.006,0.956,0.970,2
3.007,3.006,0.956,0.970,0.966,2
3.006,0.956,0.970,0.966,0.991,2
0.956,0.970,0.966,0.991,0.969,2
3.017,3.027,3.008,3.016,0.959,2
3.027,3.008,3.016,0.959,0.971,2
3.008,3.016,0.959,0.971,0.960,2
3.016,0.959,0.971,0.960,0.962,2
0.959,0.971,0.960,0.962,0.962,2
3.166,3.036,2.673,2.616,0.497,2
3.036,2.673,2.616,0.497,0.494,2
0.759,0.761,0.763,0.764,0.766,0
0.761,0.763,0.764,0.766,0.764,0
0.763,0.764,0.766,0.764,0.768,0
0.764,0.766,0.764,0.768,0.755,0
0.766,0.764,0.768,0.755,0.750,0
0.764,0.768,0.755,0.750,0.767,0
0.768,0.755,0.750,0.767,0.754,0
0.755,0.750,0.767,0.754,0.764,0
0.750,0.767,0.754,0.764,0.760,0
0.767,0.754,0.764,0.760,0.764,0
0.754,0.764,0.760,0.764,0.764,0
0.764,0.760,0.764,0.764,0.775,0
0.760,0.764,0.764,0.775,0.764,0
0.764,0.764,0.775,0.764,0.759,0
0.543,0.542,0.545,0.548,0.548,0
0.542,0.545,0.548,0.548,0.527,0
0.546,0.552,0.554,0.556,0.549,0
0.552,0.554,0.556,0.549,0.541,0
0.554,0.556,0.549,0.541,0.554,0
0.557,0.553,0.555,0.554,0.553,0
0.553,0.555,0.554,0.553,0.555,0
0.555,0.554,0.553,0.555,0.545,0
0.554,0.553,0.555,0.545,0.545,0
0.553,0.555,0.545,0.545,0.549,0
0.555,0.545,0.545,0.549,0.556,0
0.545,0.545,0.549,0.556,0.535,0
0.545,0.549,0.556,0.535,0.551,0
0.549,0.556,0.535,0.551,0.538,0
0.556,0.535,0.551,0.538,0.547,0
0.535,0.551,0.538,0.547,0.552,0
0.551,0.538,0.547,0.552,0.553,0
0.538,0.547,0.552,0.553,1.823,0
