1a amostra,2a amostra,3a amostra,4a amostra,5a amostra,ClasseAparelho
0.732,0.725,0.733,0.730,2.467,1
0.725,0.733,0.730,2.467,2.477,1
0.733,0.730,2.467,2.477,2.481,1
0.730,2.467,2.477,2.481,2.475,1
2.467,2.477,2.481,2.475,2.505,1
2.477,2.481,2.475,2.505,2.945,0
2.481,2.475,2.505,2.945,2.934,0
2.475,2.505,2.945,2.934,2.921,0
2.505,2.945,2.934,2.921,2.919,0
2.945,2.934,2.921,2.919,0.821,2
2.934,2.921,2.919,0.821,0.821,2
2.921,2.919,0.821,0.821,0.833,2
2.919,0.821,0.821,0.833,0.823,2
0.821,0.821,0.833,0.823,0.825,2
0.821,0.833,0.823,0.825,0.831,0
0.833,0.823,0.825,0.831,0.839,0
0.823,0.825,0.831,0.839,0.817,0
0.825,0.831,0.839,0.817,0.829,0
0.831,0.839,0.817,0.829,2.575,1
0.839,0.817,0.829,2.575,2.572,1
0.817,0.829,2.575,2.572,2.572,1
0.829,2.575,2.572,2.572,2.571,1
2.575,2.572,2.572,2.571,2.588,1
2.572,2.572,2.571,2.588,2.570,0
2.572,2.571,2.588,2.570,0.839,2
2.571,2.588,2.570,0.839,0.840,2
2.588,2.570,0.839,0.840,0.840,2
2.570,0.839,0.840,0.840,0.843,2
0.839,0.840,0.840,0.843,0.839,2
0.673,0.685,0.673,0.799,1.541,1
0.685,0.673,0.799,1.541,1.522,1
0.673,0.799,1.541,1.522,1.522,1
0.799,1.541,1.522,1.522,1.555,1
1.541,1.522,1.522,1.555,1.761,1
1.522,1.522,1.555,1.761,2.800,1
1.522,1.555,1.761,2.800,2.808,1
1.555,1.761,2.800,2.808,2.813,1
1.761,2.800,2.808,2.813,2.821,1
2.800,2.808,2.813,2.821,2.815,1
2.808,2.813,2.821,2.815,2.828,0
2.813,2.821,2.815,2.828,2.823,0
2.821,2.815,2.828,2.823,2.827,0
2.815,2.828,2.823,2.827,2.795,0
2.828,2.823,2.827,2.795,0.719,2
2.823,2.827,2.795,0.719,0.760,2
2.827,2.795,0.719,0.760,0.738,2
2.795,0.719,0.760,0.738,0.748,2
0.719,0.760,0.738,0.748,0.724,2
0.760,0.738,0.748,0.724,0.562,0
0.738,0.748,0.724,0.562,0.563,0
0.748,0.724,0.562,0.563,0.567,0
0.724,0.562,0.563,0.567,0.552,0
0.562,0.563,0.567,0.552,1.262,1
0.563,0.567,0.552,1.262,1.278,1
0.567,0.552,1.262,1.278,1.234,1
0.552,1.262,1.278,1.234,1.251,1
1.262,1.278,1.234,1.251,1.296,1
1.278,1.234,1.251,1.296,2.681,1
1.234,1.251,1.296,2.681,2.711,1
1.251,1.296,2.681,2.711,2.725,1
1.296,2.681,2.711,2.725,2.711,1
2.681,2.711,2.725,2.711,2.715,1
2.711,2.725,2.711,2.715,2.679,0
2.725,2.711,2.715,2.679,2.682,0
2.711,2.715,2.679,2.682,2.685,0
2.715,2.679,2.682,2.685,2.697,0
2.679,2.682,2.685,2.697,0.583,2
2.682,2.685,2.697,0.583,0.566,2
2.685,2.697,0.583,0.566,0.575,2
2.697,0.583,0.566,0.575,0.568,2
0.583,0.566,0.575,0.568,0.587,2
0.683,0.694,0.686,0.675,2.792,1
0.694,0.686,0.675,2.792,2.800,1
0.686,0.675,2.792,2.800,2.802,1
0.675,2.792,2.800,2.802,2.788,1
2.792,2.800,2.802,2.788,2.811,1
2.800,2.802,2.788,2.811,2.769,0
2.802,2.788,2.811,2.769,2.766,0
2.788,2.811,2.769,2.766,2.770,0
2.811,2.769,2.766,2.770,2.773,0
2.769,2.766,2.770,2.773,0.655,2
2.766,2.770,2.773,0.655,0.647,2
2.770,2.773,0.655,0.647,0.666,2
2.773,0.655,0.647,0.666,0.654,2
0.655,0.647,0.666,0.654,0.662,2
0.647,0.666,0.654,0.662,0.819,0
0.666,0.654,0.662,0.819,0.809,0
0.654,0.662,0.819,0.809,0.824,0
0.662,0.819,0.809,0.824,0.825,0
0.819,0.809,0.824,0.825,2.895,1
0.809,0.824,0.825,2.895,2.821,1
0.824,0.825,2.895,2.821,2.902,1
0.825,2.895,2.821,2.902,2.903,1
2.895,2.821,2.902,2.903,2.898,1
2.821,2.902,2.903,2.898,2.906,0
2.902,2.903,2.898,2.906,2.910,0
2.903,2.898,2.906,2.910,2.914,0
2.898,2.906,2.910,2.914,2.900,0
2.906,2.910,2.914,2.900,0.702,2
2.910,2.914,2.900,0.702,0.710,2
2.914,2.900,0.702,0.710,0.711,2
2.900,0.702,0.710,0.711,0.710,2
0.702,0.710,0.711,0.710,0.717,2
0.710,0.711,0.710,0.717,0.715,0
0.711,0.710,0.717,0.715,0.715,0
0.710,0.717,0.715,0.715,0.716,0
0.717,0.715,0.715,0.716,0.716,0
0.715,0.715,0.716,0.716,2.838,1
0.715,0.716,0.716,2.838,2.818,1
0.716,0.716,2.838,2.818,2.817,1
0.716,2.838,2.818,2.817,2.816,1
2.838,2.818,2.817,2.816,2.815,1
2.818,2.817,2.816,2.815,0.715,2
2.817,2.816,2.815,0.715,0.715,2
2.816,2.815,0.715,0.715,0.715,2
2.815,0.715,0.715,0.715,0.710,2
0.715,0.715,0.715,0.710,0.733,2
0.715,0.715,0.710,0.733,0.715,0
0.715,0.710,0.733,0.715,0.708,0
0.710,0.733,0.715,0.708,0.708,0
0.733,0.715,0.708,0.708,0.708,0
0.715,0.708,0.708,0.708,2.874,1
0.708,0.708,0.708,2.874,2.910,1
0.708,0.708,2.874,2.910,2.911,1
0.708,2.874,2.910,2.911,2.909,1
2.874,2.910,2.911,2.909,2.916,1
2.910,2.911,2.909,2.916,2.911,0
2.911,2.909,2.916,2.911,2.921,0
2.909,2.916,2.911,2.921,2.929,0
2.916,2.911,2.921,2.929,2.818,0
2.911,2.921,2.929,2.818,0.704,2
2.921,2.929,2.818,0.704,0.707,2
2.929,2.818,0.704,0.707,0.719,2
2.818,0.704,0.707,0.719,0.700,2
0.704,0.707,0.719,0.700,0.705,2
1.335,1.325,1.358,1.593,2.887,1
1.325,1.358,1.593,2.887,2.911,1
1.358,1.593,2.887,2.911,2.916,1
1.593,2.887,2.911,2.916,2.935,1
2.887,2.911,2.916,2.935,2.933,1
2.911,2.916,2.935,2.933,2.792,0
2.916,2.935,2.933,2.792,2.787,0
2.935,2.933,2.792,2.787,2.786,0
2.933,2.792,2.787,2.786,2.791,0
2.792,2.787,2.786,2.791,0.552,2
2.787,2.786,2.791,0.552,0.553,2
2.786,2.791,0.552,0.553,0.559,2
2.791,0.552,0.553,0.559,0.554,2
0.552,0.553,0.559,0.554,0.553,2
0.553,0.559,0.554,0.553,1.571,0
0.559,0.554,0.553,1.571,1.567,0
0.554,0.553,1.571,1.567,1.571,0
0.553,1.571,1.567,1.571,1.623,0
1.571,1.567,1.571,1.623,2.854,1
1.567,1.571,1.623,2.854,2.848,1
1.571,1.623,2.854,2.848,2.863,1
1.623,2.854,2.848,2.863,2.865,1
2.854,2.848,2.863,2.865,2.873,1
2.848,2.863,2.865,2.873,2.842,0
2.863,2.865,2.873,2.842,2.843,0
2.865,2.873,2.842,2.843,2.852,0
2.873,2.842,2.843,2.852,2.877,0
2.842,2.843,2.852,2.877,0.691,2
2.843,2.852,2.877,0.691,0.702,2
2.852,2.877,0.691,0.702,0.700,2
2.877,0.691,0.702,0.700,0.708,2
0.691,0.702,0.700,0.708,0.700,2
0.702,0.700,0.708,0.700,1.571,0
0.700,0.708,0.700,1.571,1.558,0
