ValoresRms,TimeStamp,EPOCH,ClasseAparelho
0.732,01/07/2020 21:29:59.121,1593649799121,0
0.725,01/07/2020 21:29:59.621,1593649799621,0
0.733,01/07/2020 21:30:00.121,1593649800121,0
0.730,01/07/2020 21:30:00.621,1593649800621,0
2.467,01/07/2020 21:30:01.121,1593649801121,1
2.477,01/07/2020 21:30:01.621,1593649801621,0
2.481,01/07/2020 21:30:02.121,1593649802121,0
2.475,01/07/2020 21:30:02.621,1593649802621,0
2.505,01/07/2020 21:30:03.121,1593649803121,0

2.945,01/07/2020 21:32:03.122,1593649923122,0
2.934,01/07/2020 21:32:05.122,1593649925122,0
2.921,01/07/2020 21:32:05.622,1593649925622,0
2.919,01/07/2020 21:32:06.122,1593649926122,0
0.821,01/07/2020 21:32:06.622,1593649926622,2
0.821,01/07/2020 21:32:07.122,1593649927122,0
0.833,01/07/2020 21:32:07.622,1593649927622,0
0.823,01/07/2020 21:32:08.122,1593649928122,0
0.825,01/07/2020 21:32:08.622,1593649928622,0

0.831,01/07/2020 21:32:19.122,1593649939122,0
0.839,01/07/2020 21:32:19.622,1593649939622,0
0.817,01/07/2020 21:32:20.122,1593649940122,0
0.829,01/07/2020 21:32:20.622,1593649940622,0
2.575,01/07/2020 21:32:21.122,1593649941122,1
2.572,01/07/2020 21:32:21.622,1593649941622,0
2.572,01/07/2020 21:32:22.122,1593649942122,0
2.571,01/07/2020 21:32:22.622,1593649942622,0
2.588,01/07/2020 21:32:28.122,1593649948122,0
2.570,01/07/2020 21:32:28.622,1593649948622,0
0.839,01/07/2020 21:32:29.122,1593649949122,2
0.840,01/07/2020 21:32:29.622,1593649949622,0
0.840,01/07/2020 21:32:30.122,1593649950122,0
0.843,01/07/2020 21:32:30.622,1593649950622,0
0.839,01/07/2020 21:32:31.122,1593649951122,0
