ValoresRms,TimeStamp,EPOCH,ClasseAparelho
3.010,13/07/2020 15:20:10.585,1594664410585,0
3.009,13/07/2020 15:20:11.085,1594664411085,0
3.007,13/07/2020 15:20:11.585,1594664411585,0
3.006,13/07/2020 15:20:12.085,1594664412085,0
0.956,13/07/2020 15:20:12.585,1594664412585,2
0.970,13/07/2020 15:20:13.085,1594664413085,0
0.966,13/07/2020 15:20:13.585,1594664413585,0
0.991,13/07/2020 15:20:14.086,1594664414086,0
0.969,13/07/2020 15:20:14.586,1594664414586,0

3.017,13/07/2020 15:21:29.599,1594664489599,0
3.027,13/07/2020 15:21:30.099,1594664490099,0
3.008,13/07/2020 15:21:30.599,1594664490599,0
3.016,13/07/2020 15:21:31.100,1594664491100,0
0.959,13/07/2020 15:21:31.600,1594664491600,2
0.971,13/07/2020 15:21:32.100,1594664492100,0
0.960,13/07/2020 15:21:32.600,1594664492600,0
0.962,13/07/2020 15:21:33.100,1594664493100,0
0.962,13/07/2020 15:21:33.600,1594664493600,0
