ValoresRms,TimeStamp,EPOCH,ClasseAparelho
0.746,15/07/2020 13:04:02.007,1594829042007,0
0.740,15/07/2020 13:04:02.508,1594829042508,0
0.735,15/07/2020 13:04:03.008,1594829043008,0
0.805,15/07/2020 13:04:03.508,1594829043508,0
1.346,15/07/2020 13:04:04.008,1594829044008,1
1.339,15/07/2020 13:04:04.508,1594829044508,1
1.330,15/07/2020 13:04:05.008,1594829045008,1
1.361,15/07/2020 13:04:05.508,1594829045508,1
1.733,15/07/2020 13:04:06.008,1594829046008,1
2.877,15/07/2020 13:04:06.508,1594829046508,1
2.879,15/07/2020 13:04:07.008,1594829047008,0
2.879,15/07/2020 13:04:07.508,1594829047508,0
2.877,15/07/2020 13:04:08.008,1594829048008,0
2.849,15/07/2020 13:04:08.508,1594829048508,0
