ValoresRms,TimeStamp,EPOCH,ClasseAparelho
0.446,15/07/2020 05:11:34.190,1594800694190,0
0.445,15/07/2020 05:11:34.690,1594800694690,0
0.450,15/07/2020 05:11:35.190,1594800695190,0
0.446,15/07/2020 05:11:35.690,1594800695690,0
0.444,15/07/2020 05:11:36.190,1594800696190,0
0.445,15/07/2020 05:11:36.690,1594800696690,0
0.431,15/07/2020 05:11:37.190,1594800697190,0
0.445,15/07/2020 05:11:37.690,1594800697690,0
0.444,15/07/2020 05:11:38.190,1594800698190,0
0.443,15/07/2020 05:11:38.690,1594800698690,0
0.442,15/07/2020 05:11:39.190,1594800699190,0
0.443,15/07/2020 05:11:39.690,1594800699690,0
0.440,15/07/2020 05:11:40.190,1594800700190,0
0.446,15/07/2020 05:11:40.691,1594800700691,0
0.441,15/07/2020 05:11:41.191,1594800701191,0
0.453,15/07/2020 05:11:41.691,1594800701691,0
0.443,15/07/2020 05:11:42.191,1594800702191,0
0.441,15/07/2020 05:11:42.691,1594800702691,0
0.445,15/07/2020 05:11:43.191,1594800703191,0
0.441,15/07/2020 05:11:43.691,1594800703691,0
0.441,15/07/2020 05:11:44.191,1594800704191,0
0.446,15/07/2020 05:11:44.691,1594800704691,0
0.419,15/07/2020 05:11:45.191,1594800705191,0
0.418,15/07/2020 05:11:45.691,1594800705691,0
0.430,15/07/2020 05:11:46.191,1594800706191,0
0.428,15/07/2020 05:11:46.691,1594800706691,0
0.433,15/07/2020 05:11:47.191,1594800707191,0
0.428,15/07/2020 05:11:47.691,1594800707691,0
0.431,15/07/2020 05:11:48.191,1594800708191,0
0.428,15/07/2020 05:11:48.691,1594800708691,0
0.441,15/07/2020 05:11:49.191,1594800709191,0
0.433,15/07/2020 05:11:49.691,1594800709691,0
0.437,15/07/2020 05:11:50.191,1594800710191,0
0.431,15/07/2020 05:11:50.692,1594800710692,0
0.434,15/07/2020 05:11:51.192,1594800711192,0
0.434,15/07/2020 05:11:51.692,1594800711692,0
0.426,15/07/2020 05:11:52.192,1594800712192,0
0.431,15/07/2020 05:11:52.692,1594800712692,0
0.430,15/07/2020 05:11:53.192,1594800713192,0
0.434,15/07/2020 05:11:53.692,1594800713692,0
0.425,15/07/2020 05:11:54.192,1594800714192,0
0.430,15/07/2020 05:11:54.692,1594800714692,0
0.438,15/07/2020 05:11:55.192,1594800715192,0
0.432,15/07/2020 05:11:55.692,1594800715692,0
0.431,15/07/2020 05:11:56.192,1594800716192,0
0.437,15/07/2020 05:11:56.692,1594800716692,0
0.438,15/07/2020 05:11:57.192,1594800717192,0
0.439,15/07/2020 05:11:57.692,1594800717692,0
0.433,15/07/2020 05:11:58.192,1594800718192,0
0.434,15/07/2020 05:11:58.692,1594800718692,0
0.436,15/07/2020 05:11:59.192,1594800719192,0
0.441,15/07/2020 05:11:59.692,1594800719692,0
0.436,15/07/2020 05:12:00.192,1594800720192,0
0.434,15/07/2020 05:12:00.693,1594800720693,0
0.434,15/07/2020 05:12:01.193,1594800721193,0
0.439,15/07/2020 05:12:01.693,1594800721693,0
0.440,15/07/2020 05:12:02.193,1594800722193,0
0.428,15/07/2020 05:12:02.693,1594800722693,0
0.439,15/07/2020 05:12:03.193,1594800723193,0
0.435,15/07/2020 05:12:03.693,1594800723693,0
0.433,15/07/2020 05:12:04.193,1594800724193,0
0.435,15/07/2020 05:12:04.693,1594800724693,0
0.439,15/07/2020 05:12:05.193,1594800725193,0
0.441,15/07/2020 05:12:05.693,1594800725693,0
0.440,15/07/2020 05:12:06.193,1594800726193,0
0.448,15/07/2020 05:12:06.693,1594800726693,0
0.434,15/07/2020 05:12:07.193,1594800727193,0
0.435,15/07/2020 05:12:07.693,1594800727693,0
0.436,15/07/2020 05:12:08.193,1594800728193,0
0.440,15/07/2020 05:12:08.693,1594800728693,0
0.437,15/07/2020 05:12:09.193,1594800729193,0
0.438,15/07/2020 05:12:09.693,1594800729693,0
0.437,15/07/2020 05:12:10.193,1594800730193,0
0.435,15/07/2020 05:12:10.694,1594800730694,0
0.441,15/07/2020 05:12:11.194,1594800731194,0
0.436,15/07/2020 05:12:11.694,1594800731694,0
0.439,15/07/2020 05:12:12.194,1594800732194,0
0.433,15/07/2020 05:12:12.694,1594800732694,0
0.438,15/07/2020 05:12:13.194,1594800733194,0
0.436,15/07/2020 05:12:13.694,1594800733694,0
0.431,15/07/2020 05:12:14.194,1594800734194,0
0.436,15/07/2020 05:12:14.694,1594800734694,0
0.432,15/07/2020 05:12:15.194,1594800735194,0
0.422,15/07/2020 05:12:15.694,1594800735694,0
0.438,15/07/2020 05:12:16.194,1594800736194,0
0.437,15/07/2020 05:12:16.694,1594800736694,0
0.433,15/07/2020 05:12:17.194,1594800737194,0
0.443,15/07/2020 05:12:17.694,1594800737694,0
0.436,15/07/2020 05:12:18.194,1594800738194,0
0.433,15/07/2020 05:12:18.694,1594800738694,0
0.432,15/07/2020 05:12:19.194,1594800739194,0
0.437,15/07/2020 05:12:19.694,1594800739694,0
0.430,15/07/2020 05:12:20.194,1594800740194,0
0.434,15/07/2020 05:12:20.695,1594800740695,0
0.430,15/07/2020 05:12:21.195,1594800741195,0
0.435,15/07/2020 05:12:21.695,1594800741695,0
0.435,15/07/2020 05:12:22.195,1594800742195,0
0.431,15/07/2020 05:12:22.695,1594800742695,0
0.433,15/07/2020 05:12:23.195,1594800743195,0
0.428,15/07/2020 05:12:23.695,1594800743695,0
0.436,15/07/2020 05:12:24.195,1594800744195,0
0.443,15/07/2020 05:12:24.695,1594800744695,0
0.435,15/07/2020 05:12:25.195,1594800745195,0
0.436,15/07/2020 05:12:25.695,1594800745695,0
0.434,15/07/2020 05:12:26.195,1594800746195,0
0.433,15/07/2020 05:12:26.695,1594800746695,0
0.443,15/07/2020 05:12:27.195,1594800747195,0
0.446,15/07/2020 05:12:27.695,1594800747695,0
0.453,15/07/2020 05:12:28.195,1594800748195,0
0.443,15/07/2020 05:12:28.695,1594800748695,0
0.440,15/07/2020 05:12:29.195,1594800749195,0
0.443,15/07/2020 05:12:29.695,1594800749695,0
0.443,15/07/2020 05:12:30.195,1594800750195,0
0.445,15/07/2020 05:12:30.696,1594800750696,0
0.441,15/07/2020 05:12:31.196,1594800751196,0
0.442,15/07/2020 05:12:31.696,1594800751696,0
0.427,15/07/2020 05:12:32.196,1594800752196,0
0.435,15/07/2020 05:12:32.696,1594800752696,0
0.434,15/07/2020 05:12:33.196,1594800753196,0
0.433,15/07/2020 05:12:33.696,1594800753696,0
0.435,15/07/2020 05:12:34.196,1594800754196,0
0.446,15/07/2020 05:12:34.696,1594800754696,0
0.441,15/07/2020 05:12:35.196,1594800755196,0
0.448,15/07/2020 05:12:35.696,1594800755696,0
0.443,15/07/2020 05:12:36.196,1594800756196,0
0.450,15/07/2020 05:12:36.696,1594800756696,0
0.440,15/07/2020 05:12:37.196,1594800757196,0
0.445,15/07/2020 05:12:37.696,1594800757696,0
0.447,15/07/2020 05:12:38.196,1594800758196,0
0.448,15/07/2020 05:12:38.696,1594800758696,0
0.441,15/07/2020 05:12:39.196,1594800759196,0
0.438,15/07/2020 05:12:39.696,1594800759696,0
0.434,15/07/2020 05:12:40.196,1594800760196,0
0.433,15/07/2020 05:12:40.697,1594800760697,0
0.447,15/07/2020 05:12:41.197,1594800761197,0
0.433,15/07/2020 05:12:41.697,1594800761697,0
0.441,15/07/2020 05:12:42.197,1594800762197,0
0.436,15/07/2020 05:12:42.697,1594800762697,0
0.437,15/07/2020 05:12:43.197,1594800763197,0
0.440,15/07/2020 05:12:43.697,1594800763697,0
0.440,15/07/2020 05:12:44.197,1594800764197,0
0.443,15/07/2020 05:12:44.697,1594800764697,0
0.444,15/07/2020 05:12:45.197,1594800765197,0
0.435,15/07/2020 05:12:45.697,1594800765697,0
0.448,15/07/2020 05:12:46.197,1594800766197,0
0.449,15/07/2020 05:12:46.697,1594800766697,0
0.447,15/07/2020 05:12:47.197,1594800767197,0
0.449,15/07/2020 05:12:47.697,1594800767697,0
0.447,15/07/2020 05:12:48.197,1594800768197,0
0.451,15/07/2020 05:12:48.697,1594800768697,0
0.445,15/07/2020 05:12:49.197,1594800769197,0
0.451,15/07/2020 05:12:49.697,1594800769697,0
0.448,15/07/2020 05:12:50.197,1594800770197,0
0.447,15/07/2020 05:12:50.698,1594800770698,0
0.448,15/07/2020 05:12:51.198,1594800771198,0
0.449,15/07/2020 05:12:51.698,1594800771698,0
0.450,15/07/2020 05:12:52.198,1594800772198,0
0.444,15/07/2020 05:12:52.698,1594800772698,0
0.448,15/07/2020 05:12:53.198,1594800773198,0
0.428,15/07/2020 05:12:53.698,1594800773698,0
0.445,15/07/2020 05:12:54.198,1594800774198,0
0.444,15/07/2020 05:12:54.698,1594800774698,0
0.444,15/07/2020 05:12:55.198,1594800775198,0
0.449,15/07/2020 05:12:55.698,1594800775698,0
0.438,15/07/2020 05:12:56.198,1594800776198,0
0.444,15/07/2020 05:12:56.698,1594800776698,0
0.439,15/07/2020 05:12:57.198,1594800777198,0
0.444,15/07/2020 05:12:57.698,1594800777698,0
0.437,15/07/2020 05:12:58.198,1594800778198,0
0.442,15/07/2020 05:12:58.698,1594800778698,0
0.445,15/07/2020 05:12:59.198,1594800779198,0
0.439,15/07/2020 05:12:59.698,1594800779698,0
0.444,15/07/2020 05:13:00.198,1594800780198,0
0.448,15/07/2020 05:13:00.699,1594800780699,0
0.439,15/07/2020 05:13:01.199,1594800781199,0
0.449,15/07/2020 05:13:01.699,1594800781699,0
0.452,15/07/2020 05:13:02.199,1594800782199,0
0.457,15/07/2020 05:13:02.699,1594800782699,0
0.450,15/07/2020 05:13:03.199,1594800783199,0
0.450,15/07/2020 05:13:03.699,1594800783699,0
0.446,15/07/2020 05:13:04.199,1594800784199,0
0.439,15/07/2020 05:13:04.699,1594800784699,0
0.447,15/07/2020 05:13:05.199,1594800785199,0
0.447,15/07/2020 05:13:05.699,1594800785699,0
0.449,15/07/2020 05:13:06.199,1594800786199,0
0.440,15/07/2020 05:13:06.699,1594800786699,0
0.446,15/07/2020 05:13:07.199,1594800787199,0
0.445,15/07/2020 05:13:07.699,1594800787699,0
0.450,15/07/2020 05:13:08.199,1594800788199,0
0.446,15/07/2020 05:13:08.699,1594800788699,0
0.446,15/07/2020 05:13:09.199,1594800789199,0
0.447,15/07/2020 05:13:09.699,1594800789699,0
0.445,15/07/2020 05:13:10.199,1594800790199,0
0.449,15/07/2020 05:13:10.699,1594800790699,0
0.437,15/07/2020 05:13:11.200,1594800791200,0
0.442,15/07/2020 05:13:11.700,1594800791700,0
0.444,15/07/2020 05:13:12.200,1594800792200,0
0.444,15/07/2020 05:13:12.700,1594800792700,0
0.442,15/07/2020 05:13:13.200,1594800793200,0
