ValoresRms,TimeStamp,EPOCH,ClasseAparelho
1.136,12/07/2020 16:33:10.006,1594582390006,0
1.126,12/07/2020 16:33:10.506,1594582390506,0
1.138,12/07/2020 16:33:11.006,1594582391006,0
1.124,12/07/2020 16:33:11.506,1594582391506,0
1.138,12/07/2020 16:33:12.006,1594582392006,0
1.130,12/07/2020 16:33:12.506,1594582392506,0
1.161,12/07/2020 16:33:13.006,1594582393006,0
1.147,12/07/2020 16:33:13.506,1594582393506,0
1.124,12/07/2020 16:33:14.006,1594582394006,0
1.131,12/07/2020 16:33:14.507,1594582394507,0
1.125,12/07/2020 16:33:15.007,1594582395007,0
1.132,12/07/2020 16:33:15.507,1594582395507,0
1.141,12/07/2020 16:33:16.007,1594582396007,0
1.132,12/07/2020 16:33:16.507,1594582396507,0
1.125,12/07/2020 16:33:17.007,1594582397007,0
1.139,12/07/2020 16:33:17.507,1594582397507,0
1.140,12/07/2020 16:33:18.007,1594582398007,0
1.119,12/07/2020 16:33:18.507,1594582398507,0
1.122,12/07/2020 16:33:19.007,1594582399007,0
1.121,12/07/2020 16:33:19.508,1594582399508,0
1.142,12/07/2020 16:33:20.008,1594582400008,0
1.139,12/07/2020 16:33:20.508,1594582400508,0
1.127,12/07/2020 16:33:21.008,1594582401008,0
1.126,12/07/2020 16:33:21.508,1594582401508,0
1.104,12/07/2020 16:33:22.008,1594582402008,0
1.130,12/07/2020 16:33:22.508,1594582402508,0
1.126,12/07/2020 16:33:23.008,1594582403008,0
1.149,12/07/2020 16:33:23.508,1594582403508,0
1.139,12/07/2020 16:33:24.008,1594582404008,0
1.147,12/07/2020 16:33:24.508,1594582404508,0
1.124,12/07/2020 16:33:25.009,1594582405009,0
1.122,12/07/2020 16:33:25.509,1594582405509,0
1.127,12/07/2020 16:33:26.009,1594582406009,0
1.132,12/07/2020 16:33:26.509,1594582406509,0
1.127,12/07/2020 16:33:27.009,1594582407009,0
1.122,12/07/2020 16:33:27.509,1594582407509,0
1.129,12/07/2020 16:33:28.009,1594582408009,0
1.133,12/07/2020 16:33:28.509,1594582408509,0
1.124,12/07/2020 16:33:29.009,1594582409009,0
1.128,12/07/2020 16:33:29.509,1594582409509,0
1.126,12/07/2020 16:33:30.010,1594582410010,0
1.109,12/07/2020 16:33:30.510,1594582410510,0
1.123,12/07/2020 16:33:31.010,1594582411010,0
1.123,12/07/2020 16:33:31.510,1594582411510,0
1.121,12/07/2020 16:33:32.010,1594582412010,0
1.128,12/07/2020 16:33:32.510,1594582412510,0
1.131,12/07/2020 16:33:33.010,1594582413010,0
1.129,12/07/2020 16:33:33.510,1594582413510,0
1.120,12/07/2020 16:33:34.010,1594582414010,0
1.123,12/07/2020 16:33:34.510,1594582414510,0
1.128,12/07/2020 16:33:35.010,1594582415010,0
1.124,12/07/2020 16:33:35.511,1594582415511,0
1.122,12/07/2020 16:33:36.011,1594582416011,0
1.137,12/07/2020 16:33:36.511,1594582416511,0
1.137,12/07/2020 16:33:37.011,1594582417011,0
1.135,12/07/2020 16:33:37.511,1594582417511,0
1.120,12/07/2020 16:33:38.011,1594582418011,0
1.124,12/07/2020 16:33:38.511,1594582418511,0
1.093,12/07/2020 16:33:39.011,1594582419011,0
1.112,12/07/2020 16:33:39.511,1594582419511,0
1.107,12/07/2020 16:33:40.011,1594582420011,0
1.124,12/07/2020 16:33:40.512,1594582420512,0
1.116,12/07/2020 16:33:41.012,1594582421012,0
1.111,12/07/2020 16:33:41.512,1594582421512,0
1.114,12/07/2020 16:33:42.012,1594582422012,0
1.127,12/07/2020 16:33:42.512,1594582422512,0
1.171,12/07/2020 16:33:43.012,1594582423012,0
1.116,12/07/2020 16:33:43.512,1594582423512,0
1.118,12/07/2020 16:33:44.012,1594582424012,0
1.112,12/07/2020 16:33:44.512,1594582424512,0
1.110,12/07/2020 16:33:45.012,1594582425012,0
1.112,12/07/2020 16:33:45.513,1594582425513,0
1.116,12/07/2020 16:33:46.013,1594582426013,0
1.123,12/07/2020 16:33:46.513,1594582426513,0
1.141,12/07/2020 16:33:47.013,1594582427013,0
1.124,12/07/2020 16:33:47.513,1594582427513,0
1.133,12/07/2020 16:33:48.013,1594582428013,0
1.114,12/07/2020 16:33:48.513,1594582428513,0
1.113,12/07/2020 16:33:49.013,1594582429013,0
1.121,12/07/2020 16:33:49.513,1594582429513,0
1.129,12/07/2020 16:33:50.013,1594582430013,0
1.132,12/07/2020 16:33:50.513,1594582430513,0
1.137,12/07/2020 16:33:51.014,1594582431014,0
1.120,12/07/2020 16:33:51.514,1594582431514,0
1.145,12/07/2020 16:33:52.014,1594582432014,0
1.151,12/07/2020 16:33:52.514,1594582432514,0
1.114,12/07/2020 16:33:53.014,1594582433014,0
1.112,12/07/2020 16:33:53.514,1594582433514,0
1.098,12/07/2020 16:33:54.014,1594582434014,0
1.117,12/07/2020 16:33:54.514,1594582434514,0
1.112,12/07/2020 16:33:55.014,1594582435014,0
1.113,12/07/2020 16:33:55.514,1594582435514,0
1.109,12/07/2020 16:33:56.015,1594582436015,0
1.117,12/07/2020 16:33:56.515,1594582436515,0
1.120,12/07/2020 16:33:57.015,1594582437015,0
1.120,12/07/2020 16:33:57.515,1594582437515,0
1.118,12/07/2020 16:33:58.015,1594582438015,0
1.096,12/07/2020 16:33:58.515,1594582438515,0
1.100,12/07/2020 16:33:59.015,1594582439015,0
1.125,12/07/2020 16:33:59.515,1594582439515,0
1.122,12/07/2020 16:34:00.015,1594582440015,0
1.105,12/07/2020 16:34:00.515,1594582440515,0
1.106,12/07/2020 16:34:01.015,1594582441015,0
1.096,12/07/2020 16:34:01.516,1594582441516,0
1.090,12/07/2020 16:34:02.016,1594582442016,0
1.096,12/07/2020 16:34:02.516,1594582442516,0
1.102,12/07/2020 16:34:03.016,1594582443016,0
1.102,12/07/2020 16:34:03.516,1594582443516,0
1.096,12/07/2020 16:34:04.016,1594582444016,0
1.109,12/07/2020 16:34:04.516,1594582444516,0
1.103,12/07/2020 16:34:05.016,1594582445016,0
1.093,12/07/2020 16:34:05.516,1594582445516,0
1.103,12/07/2020 16:34:06.016,1594582446016,0
1.097,12/07/2020 16:34:06.517,1594582446517,0
1.106,12/07/2020 16:34:07.017,1594582447017,0
1.106,12/07/2020 16:34:07.517,1594582447517,0
1.103,12/07/2020 16:34:08.017,1594582448017,0
1.111,12/07/2020 16:34:08.517,1594582448517,0
1.080,12/07/2020 16:34:09.017,1594582449017,0
1.123,12/07/2020 16:34:09.517,1594582449517,0
1.102,12/07/2020 16:34:10.017,1594582450017,0
1.091,12/07/2020 16:34:10.517,1594582450517,0
1.093,12/07/2020 16:34:11.017,1594582451017,0
1.093,12/07/2020 16:34:11.517,1594582451517,0
1.099,12/07/2020 16:34:12.018,1594582452018,0
1.096,12/07/2020 16:34:12.518,1594582452518,0
1.138,12/07/2020 16:34:13.018,1594582453018,0
1.111,12/07/2020 16:34:13.518,1594582453518,0
1.109,12/07/2020 16:34:14.018,1594582454018,0
1.117,12/07/2020 16:34:14.518,1594582454518,0
1.125,12/07/2020 16:34:15.018,1594582455018,0
1.109,12/07/2020 16:34:15.518,1594582455518,0
1.115,12/07/2020 16:34:16.018,1594582456018,0
1.120,12/07/2020 16:34:16.518,1594582456518,0
1.105,12/07/2020 16:34:17.019,1594582457019,0
1.133,12/07/2020 16:34:17.519,1594582457519,0
1.117,12/07/2020 16:34:18.019,1594582458019,0
1.120,12/07/2020 16:34:18.519,1594582458519,0
1.119,12/07/2020 16:34:19.019,1594582459019,0
1.146,12/07/2020 16:34:19.519,1594582459519,0
1.124,12/07/2020 16:34:20.019,1594582460019,0
1.119,12/07/2020 16:34:20.519,1594582460519,0
1.120,12/07/2020 16:34:21.019,1594582461019,0
1.138,12/07/2020 16:34:21.519,1594582461519,0
1.108,12/07/2020 16:34:22.020,1594582462020,0
1.119,12/07/2020 16:34:22.520,1594582462520,0
1.122,12/07/2020 16:34:23.020,1594582463020,0
1.118,12/07/2020 16:34:23.520,1594582463520,0
1.115,12/07/2020 16:34:24.020,1594582464020,0
1.125,12/07/2020 16:34:24.520,1594582464520,0
1.121,12/07/2020 16:34:25.020,1594582465020,0
1.126,12/07/2020 16:34:25.520,1594582465520,0
1.138,12/07/2020 16:34:26.020,1594582466020,0
1.141,12/07/2020 16:34:26.520,1594582466520,0
1.117,12/07/2020 16:34:27.020,1594582467020,0
1.127,12/07/2020 16:34:27.521,1594582467521,0
1.140,12/07/2020 16:34:28.021,1594582468021,0
1.130,12/07/2020 16:34:28.521,1594582468521,0
1.118,12/07/2020 16:34:29.021,1594582469021,0
1.123,12/07/2020 16:34:29.521,1594582469521,0
1.115,12/07/2020 16:34:30.021,1594582470021,0
1.110,12/07/2020 16:34:30.521,1594582470521,0
1.120,12/07/2020 16:34:31.021,1594582471021,0
1.121,12/07/2020 16:34:31.521,1594582471521,0
1.128,12/07/2020 16:34:32.021,1594582472021,0
1.119,12/07/2020 16:34:32.522,1594582472522,0
1.133,12/07/2020 16:34:33.022,1594582473022,0
1.119,12/07/2020 16:34:33.522,1594582473522,0
1.115,12/07/2020 16:34:34.022,1594582474022,0
1.132,12/07/2020 16:34:34.522,1594582474522,0
1.115,12/07/2020 16:34:35.022,1594582475022,0
1.113,12/07/2020 16:34:35.522,1594582475522,0
