ValoresRms,TimeStamp,EPOCH
2.843,15/07/2020 19:52:24.411,1594853544411
2.848,15/07/2020 19:52:24.910,1594853544910
2.866,15/07/2020 19:52:25.409,1594853545409
2.851,15/07/2020 19:52:25.909,1594853545909
2.875,15/07/2020 19:52:26.408,1594853546408
0.725,15/07/2020 19:52:26.908,1594853546908
0.731,15/07/2020 19:52:27.407,1594853547407
0.722,15/07/2020 19:52:27.907,1594853547907
0.727,15/07/2020 19:52:28.406,1594853548406
0.783,15/07/2020 19:52:28.906,1594853548906
0.770,15/07/2020 19:52:29.405,1594853549405
0.723,15/07/2020 19:52:29.905,1594853549905
0.731,15/07/2020 19:52:30.404,1594853550404
0.746,15/07/2020 19:52:30.903,1594853550903
0.732,15/07/2020 19:52:31.403,1594853551403
0.726,15/07/2020 19:52:31.902,1594853551902
0.755,15/07/2020 19:52:32.402,1594853552402
0.740,15/07/2020 19:52:32.901,1594853552901
0.742,15/07/2020 19:52:33.401,1594853553401
0.740,15/07/2020 19:52:33.900,1594853553900
0.743,15/07/2020 19:52:34.400,1594853554400
0.738,15/07/2020 19:52:34.899,1594853554899
0.728,15/07/2020 19:52:35.399,1594853555399
0.730,15/07/2020 19:52:35.898,1594853555898
0.717,15/07/2020 19:52:36.397,1594853556397
0.714,15/07/2020 19:52:36.897,1594853556897
0.726,15/07/2020 19:52:37.396,1594853557396
0.708,15/07/2020 19:52:37.896,1594853557896
0.705,15/07/2020 19:52:38.395,1594853558395
0.705,15/07/2020 19:52:38.895,1594853558895
0.708,15/07/2020 19:52:39.394,1594853559394
0.722,15/07/2020 19:52:39.894,1594853559894
0.714,15/07/2020 19:52:40.393,1594853560393
0.716,15/07/2020 19:52:40.893,1594853560893
0.716,15/07/2020 19:52:41.392,1594853561392
0.729,15/07/2020 19:52:41.891,1594853561891
0.741,15/07/2020 19:52:42.391,1594853562391
0.766,15/07/2020 19:52:42.890,1594853562890
0.776,15/07/2020 19:52:43.390,1594853563390
0.693,15/07/2020 19:52:43.889,1594853563889
0.694,15/07/2020 19:52:44.389,1594853564389
0.697,15/07/2020 19:52:44.888,1594853564888
0.703,15/07/2020 19:52:45.388,1594853565388
0.704,15/07/2020 19:52:45.887,1594853565887
0.758,15/07/2020 19:52:46.387,1594853566387
0.751,15/07/2020 19:52:46.886,1594853566886
0.749,15/07/2020 19:52:47.385,1594853567385
0.721,15/07/2020 19:52:47.885,1594853567885
0.728,15/07/2020 19:52:48.384,1594853568384
0.714,15/07/2020 19:52:48.884,1594853568884
0.787,15/07/2020 19:52:49.383,1594853569383
0.833,15/07/2020 19:52:49.883,1594853569883
0.812,15/07/2020 19:52:50.382,1594853570382
0.738,15/07/2020 19:52:50.882,1594853570882
0.721,15/07/2020 19:52:51.381,1594853571381
0.713,15/07/2020 19:52:51.881,1594853571881
0.732,15/07/2020 19:52:52.380,1594853572380
0.712,15/07/2020 19:52:52.879,1594853572879
0.724,15/07/2020 19:52:53.379,1594853573379
0.713,15/07/2020 19:52:53.878,1594853573878
0.732,15/07/2020 19:52:54.378,1594853574378
0.711,15/07/2020 19:52:54.877,1594853574877
0.728,15/07/2020 19:52:55.377,1594853575377
0.808,15/07/2020 19:52:55.876,1594853575876
0.737,15/07/2020 19:52:56.376,1594853576376
0.702,15/07/2020 19:52:56.875,1594853576875
0.717,15/07/2020 19:52:57.375,1594853577375
0.714,15/07/2020 19:52:57.874,1594853577874
0.714,15/07/2020 19:52:58.373,1594853578373
0.709,15/07/2020 19:52:58.873,1594853578873
0.713,15/07/2020 19:52:59.372,1594853579372
0.712,15/07/2020 19:52:59.872,1594853579872
0.714,15/07/2020 19:53:00.371,1594853580371
0.729,15/07/2020 19:53:00.871,1594853580871
0.713,15/07/2020 19:53:01.370,1594853581370
0.713,15/07/2020 19:53:01.870,1594853581870
0.710,15/07/2020 19:53:02.369,1594853582369
0.718,15/07/2020 19:53:02.869,1594853582869
0.718,15/07/2020 19:53:03.368,1594853583368
0.722,15/07/2020 19:53:03.867,1594853583867
0.714,15/07/2020 19:53:04.367,1594853584367
0.716,15/07/2020 19:53:04.866,1594853584866
0.704,15/07/2020 19:53:05.366,1594853585366
0.722,15/07/2020 19:53:05.865,1594853585865
0.716,15/07/2020 19:53:06.365,1594853586365
0.718,15/07/2020 19:53:06.864,1594853586864
0.709,15/07/2020 19:53:07.364,1594853587364
0.709,15/07/2020 19:53:07.863,1594853587863
0.716,15/07/2020 19:53:08.363,1594853588363
0.720,15/07/2020 19:53:08.862,1594853588862
0.791,15/07/2020 19:53:09.361,1594853589361
0.776,15/07/2020 19:53:09.861,1594853589861
0.718,15/07/2020 19:53:10.360,1594853590360
0.723,15/07/2020 19:53:10.860,1594853590860
0.715,15/07/2020 19:53:11.359,1594853591359
0.710,15/07/2020 19:53:11.859,1594853591859
0.715,15/07/2020 19:53:12.358,1594853592358
0.711,15/07/2020 19:53:12.858,1594853592858
0.736,15/07/2020 19:53:13.357,1594853593357
0.717,15/07/2020 19:53:13.857,1594853593857
0.765,15/07/2020 19:53:14.356,1594853594356
0.716,15/07/2020 19:53:14.855,1594853594855
0.769,15/07/2020 19:53:15.355,1594853595355
0.719,15/07/2020 19:53:15.854,1594853595854
0.779,15/07/2020 19:53:16.354,1594853596354
0.714,15/07/2020 19:53:16.853,1594853596853
0.767,15/07/2020 19:53:17.353,1594853597353
0.719,15/07/2020 19:53:17.852,1594853597852
0.766,15/07/2020 19:53:18.352,1594853598352
0.713,15/07/2020 19:53:18.851,1594853598851
0.783,15/07/2020 19:53:19.351,1594853599351
0.713,15/07/2020 19:53:19.850,1594853599850
0.804,15/07/2020 19:53:20.349,1594853600349
0.766,15/07/2020 19:53:20.849,1594853600849
0.764,15/07/2020 19:53:21.348,1594853601348
0.772,15/07/2020 19:53:21.848,1594853601848
0.769,15/07/2020 19:53:22.347,1594853602347
0.765,15/07/2020 19:53:22.847,1594853602847
0.771,15/07/2020 19:53:23.346,1594853603346
0.766,15/07/2020 19:53:23.846,1594853603846
0.714,15/07/2020 19:53:24.345,1594853604345
0.715,15/07/2020 19:53:24.845,1594853604845
0.721,15/07/2020 19:53:25.344,1594853605344
0.714,15/07/2020 19:53:25.843,1594853605843
0.725,15/07/2020 19:53:26.343,1594853606343
0.700,15/07/2020 19:53:26.842,1594853606842
0.713,15/07/2020 19:53:27.342,1594853607342
0.714,15/07/2020 19:53:27.841,1594853607841
