ValoresRms,Tempo,TimeStamp,ClasseAparelho
2.799,02/07/2020 14:15:21.322,1593710121322,0
2.807,02/07/2020 14:15:21.822,1593710121822,0
2.805,02/07/2020 14:15:22.322,1593710122322,0
2.827,02/07/2020 14:15:22.822,1593710122822,0
2.824,02/07/2020 14:15:23.322,1593710123322,0
2.828,02/07/2020 14:15:23.822,1593710123822,0
2.814,02/07/2020 14:15:24.322,1593710124322,0
2.810,02/07/2020 14:15:24.822,1593710124822,0
2.794,02/07/2020 14:15:25.322,1593710125322,0
2.803,02/07/2020 14:15:25.822,1593710125822,0
2.797,02/07/2020 14:15:26.322,1593710126322,0
2.809,02/07/2020 14:15:26.822,1593710126822,0
2.796,02/07/2020 14:15:27.322,1593710127322,0
2.791,02/07/2020 14:15:27.822,1593710127822,0
2.776,02/07/2020 14:15:28.322,1593710128322,0
2.761,02/07/2020 14:15:28.822,1593710128822,0
2.763,02/07/2020 14:15:29.322,1593710129322,0
2.787,02/07/2020 14:15:29.822,1593710129822,0
2.774,02/07/2020 14:15:30.322,1593710130322,0
2.787,02/07/2020 14:15:30.822,1593710130822,0
2.792,02/07/2020 14:15:31.322,1593710131322,0
2.790,02/07/2020 14:15:31.822,1593710131822,0
2.802,02/07/2020 14:15:32.322,1593710132322,0
2.816,02/07/2020 14:15:32.822,1593710132822,0
2.797,02/07/2020 14:15:33.322,1593710133322,0
2.803,02/07/2020 14:15:33.822,1593710133822,0
2.783,02/07/2020 14:15:34.322,1593710134322,0
2.787,02/07/2020 14:15:34.822,1593710134822,0
2.789,02/07/2020 14:15:35.322,1593710135322,0
2.787,02/07/2020 14:15:35.822,1593710135822,0
2.794,02/07/2020 14:15:36.322,1593710136322,0
2.795,02/07/2020 14:15:36.822,1593710136822,0
2.803,02/07/2020 14:15:37.322,1593710137322,0
2.793,02/07/2020 14:15:37.822,1593710137822,0
2.803,02/07/2020 14:15:38.322,1593710138322,0
2.781,02/07/2020 14:15:38.822,1593710138822,0
2.806,02/07/2020 14:15:39.322,1593710139322,0
2.801,02/07/2020 14:15:39.822,1593710139822,0
2.782,02/07/2020 14:15:40.322,1593710140322,0
2.774,02/07/2020 14:15:40.822,1593710140822,0
2.770,02/07/2020 14:15:41.322,1593710141322,0
2.784,02/07/2020 14:15:41.822,1593710141822,0
2.771,02/07/2020 14:15:42.322,1593710142322,0
2.792,02/07/2020 14:15:42.822,1593710142822,0
2.792,02/07/2020 14:15:43.322,1593710143322,0
2.788,02/07/2020 14:15:43.822,1593710143822,0
2.805,02/07/2020 14:15:44.322,1593710144322,0
2.793,02/07/2020 14:15:44.822,1593710144822,0
2.781,02/07/2020 14:15:45.322,1593710145322,0
2.803,02/07/2020 14:15:45.822,1593710145822,0
2.785,02/07/2020 14:15:46.322,1593710146322,0
2.789,02/07/2020 14:15:46.822,1593710146822,0
2.791,02/07/2020 14:15:47.322,1593710147322,0
2.820,02/07/2020 14:15:47.822,1593710147822,0
2.787,02/07/2020 14:15:48.322,1593710148322,0
2.779,02/07/2020 14:15:48.822,1593710148822,0
2.778,02/07/2020 14:15:49.322,1593710149322,0
2.782,02/07/2020 14:15:49.822,1593710149822,0
2.805,02/07/2020 14:15:50.322,1593710150322,0
2.818,02/07/2020 14:15:50.822,1593710150822,0
2.791,02/07/2020 14:15:51.322,1593710151322,0
2.783,02/07/2020 14:15:51.822,1593710151822,0
2.791,02/07/2020 14:15:52.322,1593710152322,0
2.779,02/07/2020 14:15:52.822,1593710152822,0
2.781,02/07/2020 14:15:53.322,1593710153322,0
2.766,02/07/2020 14:15:53.822,1593710153822,0
2.796,02/07/2020 14:15:54.322,1593710154322,0
2.757,02/07/2020 14:15:54.822,1593710154822,0
2.771,02/07/2020 14:15:55.322,1593710155322,0
2.762,02/07/2020 14:15:55.822,1593710155822,0
2.759,02/07/2020 14:15:56.322,1593710156322,0
2.789,02/07/2020 14:15:56.822,1593710156822,0
2.800,02/07/2020 14:15:57.322,1593710157322,0
2.796,02/07/2020 14:15:57.822,1593710157822,0
2.800,02/07/2020 14:15:58.322,1593710158322,0
2.803,02/07/2020 14:15:58.822,1593710158822,0
2.798,02/07/2020 14:15:59.322,1593710159322,0
2.797,02/07/2020 14:15:59.822,1593710159822,0
2.796,02/07/2020 14:16:00.322,1593710160322,0
2.798,02/07/2020 14:16:00.822,1593710160822,0
2.791,02/07/2020 14:16:01.322,1593710161322,0
2.799,02/07/2020 14:16:01.822,1593710161822,0
2.800,02/07/2020 14:16:02.322,1593710162322,0
2.793,02/07/2020 14:16:02.822,1593710162822,0
2.792,02/07/2020 14:16:03.322,1593710163322,0
2.834,02/07/2020 14:16:03.822,1593710163822,0
2.809,02/07/2020 14:16:04.322,1593710164322,0
2.803,02/07/2020 14:16:04.822,1593710164822,0
2.795,02/07/2020 14:16:05.322,1593710165322,0
2.809,02/07/2020 14:16:05.822,1593710165822,0
2.804,02/07/2020 14:16:06.322,1593710166322,0
2.789,02/07/2020 14:16:06.822,1593710166822,0
2.808,02/07/2020 14:16:07.322,1593710167322,0
2.798,02/07/2020 14:16:07.822,1593710167822,0
2.805,02/07/2020 14:16:08.322,1593710168322,0
2.799,02/07/2020 14:16:08.822,1593710168822,0
2.821,02/07/2020 14:16:09.322,1593710169322,0
2.808,02/07/2020 14:16:09.822,1593710169822,0
2.822,02/07/2020 14:16:10.322,1593710170322,0
2.851,02/07/2020 14:16:10.822,1593710170822,0
2.837,02/07/2020 14:16:11.322,1593710171322,0
2.789,02/07/2020 14:16:11.822,1593710171822,0
2.806,02/07/2020 14:16:12.322,1593710172322,0
2.812,02/07/2020 14:16:12.822,1593710172822,0
2.817,02/07/2020 14:16:13.322,1593710173322,0
2.815,02/07/2020 14:16:13.822,1593710173822,0
2.803,02/07/2020 14:16:14.322,1593710174322,0
2.804,02/07/2020 14:16:14.822,1593710174822,0
2.812,02/07/2020 14:16:15.322,1593710175322,0
2.813,02/07/2020 14:16:15.822,1593710175822,0
2.814,02/07/2020 14:16:16.322,1593710176322,0
2.806,02/07/2020 14:16:16.822,1593710176822,0
2.811,02/07/2020 14:16:17.322,1593710177322,0
2.809,02/07/2020 14:16:17.822,1593710177822,0
2.808,02/07/2020 14:16:18.322,1593710178322,0
2.806,02/07/2020 14:16:18.822,1593710178822,0
2.794,02/07/2020 14:16:19.322,1593710179322,0
2.787,02/07/2020 14:16:19.822,1593710179822,0
2.767,02/07/2020 14:16:20.322,1593710180322,0
