RMS,TimeStamp,EPOCH
0.441,10/08/2020 13:38:19.009,1597077499009
0.449,10/08/2020 13:38:19.509,1597077499509
0.967,10/08/2020 13:38:20.009,1597077500009
0.869,10/08/2020 13:38:20.509,1597077500509
1.607,10/08/2020 13:38:21.010,1597077501010
0.448,10/08/2020 13:38:21.510,1597077501510
0.449,10/08/2020 13:38:22.010,1597077502010
0.465,10/08/2020 13:38:22.510,1597077502510
0.898,10/08/2020 13:38:23.010,1597077503010
1.287,10/08/2020 13:38:23.511,1597077503511
0.444,10/08/2020 13:38:24.011,1597077504011
0.450,10/08/2020 13:38:24.511,1597077504511
0.470,10/08/2020 13:38:25.011,1597077505011
0.905,10/08/2020 13:38:25.512,1597077505512
0.986,10/08/2020 13:38:26.012,1597077506012
1.738,10/08/2020 13:38:26.512,1597077506512
0.451,10/08/2020 13:38:27.012,1597077507012
0.464,10/08/2020 13:38:27.513,1597077507513
0.963,10/08/2020 13:38:28.013,1597077508013
0.939,10/08/2020 13:38:28.513,1597077508513
1.677,10/08/2020 13:38:29.013,1597077509013
0.461,10/08/2020 13:38:29.513,1597077509513
0.452,10/08/2020 13:38:30.014,1597077510014
0.715,10/08/2020 13:38:30.514,1597077510514
0.936,10/08/2020 13:38:31.014,1597077511014
1.510,10/08/2020 13:38:31.514,1597077511514
0.448,10/08/2020 13:38:32.015,1597077512015
0.423,10/08/2020 13:38:32.515,1597077512515
0.435,10/08/2020 13:38:33.015,1597077513015
0.909,10/08/2020 13:38:33.515,1597077513515
1.128,10/08/2020 13:38:34.016,1597077514016
0.430,10/08/2020 13:38:34.516,1597077514516
0.427,10/08/2020 13:38:35.016,1597077515016
0.431,10/08/2020 13:38:35.516,1597077515516
0.911,10/08/2020 13:38:36.016,1597077516016
0.896,10/08/2020 13:38:36.517,1597077516517
1.708,10/08/2020 13:38:37.017,1597077517017
0.426,10/08/2020 13:38:37.517,1597077517517
0.441,10/08/2020 13:38:38.017,1597077518017
0.952,10/08/2020 13:38:38.518,1597077518518
0.850,10/08/2020 13:38:39.018,1597077519018
1.612,10/08/2020 13:38:39.518,1597077519518
0.422,10/08/2020 13:38:40.018,1597077520018
0.438,10/08/2020 13:38:40.518,1597077520518
0.447,10/08/2020 13:38:41.019,1597077521019
0.857,10/08/2020 13:38:41.519,1597077521519
1.289,10/08/2020 13:38:42.019,1597077522019
0.434,10/08/2020 13:38:42.519,1597077522519
0.431,10/08/2020 13:38:43.020,1597077523020
0.441,10/08/2020 13:38:43.520,1597077523520
0.901,10/08/2020 13:38:44.020,1597077524020
1.035,10/08/2020 13:38:44.520,1597077524520
1.682,10/08/2020 13:38:45.021,1597077525021
0.455,10/08/2020 13:38:45.521,1597077525521
0.456,10/08/2020 13:38:46.021,1597077526021
0.943,10/08/2020 13:38:46.521,1597077526521
0.935,10/08/2020 13:38:47.021,1597077527021
1.671,10/08/2020 13:38:47.522,1597077527522
0.451,10/08/2020 13:38:48.022,1597077528022
0.452,10/08/2020 13:38:48.522,1597077528522
0.807,10/08/2020 13:38:49.022,1597077529022
0.921,10/08/2020 13:38:49.523,1597077529523
1.548,10/08/2020 13:38:50.023,1597077530023
0.454,10/08/2020 13:38:50.523,1597077530523
0.461,10/08/2020 13:38:51.023,1597077531023
0.473,10/08/2020 13:38:51.524,1597077531524
0.960,10/08/2020 13:38:52.024,1597077532024
1.285,10/08/2020 13:38:52.524,1597077532524
0.466,10/08/2020 13:38:53.024,1597077533024
0.480,10/08/2020 13:38:53.524,1597077533524
0.471,10/08/2020 13:38:54.025,1597077534025
0.965,10/08/2020 13:38:54.525,1597077534525
0.970,10/08/2020 13:38:55.025,1597077535025
1.775,10/08/2020 13:38:55.525,1597077535525
0.466,10/08/2020 13:38:56.026,1597077536026
0.471,10/08/2020 13:38:56.526,1597077536526
1.050,10/08/2020 13:38:57.026,1597077537026
0.888,10/08/2020 13:38:57.526,1597077537526
1.647,10/08/2020 13:38:58.027,1597077538027
0.449,10/08/2020 13:38:58.527,1597077538527
0.460,10/08/2020 13:38:59.027,1597077539027
0.507,10/08/2020 13:38:59.527,1597077539527
0.867,10/08/2020 13:39:00.027,1597077540027
1.425,10/08/2020 13:39:00.528,1597077540528
0.429,10/08/2020 13:39:01.028,1597077541028
0.427,10/08/2020 13:39:01.528,1597077541528
0.442,10/08/2020 13:39:02.028,1597077542028
0.864,10/08/2020 13:39:02.529,1597077542529
1.070,10/08/2020 13:39:03.029,1597077543029
1.160,10/08/2020 13:39:03.529,1597077543529
0.430,10/08/2020 13:39:04.029,1597077544029
0.430,10/08/2020 13:39:04.529,1597077544529
0.892,10/08/2020 13:39:05.030,1597077545030
0.901,10/08/2020 13:39:05.530,1597077545530
1.633,10/08/2020 13:39:06.030,1597077546030
0.426,10/08/2020 13:39:06.530,1597077546530
0.425,10/08/2020 13:39:07.031,1597077547031
0.937,10/08/2020 13:39:07.531,1597077547531
0.892,10/08/2020 13:39:08.031,1597077548031
1.541,10/08/2020 13:39:08.531,1597077548531
0.436,10/08/2020 13:39:09.032,1597077549032
0.520,10/08/2020 13:39:09.532,1597077549532
0.525,10/08/2020 13:39:10.032,1597077550032
1.015,10/08/2020 13:39:10.532,1597077550532
1.362,10/08/2020 13:39:11.032,1597077551032
0.516,10/08/2020 13:39:11.533,1597077551533
0.527,10/08/2020 13:39:12.033,1597077552033
0.515,10/08/2020 13:39:12.533,1597077552533
1.014,10/08/2020 13:39:13.033,1597077553033
1.038,10/08/2020 13:39:13.534,1597077553534
1.814,10/08/2020 13:39:14.034,1597077554034
0.511,10/08/2020 13:39:14.534,1597077554534
0.511,10/08/2020 13:39:15.034,1597077555034
1.023,10/08/2020 13:39:15.535,1597077555535
0.950,10/08/2020 13:39:16.035,1597077556035
1.722,10/08/2020 13:39:16.535,1597077556535
0.510,10/08/2020 13:39:17.035,1597077557035
0.518,10/08/2020 13:39:17.535,1597077557535
0.609,10/08/2020 13:39:18.036,1597077558036
0.960,10/08/2020 13:39:18.536,1597077558536
1.579,10/08/2020 13:39:19.036,1597077559036
0.511,10/08/2020 13:39:19.536,1597077559536
0.508,10/08/2020 13:39:20.037,1597077560037
0.540,10/08/2020 13:39:20.537,1597077560537
0.964,10/08/2020 13:39:21.037,1597077561037
1.199,10/08/2020 13:39:21.537,1597077561537
0.850,10/08/2020 13:39:22.038,1597077562038
0.510,10/08/2020 13:39:22.538,1597077562538
0.516,10/08/2020 13:39:23.038,1597077563038
0.998,10/08/2020 13:39:23.538,1597077563538
1.032,10/08/2020 13:39:24.038,1597077564038
1.744,10/08/2020 13:39:24.539,1597077564539
0.525,10/08/2020 13:39:25.039,1597077565039
0.511,10/08/2020 13:39:25.539,1597077565539
1.021,10/08/2020 13:39:26.039,1597077566039
1.001,10/08/2020 13:39:26.540,1597077566540
1.694,10/08/2020 13:39:27.040,1597077567040
0.513,10/08/2020 13:39:27.540,1597077567540
0.509,10/08/2020 13:39:28.040,1597077568040
0.529,10/08/2020 13:39:28.540,1597077568540
1.015,10/08/2020 13:39:29.041,1597077569041
1.431,10/08/2020 13:39:29.541,1597077569541
0.509,10/08/2020 13:39:30.041,1597077570041
0.509,10/08/2020 13:39:30.541,1597077570541
0.516,10/08/2020 13:39:31.042,1597077571042
1.044,10/08/2020 13:39:31.542,1597077571542
1.096,10/08/2020 13:39:32.042,1597077572042
1.833,10/08/2020 13:39:32.542,1597077572542
0.509,10/08/2020 13:39:33.043,1597077573043
0.528,10/08/2020 13:39:33.543,1597077573543
1.048,10/08/2020 13:39:34.043,1597077574043
0.983,10/08/2020 13:39:34.543,1597077574543
1.766,10/08/2020 13:39:35.043,1597077575043
0.509,10/08/2020 13:39:35.544,1597077575544
0.511,10/08/2020 13:39:36.044,1597077576044
0.975,10/08/2020 13:39:36.544,1597077576544
0.960,10/08/2020 13:39:37.044,1597077577044
1.698,10/08/2020 13:39:37.545,1597077577545
0.534,10/08/2020 13:39:38.045,1597077578045
0.528,10/08/2020 13:39:38.545,1597077578545
0.542,10/08/2020 13:39:39.045,1597077579045
1.028,10/08/2020 13:39:39.546,1597077579546
1.352,10/08/2020 13:39:40.046,1597077580046
0.528,10/08/2020 13:39:40.546,1597077580546
0.470,10/08/2020 13:39:41.046,1597077581046
0.463,10/08/2020 13:39:41.546,1597077581546
0.969,10/08/2020 13:39:42.047,1597077582047
0.983,10/08/2020 13:39:42.547,1597077582547
1.695,10/08/2020 13:39:43.047,1597077583047
0.455,10/08/2020 13:39:43.547,1597077583547
0.461,10/08/2020 13:39:44.048,1597077584048
0.975,10/08/2020 13:39:44.548,1597077584548
0.985,10/08/2020 13:39:45.048,1597077585048
1.639,10/08/2020 13:39:45.548,1597077585548
0.488,10/08/2020 13:39:46.049,1597077586049
0.484,10/08/2020 13:39:46.549,1597077586549
0.528,10/08/2020 13:39:47.049,1597077587049
0.970,10/08/2020 13:39:47.549,1597077587549
1.472,10/08/2020 13:39:48.049,1597077588049
0.478,10/08/2020 13:39:48.550,1597077588550
0.481,10/08/2020 13:39:49.050,1597077589050
0.504,10/08/2020 13:39:49.550,1597077589550
1.000,10/08/2020 13:39:50.050,1597077590050
1.129,10/08/2020 13:39:50.551,1597077590551
1.275,10/08/2020 13:39:51.051,1597077591051
0.478,10/08/2020 13:39:51.551,1597077591551
0.483,10/08/2020 13:39:52.051,1597077592051
0.971,10/08/2020 13:39:52.551,1597077592551
0.902,10/08/2020 13:39:53.052,1597077593052
1.719,10/08/2020 13:39:53.552,1597077593552
0.449,10/08/2020 13:39:54.052,1597077594052
0.466,10/08/2020 13:39:54.552,1597077594552
1.606,10/08/2020 13:39:55.053,1597077595053
1.514,10/08/2020 13:39:55.553,1597077595553
2.083,10/08/2020 13:39:56.053,1597077596053
1.171,10/08/2020 13:39:56.553,1597077596553
1.236,10/08/2020 13:39:57.054,1597077597054
2.616,10/08/2020 13:39:57.554,1597077597554
