RMS,TimeStamp,EPOCH
0.952,10/08/2020 19:52:32.750,1597099952750
0.969,10/08/2020 19:52:33.250,1597099953250
0.971,10/08/2020 19:52:33.751,1597099953751
0.960,10/08/2020 19:52:34.252,1597099954252
0.955,10/08/2020 19:52:34.752,1597099954752
0.957,10/08/2020 19:52:35.253,1597099955253
0.964,10/08/2020 19:52:35.753,1597099955753
0.943,10/08/2020 19:52:36.254,1597099956254
0.952,10/08/2020 19:52:36.754,1597099956754
0.962,10/08/2020 19:52:37.255,1597099957255
0.966,10/08/2020 19:52:37.756,1597099957756
0.962,10/08/2020 19:52:38.256,1597099958256
0.952,10/08/2020 19:52:38.757,1597099958757
0.951,10/08/2020 19:52:39.257,1597099959257
0.967,10/08/2020 19:52:39.758,1597099959758
0.955,10/08/2020 19:52:40.258,1597099960258
0.964,10/08/2020 19:52:40.759,1597099960759
0.969,10/08/2020 19:52:41.259,1597099961259
0.981,10/08/2020 19:52:41.760,1597099961760
0.953,10/08/2020 19:52:42.261,1597099962261
0.964,10/08/2020 19:52:42.761,1597099962761
0.960,10/08/2020 19:52:43.262,1597099963262
0.965,10/08/2020 19:52:43.762,1597099963762
0.964,10/08/2020 19:52:44.263,1597099964263
0.950,10/08/2020 19:52:44.763,1597099964763
0.953,10/08/2020 19:52:45.264,1597099965264
0.941,10/08/2020 19:52:45.765,1597099965765
0.954,10/08/2020 19:52:46.265,1597099966265
0.942,10/08/2020 19:52:46.766,1597099966766
0.949,10/08/2020 19:52:47.266,1597099967266
0.945,10/08/2020 19:52:47.767,1597099967767
0.949,10/08/2020 19:52:48.267,1597099968267
0.947,10/08/2020 19:52:48.768,1597099968768
0.949,10/08/2020 19:52:49.269,1597099969269
0.950,10/08/2020 19:52:49.769,1597099969769
0.945,10/08/2020 19:52:50.270,1597099970270
0.946,10/08/2020 19:52:50.770,1597099970770
0.958,10/08/2020 19:52:51.271,1597099971271
0.953,10/08/2020 19:52:51.771,1597099971771
0.953,10/08/2020 19:52:52.272,1597099972272
0.945,10/08/2020 19:52:52.772,1597099972772
0.941,10/08/2020 19:52:53.273,1597099973273
0.948,10/08/2020 19:52:53.774,1597099973774
0.960,10/08/2020 19:52:54.274,1597099974274
0.947,10/08/2020 19:52:54.775,1597099974775
0.941,10/08/2020 19:52:55.275,1597099975275
0.954,10/08/2020 19:52:55.776,1597099975776
0.951,10/08/2020 19:52:56.276,1597099976276
0.947,10/08/2020 19:52:56.777,1597099976777
0.949,10/08/2020 19:52:57.278,1597099977278
0.946,10/08/2020 19:52:57.778,1597099977778
0.959,10/08/2020 19:52:58.279,1597099978279
0.957,10/08/2020 19:52:58.779,1597099978779
0.952,10/08/2020 19:52:59.280,1597099979280
0.961,10/08/2020 19:52:59.780,1597099979780
0.957,10/08/2020 19:53:00.281,1597099980281
0.952,10/08/2020 19:53:00.782,1597099980782
0.953,10/08/2020 19:53:01.282,1597099981282
0.958,10/08/2020 19:53:01.783,1597099981783
0.946,10/08/2020 19:53:02.283,1597099982283
0.942,10/08/2020 19:53:02.784,1597099982784
0.959,10/08/2020 19:53:03.284,1597099983284
0.937,10/08/2020 19:53:03.785,1597099983785
0.951,10/08/2020 19:53:04.285,1597099984285
0.948,10/08/2020 19:53:04.786,1597099984786
0.951,10/08/2020 19:53:05.287,1597099985287
0.943,10/08/2020 19:53:05.787,1597099985787
0.945,10/08/2020 19:53:06.288,1597099986288
0.942,10/08/2020 19:53:06.788,1597099986788
0.945,10/08/2020 19:53:07.289,1597099987289
0.951,10/08/2020 19:53:07.789,1597099987789
0.961,10/08/2020 19:53:08.290,1597099988290
0.963,10/08/2020 19:53:08.791,1597099988791
0.949,10/08/2020 19:53:09.291,1597099989291
0.948,10/08/2020 19:53:09.792,1597099989792
0.945,10/08/2020 19:53:10.292,1597099990292
0.946,10/08/2020 19:53:10.793,1597099990793
0.945,10/08/2020 19:53:11.293,1597099991293
0.951,10/08/2020 19:53:11.794,1597099991794
0.942,10/08/2020 19:53:12.295,1597099992295
0.949,10/08/2020 19:53:12.795,1597099992795
0.943,10/08/2020 19:53:13.296,1597099993296
0.955,10/08/2020 19:53:13.796,1597099993796
0.943,10/08/2020 19:53:14.297,1597099994297
0.950,10/08/2020 19:53:14.797,1597099994797
0.943,10/08/2020 19:53:15.298,1597099995298
0.946,10/08/2020 19:53:15.798,1597099995798
0.946,10/08/2020 19:53:16.299,1597099996299
0.979,10/08/2020 19:53:16.800,1597099996800
0.944,10/08/2020 19:53:17.300,1597099997300
0.943,10/08/2020 19:53:17.801,1597099997801
0.941,10/08/2020 19:53:18.301,1597099998301
0.952,10/08/2020 19:53:18.802,1597099998802
0.946,10/08/2020 19:53:19.302,1597099999302
0.944,10/08/2020 19:53:19.803,1597099999803
0.957,10/08/2020 19:53:20.304,1597100000304
0.949,10/08/2020 19:53:20.804,1597100000804
0.948,10/08/2020 19:53:21.305,1597100001305
0.942,10/08/2020 19:53:21.805,1597100001805
0.952,10/08/2020 19:53:22.306,1597100002306
0.949,10/08/2020 19:53:22.806,1597100002806
0.959,10/08/2020 19:53:23.307,1597100003307
0.951,10/08/2020 19:53:23.808,1597100003808
0.956,10/08/2020 19:53:24.308,1597100004308
0.960,10/08/2020 19:53:24.809,1597100004809
0.953,10/08/2020 19:53:25.309,1597100005309
0.952,10/08/2020 19:53:25.810,1597100005810
0.955,10/08/2020 19:53:26.310,1597100006310
0.944,10/08/2020 19:53:26.811,1597100006811
0.960,10/08/2020 19:53:27.312,1597100007312
0.952,10/08/2020 19:53:27.812,1597100007812
0.957,10/08/2020 19:53:28.313,1597100008313
0.946,10/08/2020 19:53:28.813,1597100008813
0.948,10/08/2020 19:53:29.314,1597100009314
0.955,10/08/2020 19:53:29.814,1597100009814
0.948,10/08/2020 19:53:30.315,1597100010315
0.952,10/08/2020 19:53:30.815,1597100010815
0.939,10/08/2020 19:53:31.316,1597100011316
0.955,10/08/2020 19:53:31.817,1597100011817
0.992,10/08/2020 19:53:32.317,1597100012317
1.013,10/08/2020 19:53:32.818,1597100012818
0.946,10/08/2020 19:53:33.318,1597100013318
0.954,10/08/2020 19:53:33.819,1597100013819
1.012,10/08/2020 19:53:34.319,1597100014319
0.949,10/08/2020 19:53:34.820,1597100014820
0.960,10/08/2020 19:53:35.321,1597100015321
0.958,10/08/2020 19:53:35.821,1597100015821
0.968,10/08/2020 19:53:36.322,1597100016322
1.051,10/08/2020 19:53:36.822,1597100016822
1.082,10/08/2020 19:53:37.323,1597100017323
0.975,10/08/2020 19:53:37.823,1597100017823
1.043,10/08/2020 19:53:38.324,1597100018324
1.001,10/08/2020 19:53:38.825,1597100018825
0.988,10/08/2020 19:53:39.325,1597100019325
1.032,10/08/2020 19:53:39.826,1597100019826
0.952,10/08/2020 19:53:40.326,1597100020326
0.945,10/08/2020 19:53:40.827,1597100020827
0.959,10/08/2020 19:53:41.327,1597100021327
0.976,10/08/2020 19:53:41.828,1597100021828
0.953,10/08/2020 19:53:42.328,1597100022328
0.960,10/08/2020 19:53:42.829,1597100022829
0.955,10/08/2020 19:53:43.330,1597100023330
0.942,10/08/2020 19:53:43.830,1597100023830
0.942,10/08/2020 19:53:44.331,1597100024331
0.955,10/08/2020 19:53:44.831,1597100024831
0.952,10/08/2020 19:53:45.332,1597100025332
0.949,10/08/2020 19:53:45.832,1597100025832
0.954,10/08/2020 19:53:46.333,1597100026333
0.952,10/08/2020 19:53:46.834,1597100026834
0.979,10/08/2020 19:53:47.334,1597100027334
0.943,10/08/2020 19:53:47.835,1597100027835
0.939,10/08/2020 19:53:48.335,1597100028335
0.958,10/08/2020 19:53:48.836,1597100028836
0.947,10/08/2020 19:53:49.336,1597100029336
0.953,10/08/2020 19:53:49.837,1597100029837
0.950,10/08/2020 19:53:50.338,1597100030338
0.961,10/08/2020 19:53:50.838,1597100030838
0.963,10/08/2020 19:53:51.339,1597100031339
0.945,10/08/2020 19:53:51.839,1597100031839
0.960,10/08/2020 19:53:52.340,1597100032340
0.936,10/08/2020 19:53:52.840,1597100032840
0.946,10/08/2020 19:53:53.341,1597100033341
0.964,10/08/2020 19:53:53.841,1597100033841
0.946,10/08/2020 19:53:54.342,1597100034342
1.041,10/08/2020 19:53:54.843,1597100034843
0.953,10/08/2020 19:53:55.343,1597100035343
0.941,10/08/2020 19:53:55.844,1597100035844
0.940,10/08/2020 19:53:56.344,1597100036344
0.945,10/08/2020 19:53:56.845,1597100036845
0.954,10/08/2020 19:53:57.345,1597100037345
0.959,10/08/2020 19:53:57.846,1597100037846
0.958,10/08/2020 19:53:58.347,1597100038347
0.953,10/08/2020 19:53:58.847,1597100038847
0.941,10/08/2020 19:53:59.348,1597100039348
0.969,10/08/2020 19:53:59.848,1597100039848
0.949,10/08/2020 19:54:00.349,1597100040349
0.950,10/08/2020 19:54:00.849,1597100040849
0.951,10/08/2020 19:54:01.350,1597100041350
1.030,10/08/2020 19:54:01.851,1597100041851
0.986,10/08/2020 19:54:02.351,1597100042351
