RMS,TimeStamp,EPOCH
0.610,19/05/2021 14:49:46.112,1621446586112
0.603,19/05/2021 14:49:46.611,1621446586611
0.622,19/05/2021 14:49:47.111,1621446587111
0.600,19/05/2021 14:49:47.611,1621446587611
0.602,19/05/2021 14:49:48.111,1621446588111
0.606,19/05/2021 14:49:48.611,1621446588611
0.606,19/05/2021 14:49:49.111,1621446589111
0.608,19/05/2021 14:49:49.610,1621446589610
0.605,19/05/2021 14:49:50.110,1621446590110
0.672,19/05/2021 14:49:50.610,1621446590610
0.650,19/05/2021 14:49:51.110,1621446591110
0.623,19/05/2021 14:49:51.610,1621446591610
0.610,19/05/2021 14:49:52.110,1621446592110
0.604,19/05/2021 14:49:52.609,1621446592609
0.619,19/05/2021 14:49:53.109,1621446593109
0.621,19/05/2021 14:49:53.609,1621446593609
0.610,19/05/2021 14:49:54.109,1621446594109
0.609,19/05/2021 14:49:54.609,1621446594609
0.608,19/05/2021 14:49:55.109,1621446595109
0.606,19/05/2021 14:49:55.608,1621446595608
0.605,19/05/2021 14:49:56.108,1621446596108
0.616,19/05/2021 14:49:56.608,1621446596608
0.609,19/05/2021 14:49:57.108,1621446597108
0.629,19/05/2021 14:49:57.608,1621446597608
0.620,19/05/2021 14:49:58.108,1621446598108
0.620,19/05/2021 14:49:58.607,1621446598607
0.612,19/05/2021 14:49:59.107,1621446599107
0.611,19/05/2021 14:49:59.607,1621446599607
0.632,19/05/2021 14:50:00.107,1621446600107
0.628,19/05/2021 14:50:00.607,1621446600607
0.638,19/05/2021 14:50:01.107,1621446601107
0.641,19/05/2021 14:50:01.606,1621446601606
0.617,19/05/2021 14:50:02.106,1621446602106
0.630,19/05/2021 14:50:02.606,1621446602606
0.626,19/05/2021 14:50:03.106,1621446603106
0.609,19/05/2021 14:50:03.606,1621446603606
0.613,19/05/2021 14:50:04.106,1621446604106
0.613,19/05/2021 14:50:04.606,1621446604606
0.637,19/05/2021 14:50:05.105,1621446605105
0.621,19/05/2021 14:50:05.605,1621446605605
0.620,19/05/2021 14:50:06.105,1621446606105
0.605,19/05/2021 14:50:06.605,1621446606605
0.620,19/05/2021 14:50:07.105,1621446607105
0.619,19/05/2021 14:50:07.605,1621446607605
0.620,19/05/2021 14:50:08.104,1621446608104
0.622,19/05/2021 14:50:08.604,1621446608604
0.607,19/05/2021 14:50:09.104,1621446609104
0.609,19/05/2021 14:50:09.604,1621446609604
0.605,19/05/2021 14:50:10.104,1621446610104
0.623,19/05/2021 14:50:10.604,1621446610604
0.610,19/05/2021 14:50:11.103,1621446611103
0.626,19/05/2021 14:50:11.603,1621446611603
